match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_wasFouled,player_firstName,player_lastName,player_sofascoreId,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_penaltyWon,stat_goals,stat_penaltyConceded,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_totalOffside
11453226,home,Al-Nassr,Waleed Abdullah,waleed-abdullah,W. Abdullah,G,33,196.0,188,M,118139,EUR,514252800,G,33,33,False,True,16.0,15.0,4.0,3.0,15.0,15.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,90.0,20.0,6.2,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453226,home,Al-Nassr,Nawaf Boushal,nawaf-boushal,N. Boushal,D,12,178.0,1391,M,986400,EUR,937440000,D,12,12,False,,51.0,45.0,7.0,4.0,27.0,30.0,22.0,2.0,6.0,,,,,89.0,71.0,6.7,10.0,0,18.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11453226,home,Al-Nassr,Abdulelah Al-Amri,abdulelah-al-amri,A. Al-Amri,D,5,185.0,1135,M,881831,EUR,853286400,D,5,5,False,,66.0,59.0,6.0,4.0,38.0,41.0,25.0,2.0,1.0,,,,,90.0,76.0,6.5,7.0,1,21.0,,7.0,5.0,,1.0,1.0,,,,2.0,6.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11453226,home,Al-Nassr,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191.0,10350,M,149734,EUR,769996800,D,27,27,False,,65.0,60.0,14.0,12.0,38.0,40.0,25.0,3.0,5.0,,,,,90.0,77.0,7.2,5.0,5,22.0,,1.0,5.0,1.0,,,,,,,1.0,3.0,3.0,1.0,,,laporte27,1.0,1.0,2.0,,,,,,,,,,,,,,
11453226,home,Al-Nassr,Alex Telles,alex-telles,A. Telles,D,13,181.0,7625,M,312110,EUR,724377600,D,15,15,False,,31.0,26.0,3.0,1.0,12.0,13.0,35.0,,3.0,,,,,90.0,65.0,7.6,19.0,1,21.0,17.0,1.0,3.0,1.0,,3.0,1.0,1.0,4.0,,1.0,,1.0,1.0,,,alextelles13,1.0,,,1.0,7.0,1.0,6.0,,,,,,,,,,
11453226,home,Al-Nassr,Abdullah Al-Khaibari,abdullah-alkhaibari,A. Al-Khaibari,M,17,178.0,1250,M,867179,EUR,840153600,M,17,17,False,,56.0,50.0,5.0,4.0,30.0,33.0,23.0,1.0,7.0,,,,,87.0,63.0,6.5,7.0,1,20.0,,4.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,3.0,,,,,,,,,
11453226,home,Al-Nassr,Marcelo Brozović,marcelo-brozovic,M. Brozović,M,11,181.0,13081,M,108800,EUR,721872000,M,77,77,False,,74.0,66.0,6.0,5.0,26.0,26.0,58.0,1.0,3.0,,,,,90.0,93.0,7.8,14.0,3,45.0,10.0,5.0,3.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,marcelo_brozovic,1.0,,,,5.0,1.0,7.0,2.0,1.0,3.0,,,,,,,
11453226,home,Al-Nassr,Sami Al-Najei,sami-al-najei,S. Al-Najei,M,14,181.0,886,M,832312,EUR,855273600,M,14,14,False,,29.0,21.0,1.0,,7.0,8.0,23.0,,3.0,,,,,58.0,40.0,7.3,11.0,0,14.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,,2.0,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,
11453226,home,Al-Nassr,Otávio,otavio,Otávio,M,25,171.0,6951,M,244801,EUR,792288000,M,25,25,False,,52.0,40.0,5.0,4.0,20.0,23.0,31.0,1.0,4.0,,,,,90.0,68.0,7.1,18.0,1,20.0,2.0,6.0,7.0,,,1.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,,,otavio,,,,,,1.0,1.0,,2.0,,,,,,,,
11453226,home,Al-Nassr,Sadio Mané,sadio-mane,S. Mané,M,10,175.0,169227,M,217704,EUR,702864000,M,10,10,False,,36.0,28.0,,,7.0,8.0,31.0,,3.0,,,,,89.0,64.0,8.1,17.0,4,21.0,3.0,3.0,10.0,5.0,,3.0,,,3.0,1.0,,2.0,,4.0,,,SadioMané,4.0,1.0,3.0,,,1.0,2.0,,1.0,1.0,,1.0,,,,,
