match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_keyPass,stat_aerialLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_outfielderBlock,stat_bigChanceMissed,stat_wasFouled,stat_challengeLost,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches
10433796,home,Trabzonspor,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,True,19.0,17.0,3.0,1.0,16.0,18.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,90.0,27.0,7.4,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433796,home,Trabzonspor,Jens Stryger Larsen,jens-stryger-larsen,J. Stryger Larsen,D,17,180,369,M,44848,EUR,667094400,D,19,19,False,,63.0,57.0,1.0,,17.0,20.0,40.0,47.0,2.0,2.0,6.0,,,,,,90.0,88.0,6.9,14.0,0,,,4.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10433796,home,Trabzonspor,Marc Bartra,marc-bartra,M. Bartra,D,5,183,1897,M,99519,EUR,663897600,D,3,3,False,,48.0,37.0,11.0,5.0,20.0,23.0,17.0,25.0,2.0,5.0,5.0,1.0,,,,,74.0,58.0,7.0,11.0,1,,,,1.0,4.0,,,,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,
10433796,home,Trabzonspor,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187,899,M,794838,EUR,674697600,D,13,13,False,,47.0,41.0,4.0,4.0,25.0,29.0,16.0,18.0,6.0,4.0,5.0,1.0,,,,,90.0,59.0,7.5,7.0,2,,,,4.0,1.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10433796,home,Trabzonspor,Eren Elmalı,eren-elmali,E. Elmalı,D,17,180,4102,M,981483,EUR,962928000,D,18,18,False,,49.0,39.0,10.0,4.0,19.0,21.0,20.0,29.0,3.0,,3.0,2.0,,,,,90.0,68.0,6.9,18.0,2,,,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,,,,,,
10433796,home,Trabzonspor,Anastasios Bakasetas,anastasios-bakasetas,A. Bakasetas,M,11,180,2113,M,114076,EUR,741225600,M,11,11,False,,64.0,51.0,5.0,2.0,15.0,18.0,36.0,53.0,7.0,,10.0,,,,,,90.0,92.0,7.2,26.0,4,,,7.0,2.0,5.0,1.0,3.0,5.0,,1.0,2.0,,3.0,2.0,3.0,,4.0,,1.0,3.0,,,,,,,
10433796,home,Trabzonspor,Manolis Siopis,manolis-siopis,M. Siopis,M,6,168,971,M,136675,EUR,768873600,M,6,6,False,,32.0,29.0,,,14.0,16.0,15.0,16.0,4.0,,5.0,1.0,,,,,45.0,40.0,6.9,5.0,1,,,,1.0,5.0,2.0,,1.0,2.0,,2.0,1.0,1.0,,1.0,,,,,2.0,,,,,,,
10433796,home,Trabzonspor,Marek Hamšík,marek-hamsik,M. Hamšík,M,17,183,1354,,25985,EUR,554342400,M,17,17,False,,41.0,35.0,8.0,5.0,14.0,15.0,21.0,27.0,,3.0,4.0,,,,,,60.0,54.0,6.6,10.0,1,,,1.0,,5.0,3.0,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,
10433796,home,Trabzonspor,Yusuf Yazıcı,yusuf-yazici,Y. Yazıcı,M,97,183,2251,M,827804,EUR,854496000,F,61,61,False,,19.0,12.0,3.0,1.0,6.0,8.0,6.0,16.0,1.0,,3.0,,,,,,60.0,31.0,6.4,15.0,2,,,5.0,,4.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,
10433796,home,Trabzonspor,Maximiliano Gómez,maximiliano-gomez,M. Gómez,F,9,186,1052,M,805245,EUR,839980800,F,30,30,False,,18.0,15.0,1.0,1.0,,1.0,15.0,19.0,8.0,,4.0,,,,,,83.0,37.0,7.0,9.0,2,,,2.0,2.0,4.0,1.0,2.0,,3.0,1.0,1.0,,,2.0,1.0,,3.0,,,4.0,,,,,,,
