match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,player_firstName,player_lastName,stat_penaltyConceded,stat_wonTackle,stat_keyPass,captain,stat_goalAssist,stat_totalCross,stat_unsuccessfulTouch,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_wonContest,stat_totalOffside,stat_accurateKeeperSweeper,stat_penaltyWon
11409040,home,FC Arouca,Alfonso Trezza,alfonso-trezza,A. Trezza,M,19,166,267,M,973517,EUR,930009600,F,9,9,True,7.0,6.0,1.0,,3.0,4.0,3.0,3.0,5.0,,,,,,16.0,13.0,6.1,5.0,0.0338528,0,,1.0,,6.0,,,3.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
11409040,home,FC Arouca,Oriol Busquets,oriol-busquets,O. Busquets,M,66,185,483,M,817621,EUR,916790400,M,14,14,True,3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,16.0,7.0,6.3,,0.0001145,0,,1.0,,3.0,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
11409040,home,FC Arouca,Bogdan Milovanov,bogdan-milovanov,B. Milovanov,D,3,178,86,M,914162,EUR,892944000,D,22,22,True,,,,,,,,,,,,,,,15.0,5.0,6.3,1.0,0.00012022,0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409040,home,FC Arouca,Miguel Puche,puche-miguel,M. Puche,F,11,180,48,M,1000680,EUR,988588800,F,11,11,True,,,,,,,,1.0,1.0,,,,,,14.0,4.0,6.4,2.0,,1,,1.0,,3.0,1.0,,,,,,,2.0,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,0.0197,,,,,,
11409040,home,FC Arouca,Yusuf Lawal,yusuf-lawal,Y. Lawal,M,24,175,112,M,898808,EUR,890611200,F,7,7,True,1.0,,,,,,,1.0,,,,,,,1.0,5.0,,3.0,,0,,,,,2.0,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,
11409040,home,FC Arouca,Thiago Rodrigues,thiago-da-silva,Thiago,G,1,188,92,M,358544,EUR,834537600,G,16,16,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Thiago Rodrigues,da Silva,,,,,,,,,,,,,,,,,,,,,,,
11409040,home,FC Arouca,Matías Rocha,matias-rocha,M. Rocha,D,4,183,65,M,1083250,EUR,982022400,D,13,13,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409040,home,FC Arouca,Pedro Moreira,pedro-moreira,P. Moreira,M,,182,5,M,61174,EUR,605923200,M,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409040,home,FC Arouca,Vladislav Morozov,vladislav-morozov,V. Morozov,F,18,188,174,M,1009460,EUR,971308800,F,15,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409040,away,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,843115,EUR,937699200,G,99,99,False,31.0,25.0,11.0,5.0,22.0,23.0,3.0,8.0,10.0,,2.0,1.0,3.0,2.0,90.0,44.0,6.8,6.0,0.0115218,0,-0.1837,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,diogomcosta99,,,2.0,
