match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_lastManTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_challengeLost,stat_bigChanceMissed,stat_fouls,captain,stat_hitWoodwork,stat_wasFouled,stat_blockedScoringAttempt,stat_shotOffTarget,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14025288,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198.0,4628,M,npope29,162653,EUR,703641600,G,1,1,False,24.0,18.0,9.0,3.0,0.0,16.0,16.0,2.0,8.0,1.0,1.0,5.0,1.0,1.0,1.0,90.0,29.0,6.9,6.0,0.00117625,15.813864511647,3.0,9.45,4.62,0.0012,0,0.0405,0.06,0.0,0.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025288,home,Newcastle United,Lewis Miley,Lewis Miley,,lewis-miley,L. Miley,M,67,188.0,3304,M,,1400650,EUR,1146441600,D,67,67,False,59.0,59.0,2.0,2.0,1.0,26.0,26.0,33.0,33.0,1.0,9.0,3.0,,,,90.0,89.0,8.6,9.0,0.735858,231.47355381226,20.0,132.3,29.19,,0,,0.72,0.16,0.26,,5.0,2.0,4.0,1.0,6.0,5.0,1.0,3.0,1.0,3.0,1.0,2.0,133.05084640668,6.0,1.0,,,,,,,,,,,,,,,,,,,,
14025288,home,Newcastle United,Malick Thiaw,,,malick-thiaw,M. Thiaw,D,12,194.0,6237,M,MThiaw,1014286,EUR,997228800,D,12,12,False,54.0,46.0,7.0,3.0,0.0,30.0,34.0,16.0,20.0,3.0,8.0,6.0,,,,90.0,76.0,9.6,9.0,0.00800998,138.6005004027,18.0,73.29,16.17,,1,,0.14,0.08,1.0,,1.0,2.0,2.0,,,,,10.0,,5.0,3.0,,13.364988926295,1.0,,1.0,1.0,2.0,2.0,0.4614,0.5902,0.51,,,,,,,,,,,,,
14025288,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186.0,3172,M,,101882,EUR,693187200,D,5,5,False,63.0,53.0,15.0,7.0,0.0,40.0,41.0,13.0,22.0,5.0,6.0,4.0,,,,90.0,80.0,7.9,12.0,0.082138,132.30325275205,18.0,20.37,14.49,,1,,0.32,0.09,0.4,,1.0,1.0,3.0,,1.0,,,10.0,,1.0,1.0,,,,1.0,1.0,,,,0.2028,0.1532,0.09,1.0,1.0,1.0,,,,,,,,,,
14025288,home,Newcastle United,Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179.0,4167,M,lewishall_10,1136730,EUR,1094601600,D,3,3,False,48.0,41.0,4.0,3.0,0.0,24.0,28.0,17.0,20.0,1.0,3.0,2.0,,,,63.0,84.0,7.2,17.0,0.396956,149.82605938594,20.0,70.455,24.57,,1,,0.35,0.17,0.25,,6.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,3.0,45.287409808851,2.0,2.0,1.0,,1.0,,0.0471,0.0787,-0.01,1.0,,,2.0,,,,,,,,,
14025288,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182.0,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,58.0,47.0,2.0,2.0,0.0,20.0,21.0,27.0,37.0,2.0,8.0,5.0,,,,90.0,90.0,7.9,24.0,0.253996,128.82743746234,17.0,37.275,11.655,,1,,0.25,0.14,0.13,,3.0,,6.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,10.875221423033,1.0,1.0,1.0,1.0,,,0.2639,0.8751,0.37,,2.0,,,True,1.0,3.0,,,,,,
14025288,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181.0,14225,M,sandrotonali,892673,EUR,957744000,M,8,8,False,36.0,29.0,3.0,,0.0,15.0,15.0,14.0,21.0,,4.0,5.0,,,,63.0,53.0,6.6,13.0,0.00731272,77.676826123906,9.0,30.345,18.795,,1,,0.08,0.01,0.14,,2.0,1.0,8.0,1.0,4.0,1.0,,2.0,1.0,,,,19.190502885542,1.0,,,,1.0,,0.1512,,0.03,,2.0,,1.0,,,3.0,1.0,,,,,
14025288,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186.0,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,50.0,42.0,3.0,1.0,0.0,25.0,29.0,17.0,21.0,5.0,8.0,10.0,,,,90.0,69.0,7.2,12.0,0.0193022,98.524019160692,15.0,44.625,19.74,,1,,-0.01,0.2,0.43,,,4.0,5.0,1.0,2.0,2.0,,5.0,,1.0,,3.0,31.144886409083,2.0,,,,1.0,,0.0592,,-0.3,,,,1.0,,,,,1.0,1.0,,,
14025288,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176.0,3564,M,,372336,EUR,793584000,F,23,23,False,30.0,20.0,2.0,2.0,0.0,5.0,9.0,15.0,21.0,,1.0,5.0,,,,88.0,54.0,6.7,20.0,0.1274,77.358007582944,9.0,41.58,32.13,,1,,0.25,0.22,0.21,,9.0,1.0,4.0,1.0,3.0,1.0,,,,,,1.0,32.239261840185,1.0,,,,,,0.0206,,-0.18,3.0,,,,,,,,1.0,2.0,,,
14025288,home,Newcastle United,Yoane Wissa,,,yoane-wissa,Y. Wissa,F,9,176.0,50158,M,yowissa,805123,EUR,841708800,F,9,9,False,7.0,5.0,,,0.0,2.0,2.0,3.0,5.0,,,1.0,,,,78.0,13.0,6.0,6.0,0.00252243,8.8555759270643,1.0,-0.525,-0.525,,1,,-0.2,0.02,0.13,,,1.0,3.0,1.0,1.0,,,,,,,2.0,,,,1.0,,,,0.1452,0.0889,-0.51,,,,,,,,,,1.0,,,
