match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_totalClearance,stat_wasFouled,captain,stat_goalAssist,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_outfielderBlock,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11067265,home,Botafogo,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3423,M,871290,EUR,881712000,G,12,12,False,18.0,9.0,15.0,6.0,5.0,6.0,4.0,12.0,1.0,1.0,7.0,5.0,7.0,90.0,29.0,7.6,9.0,0.0,0.0,0.00213464,0,0.3878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067265,home,Botafogo,Leonel Di Plácido,,,leonel-di-placido,L. Di Plácido,D,24,173,273,M,546338,EUR,759715200,D,24,24,False,27.0,19.0,3.0,1.0,5.0,9.0,14.0,22.0,,6.0,7.0,,,79.0,50.0,6.2,15.0,0.0,0.0,0.143051,0,,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11067265,home,Botafogo,Adryelson,,,adryelson,Adryelson,D,34,184,1086,M,795261,EUR,890611200,D,34,34,False,30.0,27.0,3.0,2.0,17.0,18.0,10.0,12.0,1.0,1.0,5.0,,,90.0,48.0,7.2,3.0,0.0,0.0,0.00263081,0,,,7.0,,,4.0,,,,,,6.0,7.0,1.0,,,,,,,,,,,,,,,,,,
11067265,home,Botafogo,Víctor Cuesta,,,victor-cuesta,Víctor Cuesta,D,31,187,553,M,587148,EUR,595900800,D,15,15,False,32.0,27.0,6.0,1.0,22.0,24.0,6.0,9.0,1.0,5.0,6.0,,,90.0,41.0,6.6,5.0,0.0,0.0,0.0588375,0,,1.0,1.0,2.0,,2.0,,,2.0,,1.0,1.0,2.0,,True,1.0,1.0,,,,,,,,,,,,,,,
11067265,home,Botafogo,Rafael,,,rafael,Rafael,D,,172,477,M,39623,EUR,647481600,D,2,2,False,8.0,7.0,1.0,,2.0,2.0,5.0,7.0,1.0,5.0,1.0,,,45.0,17.0,6.4,3.0,0.0,0.0,0.0208067,0,,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
11067265,home,Botafogo,Tchê Tchê,,,tche-tche,Tchê Tchê,M,3,175,2494,M,840398,EUR,715132800,M,6,6,False,24.0,22.0,1.0,1.0,9.0,9.0,13.0,16.0,1.0,2.0,2.0,,,62.0,32.0,6.8,3.0,0.012,0.0,0.0254765,1,,1.0,3.0,,,,,,1.0,,1.0,,1.0,1.0,,,,2.0,2.0,1.0,,,,,,,,,,,,
11067265,home,Botafogo,Danilo Barbosa,,,danilo-barbosa,D. Barbosa,M,5,182,801,M,330063,EUR,825465600,M,5,5,False,29.0,25.0,3.0,3.0,10.0,13.0,15.0,16.0,,6.0,12.0,,,90.0,45.0,6.9,8.0,0.0509,0.0,0.0331038,1,,,6.0,,2.0,4.0,1.0,1.0,3.0,,,1.0,1.0,1.0,,,,4.0,3.0,1.0,,,,,,,,,,,,
11067265,home,Botafogo,Gustavo Sauer,,,gustavo-sauer,Gustavo Sauer,M,7,181,393,M,904505,EUR,736128000,M,10,10,False,18.0,13.0,2.0,1.0,3.0,3.0,10.0,15.0,,3.0,3.0,,,45.0,22.0,6.5,7.0,0.0,0.0,0.00688181,0,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,
11067265,home,Botafogo,Eduardo,,,eduardo,Eduardo,M,21,184,1737,M,76507,EUR,624585600,M,33,33,False,21.0,15.0,4.0,3.0,5.0,6.0,11.0,19.0,2.0,10.0,4.0,,,90.0,36.0,7.7,12.0,0.2832,0.405,0.113353,2,,4.0,6.0,2.0,1.0,1.0,,,3.0,,3.0,2.0,,4.0,,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,
11067265,home,Botafogo,Júnior Santos,,,junior-santos,J. Santos,F,37,188,2187,M,922559,EUR,781833600,M,37,37,False,12.0,8.0,1.0,,3.0,5.0,5.0,8.0,1.0,8.0,4.0,,,79.0,38.0,6.6,13.0,0.3104,0.0,0.0241729,4,,1.0,8.0,2.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,,,,7.0,4.0,1.0,2.0,,,,,3.0,1.0,,,,,
