match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_challengeLost,stat_totalContest,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_penaltyConceded,stat_outfielderBlock,stat_keyPass,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceCreated,stat_penaltyWon,stat_totalOffside,player_sofascoreId,stat_punches,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_goalAssist
11409202,home,Rio Ave,Magrão,Magrão,,magrao,Magrão,G,15,197,176,M,1083070,EUR,958348800,G,82,82,False,35.0,17.0,22.0,5.0,13.0,18.0,4.0,17.0,1.0,7.0,2.0,1.0,3.0,1.0,1.0,90.0,42.0,6.6,19.0,0.0,0.0,0.00134586,0,0.2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409202,home,Rio Ave,Renato Pantalon,,,renato-pantalon,R. Pantalon,D,84,196,88,M,826561,EUR,877910400,D,42,42,False,30.0,24.0,3.0,1.0,19.0,21.0,5.0,9.0,7.0,2.0,,,,,,90.0,39.0,6.3,7.0,0.0,0.0,0.00645218,0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11409202,home,Rio Ave,Aderllan Santos,,,aderllan-santos,A. Santos,D,33,193,103,M,129617,EUR,608083200,D,33,33,False,36.0,26.0,6.0,,23.0,25.0,3.0,11.0,5.0,5.0,,,,,,90.0,48.0,6.3,11.0,0.0,0.0,0.00079554,0,,3.0,2.0,4.0,4.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11409202,home,Rio Ave,Josué Sá,,,josue-sa,J. Sá,D,3,186,48,M,137982,EUR,708739200,D,23,23,False,32.0,24.0,7.0,1.0,20.0,24.0,4.0,9.0,1.0,7.0,,,,,,75.0,40.0,6.3,10.0,0.0,0.0,0.0010723,0,,1.0,2.0,4.0,3.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11409202,home,Rio Ave,Costinha,,,costinha,Costinha,D,20,181,818,M,988333,EUR,954028800,M,20,20,False,24.0,15.0,3.0,2.0,9.0,15.0,7.0,10.0,7.0,6.0,,,,,,90.0,61.0,6.5,24.0,0.7884,0.9938,0.00844299,1,,,3.0,11.0,8.0,1.0,,4.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11409202,home,Rio Ave,Amine Oudrhiri,,,amine-oudrhiri,A. Oudrhiri,M,95,184,104,M,374560,EUR,720835200,M,10,10,False,19.0,13.0,1.0,,8.0,12.0,5.0,7.0,1.0,7.0,,,,,,64.0,28.0,7.0,7.0,0.0,0.0,0.00351395,0,,,1.0,3.0,3.0,2.0,,2.0,2.0,2.0,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,
11409202,home,Rio Ave,Gonçalo Rodrigues,,,goncalo-rodrigues,G. Rodrigues,M,16,168,231,M,357740,EUR,869184000,M,6,6,False,14.0,11.0,2.0,1.0,6.0,6.0,5.0,10.0,2.0,2.0,,,,,,89.0,26.0,6.3,5.0,0.3553,0.0,0.00588224,1,,,1.0,8.0,3.0,1.0,,1.0,1.0,,1.0,2.0,7.0,,,,,,,,,2.0,True,1.0,1.0,1.0,,,,,,,,
11409202,home,Rio Ave,Fábio Ronaldo,,,fabio-ronaldo,F. Ronaldo,F,11,178,236,M,1134514,EUR,988416000,M,77,77,False,28.0,18.0,3.0,2.0,5.0,9.0,13.0,19.0,7.0,6.0,,,,,,90.0,60.0,7.0,18.0,0.0137,0.0,0.0142319,1,,2.0,2.0,7.0,7.0,2.0,1.0,,2.0,2.0,1.0,,2.0,4.0,,1.0,2.0,,,,,1.0,,,1.0,,1.0,,,,,,,
11409202,home,Rio Ave,Joca Fernandes,,,joca-fernandes,J. Fernandes,M,8,167,50,M,583834,EUR,822873600,F,14,14,False,14.0,11.0,1.0,,5.0,6.0,6.0,10.0,,4.0,,,,,,75.0,27.0,6.8,9.0,0.0,0.0,0.00347864,0,,1.0,,3.0,3.0,,3.0,1.0,2.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
11409202,home,Rio Ave,João Graça,,,joao-graca,J. Graça,M,21,177,46,M,309296,EUR,803433600,F,21,21,False,12.0,8.0,1.0,,3.0,5.0,5.0,8.0,,4.0,,,,,,64.0,25.0,7.0,10.0,0.0954,0.0,0.0025887,2,,2.0,1.0,4.0,6.0,,4.0,1.0,1.0,1.0,3.0,1.0,,2.0,,,1.0,,,,,,,,2.0,,,,,,,,,
