match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_keyPass,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves
10437982,home,Casa Pia,Ricardo Batista,ricardo-batista,R. Batista,G,33,193,111,M,9668,EUR,532656000,G,33,33,False,28.0,22.0,8.0,2.0,20.0,21.0,2.0,7.0,1.0,10.0,1.0,90.0,33.0,7.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437982,home,Casa Pia,Fernando Varela,fernando-varela,F. Varela,D,5,183,60,M,51705,EUR,564883200,D,15,15,False,62.0,56.0,8.0,6.0,43.0,45.0,13.0,17.0,,5.0,,90.0,66.0,7.4,7.0,0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10437982,home,Casa Pia,Vasco Fernandes,vasco-fernandes,V. Fernandes,D,,181,45,M,41650,EUR,532137600,D,13,13,False,68.0,59.0,9.0,4.0,45.0,49.0,14.0,19.0,6.0,8.0,,90.0,85.0,7.2,11.0,0,2.0,2.0,5.0,5.0,2.0,,,1.0,True,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,
10437982,home,Casa Pia,Nermin Zolotić,nermin-zolotic,N. Zolotić,D,44,188,74,M,94826,EUR,742003200,D,19,19,False,75.0,63.0,10.0,4.0,50.0,54.0,13.0,21.0,3.0,7.0,,90.0,84.0,6.8,12.0,0,2.0,1.0,5.0,4.0,1.0,2.0,2.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,
10437982,home,Casa Pia,Lucas Soares,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,M,42,42,False,31.0,26.0,2.0,1.0,15.0,19.0,14.0,17.0,1.0,3.0,,90.0,51.0,7.1,10.0,1,3.0,,6.0,3.0,,1.0,1.0,,,2.0,1.0,,1.0,,,,5.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,,,,,
10437982,home,Casa Pia,Neto,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,8,8,False,25.0,22.0,,,15.0,17.0,7.0,8.0,,9.0,,62.0,40.0,6.0,9.0,0,1.0,,11.0,2.0,,2.0,2.0,2.0,,5.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,
10437982,home,Casa Pia,Beni Mukendi,beni-mukendi,B. Mukendi,M,16,180,646,M,1002367,EUR,1021939200,M,80,80,False,44.0,38.0,4.0,3.0,25.0,27.0,13.0,17.0,,9.0,,90.0,62.0,7.2,11.0,0,1.0,,5.0,7.0,,3.0,1.0,1.0,,,2.0,3.0,2.0,1.0,,,,,4.0,3.0,,,,2.0,,,,,
10437982,home,Casa Pia,Derick Poloni,derick-poloni,D. Poloni,D,6,173,38,M,892169,EUR,746841600,M,6,6,False,22.0,17.0,2.0,1.0,9.0,11.0,9.0,13.0,1.0,7.0,,78.0,39.0,6.7,8.0,1,2.0,,6.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,
10437982,home,Casa Pia,Romário Baró,romario-baro,R. Baró,M,6,179,668,M,892224,EUR,948758400,F,17,17,False,10.0,10.0,1.0,1.0,6.0,6.0,4.0,4.0,1.0,3.0,,62.0,21.0,7.2,3.0,2,2.0,1.0,5.0,4.0,,1.0,1.0,1.0,,,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,
10437982,home,Casa Pia,Clayton,clayton,Clayton,F,19,184,1602,M,1017023,EUR,916012800,F,99,99,False,9.0,5.0,2.0,1.0,5.0,6.0,,3.0,1.0,2.0,,78.0,25.0,6.1,11.0,3,1.0,2.0,6.0,6.0,,,,3.0,,1.0,1.0,,5.0,1.0,,,,,4.0,3.0,,1.0,1.0,,,2.0,2.0,,
10437982,home,Casa Pia,Yuki Soma,soma-yuki,Y. Soma,F,7,165,617,M,945290,EUR,856828800,F,24,24,False,13.0,4.0,2.0,,4.0,7.0,,8.0,1.0,5.0,,87.0,38.0,6.9,22.0,2,,1.0,4.0,8.0,,2.0,2.0,2.0,,1.0,2.0,,7.0,3.0,,,2.0,,2.0,2.0,,,,,2.0,,,,
10437982,home,Casa Pia,Afonso Taira,afonso-taira,A. Taira,M,6,177,41,M,153040,EUR,708739200,M,27,27,True,14.0,12.0,4.0,3.0,4.0,4.0,8.0,11.0,1.0,1.0,,28.0,16.0,6.4,3.0,0,2.0,,4.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,
10437982,home,Casa Pia,Rafael Martins,rafael-martins,R. Martins,F,99,177,43,M,123231,EUR,606096000,F,11,11,True,7.0,5.0,,,2.0,2.0,3.0,6.0,1.0,1.0,,28.0,16.0,6.7,5.0,2,,,,2.0,,1.0,1.0,,,,,,2.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,
10437982,home,Casa Pia,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,D,5,5,True,5.0,3.0,1.0,,2.0,2.0,1.0,4.0,,,,12.0,11.0,6.6,4.0,0,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
10437982,home,Casa Pia,Diogo Pinto,pinto-diogo,D. Pinto,M,23,175,174,M,991929,EUR,930614400,M,10,10,True,5.0,5.0,,,3.0,3.0,2.0,2.0,,1.0,,12.0,6.0,6.4,1.0,0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
10437982,home,Casa Pia,Takahiro Kunimoto,takahiro-kunimoto,T. Kunimoto,M,,172,110,M,794765,EUR,876268800,M,14,14,True,5.0,3.0,1.0,,2.0,2.0,1.0,4.0,,,,9.0,8.0,6.5,4.0,0,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,
10437982,home,Casa Pia,João Victor,joao-victor,J. Victor,G,98,192,39,M,1067193,EUR,894153600,G,1,1,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437982,home,Casa Pia,João Nunes,joao-nunes,J. Nunes,D,30,188,83,M,190135,EUR,816739200,D,3,3,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
