match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_outfielderBlock,stat_unsuccessfulTouch,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed
11540866,home,Konyaspor,Jakub Słowik,jakub-slowik,J. Słowik,G,24,190,232,M,95437,EUR,683596800,G,27,27,False,34.0,15.0,30.0,11.0,4.0,5.0,11.0,29.0,2.0,8.0,6.0,7.0,1.0,90.0,45.0,8.5,19.0,0.00238984,0,1.6481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540866,home,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,16.0,8.0,,,5.0,9.0,4.0,8.0,4.0,3.0,,,,67.0,39.0,6.7,13.0,0.0193622,1,,,,1.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0183,,,,,,,,,,,,,,,
11540866,home,Konyaspor,Uğurcan Yazğılı,ugurcan-yazgili,U. Yazğılı,D,5,184,99,M,904303,EUR,923616000,D,5,5,False,23.0,15.0,4.0,1.0,9.0,11.0,7.0,13.0,5.0,4.0,,,,90.0,45.0,7.5,9.0,0.010093,1,,,,1.0,1.0,,1.0,8.0,,1.0,1.0,1.0,1.0,1.0,,0.1078,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,
11540866,home,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,7.0,6.0,,,5.0,6.0,1.0,1.0,3.0,,,,,90.0,13.0,6.8,1.0,0.00012654,0,,,,,,2.0,3.0,2.0,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,
11540866,home,Konyaspor,Teenage Hadebe,teenage-hadebe,T. L. Hadebe,D,15,180,280,M,864666,EUR,811296000,D,15,15,False,23.0,14.0,8.0,3.0,10.0,13.0,4.0,10.0,8.0,2.0,,,,90.0,37.0,7.2,10.0,0.0170015,0,,,,,,4.0,4.0,2.0,,,,,,,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,
11540866,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,22.0,16.0,3.0,,7.0,9.0,10.0,17.0,6.0,3.0,,,,90.0,67.0,7.4,19.0,0.0550279,1,,,,4.0,1.0,1.0,7.0,2.0,1.0,3.0,1.0,,,,1.0,0.0522,1.0,2.0,1.0,,1.0,3.0,2.0,1.0,,,,,,,
11540866,home,Konyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179,82,M,847782,EUR,746841600,M,6,6,False,22.0,14.0,3.0,1.0,6.0,8.0,8.0,14.0,4.0,4.0,,,,89.0,33.0,6.8,8.0,0.0231181,1,,,,,,,4.0,2.0,,1.0,1.0,,1.0,1.0,1.0,0.0585,,3.0,1.0,,,,,1.0,True,,,,,,
11540866,home,Konyaspor,Steven​ N'Zonzi,steven-nzonzi,S. N'Zonzi,M,15,196,565,M,51652,EUR,598147200,M,37,37,False,32.0,19.0,7.0,1.0,11.0,13.0,8.0,19.0,7.0,,,,,90.0,40.0,6.5,13.0,0.00377334,0,,,,,,3.0,4.0,4.0,,,,,,,1.0,,4.0,,,,,,,,,,,,,,
11540866,home,Konyaspor,Alassane Ndao,ndao-alassane,A. Ndao,M,,176,333,M,1016033,EUR,851040000,M,18,18,False,22.0,19.0,,,6.0,6.0,13.0,16.0,,7.0,,,,89.0,33.0,6.7,10.0,0.0354592,0,,,,,,4.0,8.0,3.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,1.0,,4.0,,,1.0,,,,,
11540866,home,Konyaspor,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,F,35,35,False,6.0,4.0,,,2.0,2.0,2.0,4.0,1.0,1.0,,,,77.0,14.0,6.4,5.0,0.0150471,0,,Ogulcan Ülgün,,,,1.0,7.0,2.0,,1.0,,,,,2.0,,,3.0,,2.0,1.0,,2.0,,,,,,,,
