match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_blockedScoringAttempt,stat_ownGoals,stat_wasFouled,player_firstName,player_lastName,stat_challengeLost,stat_shotOffTarget,captain,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_goals,stat_accurateCross,stat_totalOffside,stat_bigChanceCreated,stat_lastManTackle
12117059,home,Corinthians,Carlos Miguel,carlos-miguel,C. Miguel,G,1,204,5473,M,973738,EUR,907891200,G,22,22,False,23.0,19.0,10.0,7.0,0.0,15.0,17.0,4.0,6.0,5.0,2.0,6.0,90.0,33.0,7.4,4.0,0.0006613,0,0.2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117059,home,Corinthians,Matheuzinho,matheuzinho,Matheuzinho,D,2,171,7286,M,931540,EUR,968371200,D,2,2,False,29.0,26.0,1.0,1.0,0.0,12.0,13.0,14.0,21.0,2.0,,,90.0,57.0,7.2,11.0,0.0217727,1,,mateuzinhoo,5.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0085,0.0489,1.0,,,,,,,,,,,,,,,,,,
12117059,home,Corinthians,Cacá,caca,Cacá,D,25,185,3939,M,929200,EUR,924998400,D,25,25,False,50.0,43.0,3.0,,0.0,31.0,35.0,12.0,15.0,2.0,,,90.0,63.0,6.1,9.0,0.00312195,1,,,,2.0,5.0,5.0,,6.0,,,1.0,,,1.0,0.1845,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
12117059,home,Corinthians,Caetano,caetano,Caetano,D,16,182,910,M,959006,EUR,930182400,D,4,4,False,49.0,49.0,4.0,4.0,0.0,39.0,39.0,10.0,10.0,3.0,,,77.0,57.0,6.3,,0.0049023,1,,,,1.0,3.0,,,3.0,,3.0,,,,2.0,0.0961,,1.0,,,1.0,,,,,,,,,,,,,,,
12117059,home,Corinthians,Hugo,hugo,Hugo,D,,179,3173,M,1017827,EUR,872812800,D,46,46,False,26.0,22.0,3.0,2.0,1.0,9.0,11.0,13.0,15.0,3.0,,,90.0,44.0,6.9,8.0,0.00496872,0,,,,3.0,7.0,7.0,,4.0,1.0,,3.0,3.0,,3.0,,,1.0,4.0,2.0,,,,,,,,,,,,,,,,
12117059,home,Corinthians,Gabriel Moscardo,gabriel-moscardo,G. Moscardo,M,17,185,5063,M,1485309,EUR,1127865600,M,44,44,False,16.0,11.0,1.0,,0.0,5.0,6.0,6.0,10.0,,,,45.0,24.0,6.8,6.0,0.00272642,2,,gabrielmoscardo,,1.0,4.0,5.0,1.0,1.0,,,3.0,3.0,,,0.0974,0.3313,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,
12117059,home,Corinthians,Raniele,raniele,Raniele,M,14,184,6186,M,866392,EUR,851990400,M,14,14,False,38.0,31.0,2.0,,0.0,18.0,21.0,13.0,17.0,4.0,,,90.0,56.0,7.3,9.0,0.0280579,1,,R14niele,,3.0,5.0,9.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,0.1619,0.3093,,3.0,,,,2.0,,,2.0,,True,1.0,1.0,,,,,,
12117059,home,Corinthians,Gustavo Silva,gustavo-silva,G. Silva,M,7,169,745,M,863283,EUR,873590400,M,19,19,False,14.0,11.0,,,0.0,3.0,4.0,8.0,12.0,2.0,,,71.0,33.0,6.3,13.0,0.00943893,2,,,2.0,,10.0,2.0,1.0,,,,,,2.0,3.0,0.2434,0.283,,1.0,3.0,,,1.0,,,1.0,1.0,,3.0,,1.0,1.0,,,,
12117059,home,Corinthians,Igor Coronado,igor-coronado,I. Coronado,M,77,170,5336,M,152098,EUR,714096000,M,77,77,False,34.0,32.0,5.0,3.0,0.0,14.0,14.0,21.0,33.0,2.0,,,89.0,65.0,7.5,20.0,0.3981,2,,igor_coronado,13.0,1.0,6.0,4.0,1.0,,,,2.0,2.0,2.0,1.0,0.0447,0.4019,4.0,1.0,1.0,1.0,,,,,,,,4.0,1.0,,1.0,3.0,,,
12117059,home,Corinthians,Wesley,wesley,Wesley,F,22,180,10411,M,1211632,EUR,1109980800,M,36,36,False,8.0,7.0,1.0,1.0,0.0,2.0,2.0,5.0,8.0,4.0,,,82.0,28.0,6.6,10.0,0.010547,1,,wesley_teixeira005,2.0,1.0,5.0,4.0,1.0,,,1.0,1.0,1.0,2.0,,0.03,0.0287,,,3.0,,,2.0,,,,,,2.0,1.0,,,,,,
