match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_bigChanceCreated,stat_keyPass,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_dispossessed,stat_hitWoodwork,player_sofascoreId,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_goals
14109659,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,20.0,15.0,7.0,2.0,0.0,15.0,19.0,1.0,9.0,1.0,1.0,90.0,25.0,7.0,5.0,0.0001105,0.5002,0,0.5333,0.0,0.0,-0.08,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109659,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,53.0,48.0,7.0,5.0,0.0,27.0,29.0,24.0,5.0,,,90.0,64.0,6.9,5.0,0.0112046,,0,,0.27,0.03,0.18,,21.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14109659,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,59.0,49.0,5.0,,0.0,39.0,42.0,17.0,7.0,,,90.0,69.0,6.9,10.0,0.00477699,,1,,0.05,0.07,-0.02,,10.0,,3.0,1.0,8.0,,2.0,,1.0,3.0,1.0,True,1.0,1.0,1.0,1.0,1.0,0.0423,0.0402,0.01,,,,,,,,,,,,,,,,
14109659,home,Alanyaspor,Ümit Akdağ,Umit Akdag,,umit-akdag,Ü. Akdağ,D,50,192,604,M,1215071,EUR,1065398400,D,50,50,False,57.0,47.0,11.0,5.0,0.0,29.0,31.0,26.0,5.0,,,90.0,72.0,7.7,12.0,0.596624,,0,,0.74,0.06,-0.15,,18.0,1.0,2.0,3.0,5.0,1.0,6.0,,1.0,,1.0,,1.0,1.0,,2.0,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,,,
14109659,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,M,94,94,False,32.0,25.0,4.0,1.0,0.0,12.0,16.0,16.0,2.0,,,71.0,45.0,6.5,11.0,0.0139892,,2,,0.08,0.0,-0.04,,13.0,1.0,,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,0.0416,0.3668,-0.03,3.0,,,1.0,,,,,,,,,,,,
14109659,home,Alanyaspor,Gaius Makouta,,,makouta-gaius,G. Makouta,M,42,180,298,M,847013,EUR,869788800,M,42,42,False,59.0,46.0,2.0,1.0,0.0,14.0,20.0,39.0,4.0,,,80.0,65.0,6.4,14.0,0.0335585,,0,,0.09,0.12,-0.09,,32.0,1.0,,3.0,3.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,
14109659,home,Alanyaspor,Maestro,,,maestro,Maestro,M,58,173,1198,M,1002146,EUR,1059955200,M,58,58,False,57.0,50.0,4.0,3.0,0.0,25.0,26.0,31.0,7.0,,,90.0,75.0,7.5,9.0,0.282729,,3,,0.1,0.5,0.13,,25.0,1.0,,2.0,9.0,,1.0,,,2.0,,,6.0,5.0,,2.0,1.0,0.2333,,-0.51,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,,
14109659,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,M,88,88,False,30.0,21.0,2.0,1.0,0.0,7.0,9.0,21.0,4.0,,,90.0,53.0,6.6,16.0,0.174957,,2,,0.16,0.23,-0.08,,14.0,1.0,,6.0,2.0,1.0,2.0,,1.0,2.0,3.0,,,,1.0,,,0.2795,0.1412,-0.22,3.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,
14109659,home,Alanyaspor,Ibrahim Kaya,,,ibrahim-kaya,İ. Kaya,M,27,184,83,M,996405,EUR,984096000,F,27,27,False,14.0,13.0,2.0,1.0,0.0,3.0,3.0,11.0,2.0,,,71.0,36.0,6.8,11.0,0.153529,,3,,0.23,0.39,0.16,,10.0,3.0,,8.0,4.0,,,,,2.0,2.0,,3.0,1.0,2.0,1.0,1.0,0.1267,0.4651,0.06,6.0,,2.0,1.0,2.0,2.0,,,1.0,,,,,,,
14109659,home,Alanyaspor,Ui-Jo Hwang,,,ui-jo-hwang,U. Hwang,F,16,186,1040,M,791314,EUR,714960000,F,16,16,False,5.0,3.0,,,0.0,,2.0,3.0,,,,58.0,15.0,6.7,5.0,0.00509657,,1,,-0.03,0.05,-0.04,,3.0,1.0,1.0,3.0,4.0,1.0,,,,3.0,,,2.0,1.0,,,,0.2743,,0.04,,,1.0,1.0,2.0,,,,,,,,,,,
14109659,home,Alanyaspor,Uchenna Ogundu,Uchenna Ogundu,,uchenna-ogundu,U. Ogundu,F,22,188,410,M,1996846,EUR,1147392000,F,22,22,False,24.0,17.0,,,0.0,7.0,9.0,15.0,2.0,,,90.0,43.0,6.5,15.0,0.0264595,,6,,-0.03,0.42,-0.02,,10.0,3.0,2.0,7.0,4.0,,1.0,,1.0,1.0,1.0,,3.0,1.0,2.0,,,0.9441,0.8366,-0.16,,,2.0,2.0,5.0,,2.0,2.0,1.0,,,,,,,
14109659,home,Alanyaspor,Steve Mounié,,,steve-mounie,S. Mounié,F,9,190,6015,M,345035,EUR,780796800,F,9,9,True,8.0,7.0,,,0.0,1.0,1.0,7.0,,,,32.0,15.0,6.4,4.0,0.354099,,2,,0.25,0.28,-0.03,,6.0,,1.0,2.0,2.0,,,,,,2.0,,,,,1.0,1.0,0.6033,,-0.59,,1.0,2.0,,3.0,,1.0,2.0,,,,,,,,
14109659,home,Alanyaspor,Ruan,,,ruan,Ruan,M,11,172,179,M,1400494,EUR,1115078400,F,11,11,True,17.0,13.0,3.0,1.0,0.0,6.0,6.0,11.0,2.0,,,19.0,22.0,6.6,7.0,0.0176902,,1,,0.04,0.1,-0.01,,7.0,,,,1.0,,,,,1.0,,,,,1.0,,,0.0252,0.1031,0.17,3.0,,,,,,,,,1.0,,,,,,
14109659,home,Alanyaspor,Ianis Hagi,,,ianis-hagi,I. Hagi,M,14,180,7108,M,756344,EUR,909014400,M,14,14,True,9.0,8.0,,,0.0,,,9.0,,,,19.0,17.0,6.5,7.0,0.111709,,1,,-0.05,0.0,-0.01,,8.0,,,1.0,,,,,,,,,,,,,,0.1023,,-0.18,6.0,,1.0,1.0,,1.0,,,1.0,,ianishagi,,,,,
