match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_wasFouled,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_fouls,stat_clearanceOffLine,stat_outfielderBlock,player_sofascoreId,stat_hitWoodwork,stat_penaltyMiss,stat_penaltyWon,stat_crossNotClaimed,stat_goodHighClaim,stat_penaltyFaced,stat_errorLeadToAShot,stat_goalAssist,stat_goals,stat_penaltyConceded
11401949,home,Fortuna Sittard,Luuk Koopmans,luuk-koopmans,L. Koopmans,G,1,191,51,M,128992,EUR,753580800,G,1,1,False,18.0,9.0,14.0,5.0,6.0,6.0,3.0,12.0,1.0,9.0,2.0,4.0,1.0,90.0,28.0,7.0,9.0,0.00205012,0,0.1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401949,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,D,12,12,False,33.0,23.0,6.0,2.0,8.0,11.0,19.0,36.0,2.0,4.0,,,,83.0,66.0,7.2,26.0,0.328748,0,,True,14.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401949,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,44.0,36.0,8.0,5.0,17.0,19.0,19.0,25.0,,8.0,,,,90.0,55.0,7.3,9.0,0.0336359,1,,,,,1.0,12.0,,,,,4.0,2.0,,Rodrigo,Guth,1.0,8.0,1.0,1.0,1.0,0.0869,0.1133,,,,,,,,,,,,,,,,,,,
11401949,home,Fortuna Sittard,Dimitrios Siovas,dimitrios-siovas,D. Siovas,D,,191,184,M,41165,EUR,590284800,D,33,33,False,25.0,20.0,6.0,3.0,12.0,15.0,8.0,10.0,1.0,4.0,,,,78.0,36.0,6.7,6.0,0.0107304,1,,,,,4.0,6.0,,,,,1.0,1.0,,Dimitrios,Siovas,4.0,5.0,,3.0,1.0,0.068,,1.0,1.0,,,,,,,,,,,,,,,,,
11401949,home,Fortuna Sittard,Mitchell Dijks,mitchell-dijks,M. Dijks,D,24,192,201,M,235400,EUR,729216000,D,35,35,False,26.0,24.0,4.0,2.0,9.0,11.0,15.0,15.0,,5.0,,,,64.0,40.0,6.6,4.0,0.0235821,1,,,,,2.0,5.0,,,3.0,,1.0,1.0,1.0,,,,1.0,,1.0,,0.0159,,,3.0,1.0,1.0,,,,,,,,,,,,,,,
11401949,home,Fortuna Sittard,Alen Halilović,alen-halilovic,A. Halilović,M,10,169,1721,M,277331,EUR,835056000,M,10,10,False,46.0,40.0,9.0,9.0,10.0,10.0,33.0,45.0,,13.0,,,,84.0,71.0,7.4,18.0,0.392395,4,,,9.0,3.0,7.0,6.0,3.0,2.0,4.0,1.0,1.0,,3.0,,,,2.0,,,3.0,0.4383,,3.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
11401949,home,Fortuna Sittard,Rosier Loreintz,loreintz-rosier,R. Loreintz,M,32,190,104,M,954812,EUR,903052800,M,32,32,False,39.0,33.0,4.0,3.0,15.0,18.0,18.0,21.0,1.0,10.0,,,,90.0,54.0,7.6,9.0,0.0517767,0,,,,,5.0,6.0,1.0,,1.0,,3.0,3.0,,,,2.0,3.0,,4.0,2.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,
11401949,home,Fortuna Sittard,Ragnar Oratmangoen,ragnar-oratmangoen,R. Oratmangoen,M,11,181,5722,M,899651,EUR,885340800,M,34,34,False,37.0,34.0,3.0,1.0,2.0,2.0,33.0,37.0,,7.0,,,,90.0,54.0,7.4,10.0,0.585299,2,,,2.0,1.0,5.0,2.0,1.0,,3.0,1.0,,,3.0,,,,1.0,,3.0,4.0,0.3292,,1.0,,1.0,1.0,,2.0,,,0ratmangoen,,,,,,,,,,
11401949,home,Fortuna Sittard,Arianit Ferati,arianit-ferati,A. Ferati,M,10,168,71,M,548088,EUR,873590400,M,19,19,False,24.0,18.0,4.0,4.0,5.0,6.0,14.0,21.0,,3.0,,,,65.0,44.0,7.4,12.0,0.0408195,3,,,3.0,1.0,3.0,10.0,,,2.0,,4.0,2.0,1.0,,,1.0,4.0,3.0,1.0,3.0,0.3041,0.5983,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,
11401949,home,Fortuna Sittard,Íñigo Cordoba,inigo-cordoba,I. Cordoba,M,21,178,215,M,605650,EUR,858211200,M,7,7,False,43.0,32.0,4.0,3.0,9.0,10.0,23.0,44.0,,11.0,,,,90.0,71.0,7.9,24.0,0.330532,5,,,11.0,,4.0,11.0,2.0,1.0,2.0,,3.0,2.0,2.0,,,1.0,5.0,1.0,1.0,1.0,0.4377,0.1047,4.0,2.0,2.0,,1.0,,,,,,,,,,,,,,
