match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_interceptionWon,stat_accurateCross,stat_unsuccessfulTouch,stat_penaltyConceded,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_penaltyMiss,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyWon,stat_goodHighClaim,stat_errorLeadToAShot
11408435,home,Gil Vicente,Andrew,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,31.0,22.0,12.0,3.0,21.0,25.0,1.0,6.0,9.0,2.0,1.0,2.0,1.0,1.0,90.0,39.0,6.6,10.0,0.00018277,0,0.6683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408435,home,Gil Vicente,Alex Pinto,pinto-alex,A. Pinto,D,78,187,68,M,1034711,EUR,899856000,D,67,67,False,45.0,36.0,7.0,2.0,22.0,24.0,14.0,23.0,5.0,,,,,,83.0,75.0,7.1,15.0,0.343947,0,,,,2.0,2.0,2.0,4.0,8.0,1.0,6.0,1.0,4.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11408435,home,Gil Vicente,Gabriel Pereira,gabriel-pereira,G. Pereira,D,5,188,592,M,992652,EUR,957657600,D,13,13,False,71.0,60.0,8.0,3.0,51.0,57.0,9.0,14.0,9.0,,,,,,90.0,91.0,7.7,13.0,0.00485146,2,,,,,2.0,7.0,3.0,14.0,,4.0,2.0,5.0,5.0,2.0,,,1.0,1.0,1.0,1.0,1.0,0.2228,0.0288,,,,,,,,,,,,,,,
11408435,home,Gil Vicente,Rúben Fernandes,ruben-fernandes,R. Fernandes,D,26,186,38,M,59751,EUR,515721600,D,26,26,False,65.0,54.0,11.0,4.0,40.0,44.0,14.0,22.0,4.0,,,,,,90.0,72.0,6.5,12.0,0.0086423,1,,,,1.0,3.0,1.0,5.0,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,0.0212,,True,3.0,,,,,,,,,,,,,
11408435,home,Gil Vicente,Leonardo Buta,leonardo-buta,L. Buta,D,24,182,172,M,1120038,EUR,1023235200,D,23,23,False,42.0,35.0,6.0,5.0,18.0,20.0,18.0,25.0,4.0,,,,,,90.0,69.0,6.6,20.0,0.0717314,0,,,,3.0,1.0,1.0,6.0,5.0,,1.0,,2.0,2.0,2.0,1.0,,3.0,1.0,,,,,,,1.0,1.0,5.0,,,,,,,,,,,
11408435,home,Gil Vicente,Maxime Dominguez,maxime-dominguez,M. Dominguez,M,10,172,688,M,282233,EUR,823132800,M,8,8,False,21.0,10.0,1.0,,5.0,6.0,5.0,15.0,2.0,,,,,,59.0,31.0,6.6,14.0,0.00355995,1,,,,,1.0,,5.0,3.0,1.0,,,3.0,2.0,,2.0,1.0,1.0,,,1.0,,0.1307,,,,,2.0,,,,,,,,,,,
11408435,home,Gil Vicente,Mory Gbane,gbane-mory,M. Gbane,M,24,188,509,M,1003400,EUR,977702400,M,24,24,False,21.0,16.0,2.0,1.0,14.0,15.0,2.0,6.0,3.0,,,,,,59.0,28.0,6.4,6.0,0.00084588,0,,,,,3.0,,4.0,2.0,,,2.0,2.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
11408435,home,Gil Vicente,Martim Neto,neto-martim,M. Neto,M,16,185,858,M,1100646,EUR,1042502400,M,76,76,False,43.0,37.0,5.0,3.0,19.0,20.0,18.0,23.0,4.0,,,,,,90.0,56.0,7.2,6.0,0.179801,1,,,,,1.0,3.0,3.0,8.0,2.0,,,3.0,,1.0,,1.0,,1.0,1.0,1.0,,0.0121,,,1.0,,,,,,,,,,,,,
11408435,home,Gil Vicente,Murilo Souza,murilo-souza,M. Souza,F,77,176,196,M,611880,EUR,783561600,F,77,77,False,27.0,21.0,2.0,2.0,8.0,10.0,14.0,21.0,5.0,,,,,,90.0,52.0,6.9,18.0,0.0496317,2,,,,4.0,1.0,1.0,5.0,4.0,,1.0,,,,1.0,,2.0,3.0,3.0,2.0,1.0,1.0,1.2753,0.8885,,,1.0,5.0,,1.0,1.0,1.0,1.0,,,,,,
11408435,home,Gil Vicente,Ali Alipour,ali-alipour,A. Alipourghara,F,9,181,1677,M,791368,EUR,816048000,F,9,9,False,7.0,7.0,,,2.0,2.0,5.0,5.0,2.0,,,,,,59.0,11.0,6.4,3.0,0.00957303,0,,,,,2.0,,5.0,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,
