match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_wasFouled,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,stat_challengeLost,stat_errorLeadToAShot,captain,stat_totalOffside,stat_goodHighClaim,player_lastName,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated
14025218,home,Brighton & Hove Albion,Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193.0,4212,M,994363,EUR,1029628800,G,1,1,False,43.0,34.0,13.0,4.0,0.0,32.0,32.0,2.0,11.0,1.0,10.0,1.0,1.0,4.0,6.0,2.0,2.0,90.0,54.0,9.1,9.0,0.00125345,101.09775071192,17.0,36.645,8.505,0.6402,0,0.6288,0.07,0.02,0.38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025218,home,Brighton & Hove Albion,Mats Wieffer,mats-wieffer,M. Wieffer,M,27,188.0,2191,M,959628,EUR,942710400,D,27,27,False,15.0,13.0,1.0,,0.0,10.0,12.0,3.0,3.0,2.0,2.0,1.0,,,,,,45.0,30.0,6.6,6.0,0.0312896,66.222693035946,7.0,54.075,31.71,,0,,-0.44,0.29,0.15,,1.0,1.0,3.0,2.0,3.0,1.0,1.0,33.682084792958,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14025218,home,Brighton & Hove Albion,Diego Coppola,diego-coppola,D. Coppola,D,42,192.0,1399,M,1050692,EUR,1072569600,D,42,42,False,57.0,51.0,3.0,,0.0,27.0,32.0,24.0,25.0,9.0,3.0,1.0,1.0,,,,,90.0,71.0,7.5,6.0,0.00836499,146.82308446188,20.0,38.85,13.125,,0,,0.08,0.06,0.76,,6.0,7.0,8.0,1.0,7.0,1.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
14025218,home,Brighton & Hove Albion,Olivier Boscagli,boscagli-olivier,O. Boscagli,D,21,181.0,1044,M,788784,EUR,879811200,D,21,21,False,89.0,82.0,8.0,6.0,0.0,50.0,53.0,32.0,36.0,5.0,7.0,1.0,1.0,,,,,90.0,100.0,8.0,7.0,0.0209531,313.31505673788,34.0,187.005,27.405,,0,,0.35,0.26,0.36,,1.0,2.0,2.0,,6.0,,,84.011302128898,4.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14025218,home,Brighton & Hove Albion,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174.0,21035,M,825844,EUR,939254400,D,24,24,False,22.0,18.0,3.0,,0.0,9.0,11.0,9.0,11.0,4.0,1.0,3.0,3.0,,,,,90.0,47.0,7.2,9.0,0.172554,103.28467685488,10.0,51.03,25.41,,1,,0.31,0.15,0.3,,3.0,,5.0,1.0,3.0,,2.0,59.008311483942,3.0,1.0,,,1.0,1.0,ferdikadioglu,5.0,3.0,1.0,0.0723,-0.25,,,,,,,,,,,,,,
14025218,home,Brighton & Hove Albion,Yasin Ayari,yasin-ayari,Y. Ayari,M,26,172.0,2693,M,1036269,EUR,1065398400,M,26,26,False,28.0,20.0,3.0,1.0,0.0,9.0,11.0,11.0,17.0,3.0,8.0,,,,,,,90.0,46.0,6.4,11.0,0.00455331,107.08901135769,20.0,50.61,8.085,,5,,-0.05,0.29,0.16,,1.0,,3.0,3.0,1.0,2.0,1.0,15.1508352946,2.0,,2.0,,,1.0,,,,,0.5876,-0.73,1.0,3.0,2.0,0.1549,,,,,,,,,,
14025218,home,Brighton & Hove Albion,Jack Hinshelwood,jack-hinshelwood,J. Hinshelwood,D,13,182.0,1561,M,1142315,EUR,1113177600,M,13,13,False,35.0,32.0,1.0,1.0,0.0,19.0,21.0,13.0,14.0,1.0,3.0,,,,,,,71.0,41.0,6.5,3.0,0.00597902,145.16591729779,16.0,96.18,26.25,,0,,-0.07,0.14,-0.15,,1.0,1.0,3.0,,3.0,,,41.951982593276,2.0,,,,2.0,,,,,,,,,,,,Jack Hinshelwood,1.0,1.0,,,,,,,
14025218,home,Brighton & Hove Albion,Yankuba Minteh,minteh-yankuba,Y. Minteh,M,11,180.0,7051,M,1400106,EUR,1090454400,M,11,11,False,14.0,7.0,1.0,,0.0,2.0,3.0,5.0,11.0,3.0,,,,,,,,71.0,26.0,6.1,16.0,0.00957692,55.90498676968,5.0,38.535,17.64,,0,,-0.29,0.36,0.0,,2.0,1.0,6.0,4.0,,,3.0,44.833170462979,3.0,,2.0,,,,minteh01,2.0,,,,,2.0,,,,,,,,,,,,,
14025218,home,Brighton & Hove Albion,Brajan Gruda,gruda-brajan,B. Gruda,M,10,178.0,2810,M,1198075,EUR,1085961600,M,8,8,False,39.0,34.0,3.0,3.0,0.0,4.0,5.0,30.0,34.0,8.0,4.0,2.0,,,,,,86.0,66.0,6.9,16.0,0.0733019,142.74838537085,16.0,73.08,26.04,,2,,0.27,0.1,-0.05,,,,10.0,8.0,,1.0,3.0,49.365433236469,2.0,4.0,3.0,,3.0,3.0,,1.0,,,0.0923,-0.23,1.0,1.0,1.0,0.0726,Brajan Gruda,1.0,,,,,,,,
14025218,home,Brighton & Hove Albion,Maxim De Cuyper,maxim-de-cuyper,M. De Cuyper,D,29,183.0,4482,M,997152,EUR,977443200,M,29,29,False,20.0,10.0,,,0.0,5.0,9.0,5.0,11.0,2.0,2.0,,,,,,,64.0,37.0,7.3,15.0,0.269705,46.649542810905,8.0,25.41,11.13,,1,,0.55,0.11,0.17,,1.0,1.0,1.0,,3.0,1.0,2.0,,,1.0,,,,1.0,,4.0,2.0,1.0,0.0258,-0.14,,,,,,,,,,,,,,
