match_id,side,team,player_name,player_slug,player_shortName,player_position,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,player_height,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_goalAssist,stat_challengeLost,stat_bigChanceCreated,stat_interceptionWon,stat_wasFouled,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_dispossessed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_punches,stat_ownGoals,stat_totalOffside
11689345,home,VV Katwijk,Jean-Paul van Leeuwen,jean-paul-van-leeuwen,J. v. Leeuwen,G,1,M,866689,EUR,733708800.0,G,1,1,False,27.0,21.0,13.0,7.0,17.0,21.0,4.0,6.0,1.0,12.0,3.0,1.0,90.0,41.0,7.2,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689345,home,VV Katwijk,Bart Sinteur,bart-sinteur,B. Sinteur,D,4,M,893655,EUR,896572800.0,D,15,15,False,44.0,35.0,1.0,1.0,22.0,25.0,14.0,21.0,1.0,6.0,,,90.0,62.0,7.3,12.0,0,Bart,Sinteur,15,175.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11689345,home,VV Katwijk,Kay Blokland,kay-blokland,K. Blokland,D,1,M,908476,EUR,746236800.0,D,18,18,False,37.0,32.0,2.0,1.0,20.0,23.0,12.0,14.0,5.0,4.0,,,77.0,45.0,7.1,6.0,0,,,,,,,,2.0,6.0,3.0,,,1.0,4.0,1.0,True,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11689345,home,VV Katwijk,Levi Bouwense,levi-bouwense,L. Bouwense,D,1,M,962623,EUR,962064000.0,D,21,21,False,47.0,40.0,8.0,4.0,36.0,37.0,5.0,11.0,4.0,3.0,,,90.0,57.0,7.4,8.0,2,,,21,186.0,1.0,1.0,,2.0,2.0,2.0,,,1.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
11689345,home,VV Katwijk,Paul Kok,paul-kok,P. Kok,D,1,M,250489,EUR,787968000.0,D,5,5,False,63.0,53.0,14.0,11.0,37.0,41.0,16.0,23.0,,6.0,,,90.0,81.0,7.2,12.0,1,,,,190.0,1.0,,,,4.0,3.0,1.0,1.0,,3.0,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,
11689345,home,VV Katwijk,Des Kunst,des-kunst,D. Kunst,M,14,M,922017,EUR,939686400.0,M,14,14,False,36.0,30.0,2.0,1.0,7.0,8.0,26.0,32.0,1.0,6.0,,,83.0,51.0,7.3,11.0,0,,,10,194.0,4.0,3.0,,2.0,3.0,5.0,,,1.0,,2.0,,,,,,2.0,,,,4.0,1.0,,,,,,,,,
11689345,home,VV Katwijk,Rick van der Meer,rick-van-der-meer,R. v. d. Meer,M,5,M,361786,EUR,866246400.0,M,6,6,False,46.0,40.0,5.0,3.0,21.0,24.0,20.0,23.0,3.0,7.0,,,90.0,56.0,7.6,7.0,2,Rick,van der Meer,6,183.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,
11689345,home,VV Katwijk,Finn Janmaat,finn-janmaat,F. Janmaat,M,3,M,1411021,EUR,1046563200.0,M,25,25,False,29.0,20.0,2.0,,5.0,7.0,16.0,23.0,1.0,3.0,,,77.0,44.0,8.9,10.0,5,Finn Janmaat,,8,,1.0,1.0,2.0,,7.0,3.0,,,1.0,4.0,2.0,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,,2.0,,,,,
11689345,home,VV Katwijk,Ruben Doesburg,ruben-doesburg,R. Doesburg,M,5,M,1154974,EUR,897436800.0,F,7,7,False,14.0,7.0,2.0,,2.0,4.0,5.0,15.0,,2.0,,,63.0,33.0,7.4,18.0,4,Ruben Doesburg,,,,5.0,,1.0,2.0,7.0,4.0,1.0,1.0,3.0,1.0,2.0,,,2.0,,,,3.0,,,3.0,1.0,1.0,1.0,,1.0,,,,,
11689345,home,VV Katwijk,Sietse Brandsma,sietse-brandsma,S. Brandsma,F,4,M,1003146,EUR,848361600.0,F,9,9,False,15.0,8.0,,,2.0,4.0,6.0,11.0,,3.0,,,63.0,25.0,7.0,10.0,3,,,,195.0,,,2.0,2.0,4.0,3.0,,,3.0,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,,,,,,,
