match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_interceptionWon,stat_wonTackle,captain,stat_accurateCross,stat_outfielderBlock,stat_wasFouled,player_firstName,player_lastName,stat_bigChanceMissed,stat_goals,stat_totalOffside
14109753,home,Konyaspor,Bahadır Han Güngördü,bahadir-han-gungordu,B. H. Güngördü,G,13,190.0,97,M,807289,EUR,821750400,G,13,13,False,34.0,25.0,17.0,8.0,0.0,18.0,19.0,7.0,15.0,1.0,12.0,1.0,3.0,3.0,1.0,1.0,90.0,43.0,6.9,9.0,0.00269533,35.188418026546,5.0,16.59,12.285,0.3437,0,-0.2442,0.11,0.0,-0.05,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109753,home,Konyaspor,Yhoan Andzouana,yhoan-andzouana,Y. Andzouana,D,23,179.0,261,M,605548,EUR,850435200,D,23,23,False,46.0,38.0,1.0,,0.0,11.0,12.0,27.0,34.0,10.0,5.0,,,,,,90.0,76.0,7.1,17.0,0.257919,174.79509240977,20.0,122.43,24.78,,3,,0.56,0.36,-0.19,,3.0,1.0,2.0,8.0,1.0,10.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0986,0.0261,72.021811198485,4.0,2.0,-0.53,,,,,,,,,,,,
14109753,home,Konyaspor,Uğurcan Yazğılı,ugurcan-yazgili,U. Yazğılı,D,5,184.0,99,M,904303,EUR,923616000,D,5,5,False,70.0,64.0,5.0,5.0,0.0,32.0,34.0,32.0,36.0,8.0,7.0,,,,,,90.0,85.0,7.1,7.0,0.0109197,138.51173401676,21.0,94.185,26.985,,2,,0.24,0.06,-0.11,,,2.0,5.0,4.0,,,,,2.0,,,6.0,3.0,1.0,2.0,0.0274,,27.450159362015,1.0,1.0,-0.21,1.0,3.0,2.0,,,,,,,,,
14109753,home,Konyaspor,Yasir Subaşı,yasir-subasi,Y. Subaşı,D,3,180.0,51,M,796555,EUR,820454400,D,3,3,False,65.0,65.0,1.0,1.0,0.0,41.0,41.0,24.0,24.0,1.0,3.0,,,,,,85.0,71.0,6.8,,0.0116192,149.97797595739,20.0,101.115,12.705,,0,,0.11,0.11,0.2,,,4.0,1.0,5.0,,,,,,,,4.0,,,1.0,,,,,,,,1.0,,,,,,,,,,
14109753,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179.0,254,M,224112,EUR,638928000,D,12,12,False,60.0,55.0,8.0,4.0,0.0,25.0,26.0,30.0,34.0,1.0,1.0,,,,,,90.0,72.0,7.0,7.0,0.072663,59.923727405014,7.0,22.365,10.71,,0,,0.29,0.04,0.26,,1.0,2.0,,3.0,,,,,,,,2.0,1.0,,,,,,,,,1.0,,1.0,True,1.0,1.0,,,,,,
14109753,home,Konyaspor,Jo Jin-ho,jin-ho-jo,J. Jo,M,21,172.0,550,M,1019710,EUR,1057795200,M,21,21,False,46.0,42.0,2.0,,0.0,15.0,16.0,27.0,30.0,1.0,1.0,,,,,,79.0,55.0,6.9,4.0,0.0135105,77.746467316841,13.0,7.0350000000001,6.51,,1,,0.14,0.05,-0.03,,,,,2.0,,1.0,1.0,,1.0,,,1.0,,,1.0,0.0148,,,,,-0.03,1.0,3.0,,,,,,,,,,
14109753,home,Konyaspor,Jackson Muleka,jackson-muleka,J. Muleka,F,40,180.0,3687,M,927649,EUR,938995200,M,40,40,False,31.0,27.0,,,0.0,3.0,5.0,24.0,26.0,5.0,2.0,,,,,,85.0,53.0,6.3,14.0,0.0283339,72.889507622522,11.0,20.685,26.46,,2,,-0.28,0.32,0.2,,1.0,1.0,,8.0,3.0,4.0,1.0,,1.0,,1.0,2.0,2.0,3.0,1.0,0.0879,,27.709774160032,1.0,,-0.43,,1.0,2.0,,,,2.0,,,,,
14109753,home,Konyaspor,Morten Bjørlo,morten-bjorlo,M. Bjorlo,M,42,176.0,156,M,921358,EUR,812764800,M,42,42,False,45.0,37.0,,,1.0,8.0,10.0,29.0,35.0,6.0,5.0,,,,,,90.0,55.0,7.1,10.0,0.26364,77.319538243276,10.0,-3.15,12.6,,1,,0.35,0.23,-0.11,,,1.0,2.0,8.0,1.0,2.0,2.0,,1.0,,,1.0,,1.0,4.0,0.0514,,21.72171282946,2.0,4.0,-0.28,2.0,,,,,,2.0,,,,,
14109753,home,Konyaspor,Enis Bardhi,enis-bardhi,E. Bardhi,M,10,172.0,1009,M,355024,EUR,804643200,M,10,10,False,34.0,31.0,2.0,2.0,0.0,11.0,11.0,20.0,23.0,3.0,1.0,,,,,,72.0,46.0,7.1,6.0,0.160859,106.58245494582,11.0,36.12,20.685,,1,,0.25,0.27,0.14,,4.0,,,3.0,,2.0,,,1.0,,,,1.0,,1.0,0.0193,,35.254605023179,2.0,1.0,-0.16,,,,,3.0,,2.0,,,,,
14109753,home,Konyaspor,Pedrinho,pedrinho,Pedrinho,M,8,173.0,205,M,1015939,EUR,850953600,M,8,8,False,37.0,34.0,3.0,2.0,0.0,6.0,6.0,28.0,31.0,4.0,4.0,,,,,,86.0,60.0,6.8,16.0,0.0795064,216.94323462386,17.0,176.085,42.945,,1,,0.07,0.33,0.28,,8.0,1.0,1.0,7.0,1.0,4.0,1.0,,,,1.0,2.0,2.0,2.0,,0.0598,,134.19879921928,5.0,2.0,-0.27,2.0,1.0,2.0,,1.0,1.0,,,,,,
