match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_penaltyConceded,stat_keyPass,stat_wasFouled,stat_shotOffTarget,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,stat_dispossessed,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_goals,stat_penaltyWon,stat_goalAssist
10389832,home,Nantes,Alban Lafont,alban-lafont,A. Lafont,G,40,195,2914,M,826201,EUR,917049600,G,1,1,False,True,27.0,19.0,15.0,7.0,13.0,13.0,6.0,14.0,11.0,3.0,1.0,3.0,90.0,37.0,6.6,8.0,0.0,0.0,0.00478985,0,0.4843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389832,home,Nantes,João Victor,joao-victor,J. Victor,D,38,187,1786,M,982998,EUR,900633600,D,38,38,False,,27.0,20.0,3.0,,15.0,18.0,5.0,9.0,8.0,,,,45.0,37.0,6.0,8.0,0.0,0.0,0.00124834,0,,5.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10389832,home,Nantes,Jean-Charles Castelletto,jean-charles-castelletto,J.-C. Castelletto,D,21,186,1499,M,191204,EUR,791078400,D,21,21,False,,37.0,28.0,5.0,3.0,19.0,22.0,10.0,18.0,6.0,,,,90.0,53.0,6.5,13.0,0.0,0.0,0.0362933,0,,7.0,7.0,,,,5.0,1.0,1.0,4.0,,,3.0,1.0,3.0,6.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
10389832,home,Nantes,Nicolas Pallois,nicolas-pallois,N. Pallois,D,5,190,248,M,106496,EUR,559008000,D,4,4,False,,61.0,47.0,13.0,5.0,27.0,29.0,20.0,34.0,9.0,,,,90.0,76.0,6.2,17.0,0.0,0.0,0.018254,0,,6.0,8.0,4.0,2.0,2.0,3.0,1.0,,1.0,,,2.0,,1.0,3.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,
10389832,home,Nantes,Fabien Centonze,fabien-centonze,F. Centonze,D,18,182,177,M,802034,EUR,821750400,M,28,28,False,,14.0,11.0,2.0,1.0,6.0,9.0,5.0,7.0,3.0,,,,45.0,25.0,6.8,6.0,0.0902,0.0,0.00416302,1,,,3.0,,,,1.0,3.0,2.0,,,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
10389832,home,Nantes,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186,273,M,794836,EUR,698284800,M,3,3,False,,49.0,31.0,10.0,3.0,20.0,23.0,12.0,27.0,7.0,,,,90.0,66.0,7.6,19.0,0.1449,0.0237,0.231867,3,,6.0,10.0,4.0,,,,3.0,2.0,1.0,,,1.0,1.0,1.0,7.0,3.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,
10389832,home,Nantes,Samuel Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,92,178,6604,M,892624,EUR,839808000,M,8,8,False,,47.0,41.0,4.0,3.0,17.0,19.0,24.0,28.0,5.0,,,,90.0,53.0,6.2,9.0,0.0,0.0,0.0321532,0,,9.0,,1.0,1.0,,2.0,,,2.0,Samuel,Moutoussamy,,,4.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,
10389832,home,Nantes,Quentin Merlin,quentin-merlin,Q. Merlin,M,26,173,1164,M,1102502,EUR,1021507200,M,29,29,False,,20.0,10.0,1.0,1.0,4.0,6.0,7.0,19.0,2.0,,,,60.0,37.0,6.5,17.0,0.0,0.0,0.0462122,0,,4.0,3.0,,2.0,1.0,,2.0,1.0,1.0,Quentin Merlin,,5.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,
10389832,home,Nantes,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,F,10,10,False,,16.0,12.0,2.0,2.0,6.0,7.0,8.0,13.0,3.0,,,,75.0,32.0,6.8,11.0,0.0438,0.0,0.0800028,1,,7.0,4.0,,4.0,2.0,,,,2.0,,,4.0,2.0,3.0,1.0,,3.0,,2.0,1.0,,,,1.0,,,,,,,,,,,
10389832,home,Nantes,Mostafa Mohamed,mostafa-mohamed,M. Mohamed,F,31,185,32494,M,873551,EUR,880675200,F,31,31,False,,8.0,6.0,,,1.0,1.0,5.0,7.0,1.0,,,,60.0,17.0,6.6,3.0,0.305,0.6229,0.0103023,3,,6.0,6.0,,,,,,,2.0,,,,,4.0,3.0,2.0,1.0,,,3.0,1.0,,1.0,1.0,,,,,mostafamohamed11,1.0,,,,,
