match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_fouls,stat_bigChanceCreated,captain,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside
14025196,home,Leeds United,Karl Darlow,karl-darlow,K. Darlow,G,26,185,574,M,123689,EUR,655344000,G,26,26,False,48.0,29.0,30.0,11.0,0.0,21.0,25.0,8.0,23.0,1.0,1.0,12.0,1.0,3.0,3.0,1.0,90.0,60.0,6.7,19.0,0.00131982,0.3424,0,-0.6868,0.09,0.1,-0.1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025196,home,Leeds United,Jayden Bogle,bogle-jayden,J. Bogle,D,2,178,805,M,929132,EUR,964656000,D,2,2,False,24.0,19.0,3.0,3.0,0.0,12.0,12.0,7.0,12.0,7.0,3.0,3.0,1.0,,,,90.0,46.0,7.0,9.0,0.034009,,0,,0.29,0.17,-0.25,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
14025196,home,Leeds United,Joe Rodon,rodon-joe,J. Rodon,D,6,193,1190,M,828640,EUR,877478400,D,6,6,False,22.0,18.0,1.0,1.0,0.0,12.0,12.0,6.0,10.0,6.0,5.0,3.0,,,,,90.0,37.0,7.9,4.0,0.001338,,4,,-0.07,0.02,-0.08,,,,1.0,,,,1.0,2.0,2.0,,,,,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.3286,0.445,0.57,,,,,,,
14025196,home,Leeds United,Pascal Struijk,pascal-struijk,P. Struijk,D,5,190,1365,M,836675,EUR,934329600,D,5,5,False,50.0,43.0,6.0,5.0,0.0,28.0,31.0,15.0,19.0,5.0,11.0,4.0,1.0,,,,90.0,66.0,6.8,8.0,0.0164086,,1,,0.23,0.02,-0.2,,,,4.0,1.0,,,1.0,,,,1.0,,,2.0,4.0,1.0,,,,,0.1081,,-0.22,1.0,,,,,,
14025196,home,Leeds United,Gabriel Gudmundsson,gabriel-gudmundsson,G. Gudmundsson,D,3,181,1194,M,834308,EUR,925344000,D,3,3,False,28.0,21.0,4.0,2.0,0.0,13.0,16.0,8.0,12.0,7.0,1.0,2.0,3.0,,,,90.0,57.0,6.1,18.0,0.0073191,,0,,0.14,0.02,-0.31,,2.0,,13.0,1.0,3.0,,,4.0,1.0,,,,,2.0,,,,,,1.0,,,,4.0,3.0,,,,,
14025196,home,Leeds United,Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1652,M,866191,EUR,878169600,M,8,8,False,41.0,36.0,6.0,4.0,1.0,21.0,21.0,15.0,20.0,10.0,3.0,2.0,2.0,,,,90.0,70.0,9.3,8.0,0.247155,,2,,0.41,0.01,-0.08,,9.0,7.0,3.0,3.0,,,1.0,6.0,4.0,1.0,7.0,,,,2.0,1.0,1.0,,1.0,1.0,0.0974,0.562,0.56,,,2.0,,,,
14025196,home,Leeds United,Ethan Ampadu,ethan-ampadu,E. Ampadu,D,4,182,2540,M,847097,EUR,968889600,M,4,4,False,55.0,48.0,6.0,5.0,0.0,32.0,35.0,16.0,20.0,3.0,1.0,5.0,1.0,,,,90.0,66.0,6.8,11.0,0.0164883,,0,,0.26,0.02,-0.08,,,,4.0,,1.0,1.0,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,3.0,,True,,,
14025196,home,Leeds United,Anton Stach,anton-stach,A. Stach,M,18,192,1468,M,889861,EUR,911088000,M,18,18,False,33.0,25.0,1.0,,0.0,15.0,19.0,10.0,14.0,3.0,,5.0,,,,,90.0,40.0,5.9,10.0,0.0102145,,0,,-0.19,0.09,-0.38,,,,4.0,,2.0,1.0,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,
14025196,home,Leeds United,Brenden Aaronson,brenden-aaronson,B. Aaronson,M,11,178,2596,M,973431,EUR,972172800,F,11,11,False,17.0,13.0,,,0.0,2.0,3.0,11.0,14.0,8.0,,2.0,4.0,,,,87.0,43.0,6.7,11.0,0.0170275,,5,,0.01,-0.21,-0.03,,1.0,,8.0,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,,,1.0,2.0,1.0,1.0,3.0,,,0.4692,0.1765,-0.31,2.0,1.0,1.0,,,,
14025196,home,Leeds United,Dominic Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,187,5857,M,372344,EUR,858470400,F,9,9,False,20.0,12.0,1.0,,0.0,4.0,4.0,8.0,16.0,7.0,,2.0,,,,,89.0,38.0,6.3,17.0,0.0427693,,3,,0.01,0.41,-0.06,,,,14.0,1.0,2.0,1.0,,1.0,1.0,5.0,1.0,,,7.0,5.0,,3.0,,,,0.6971,0.7453,-0.51,3.0,2.0,,,CalvertLewin14,3.0,
