match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,player_firstName,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,player_lastName,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceMissed,stat_penaltyWon,stat_aerialLost,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_errorLeadToAGoal
12450932,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,1,1,False,29.0,23.0,10.0,4.0,0.0,23.0,25.0,4.0,1.0,7.0,1.0,2.0,2.0,90.0,38.0,6.9,6.0,0.00011609,0,-0.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450932,home,Paris Saint-Germain,Achraf Hakimi,hakimi-achraf,A. Hakimi,D,2,181,124757,M,AHakimi,814594,EUR,910137600,D,2,2,False,88.0,82.0,2.0,1.0,0.0,27.0,29.0,64.0,2.0,6.0,,,,90.0,121.0,7.2,18.0,0.238608,0,,True,56.0,5.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12450932,home,Paris Saint-Germain,Lucas Beraldo,lucas-beraldo,L. Beraldo,D,4,182,17502,M,lberaldo,1108441,EUR,1069632000,D,35,35,False,73.0,68.0,4.0,3.0,0.0,40.0,43.0,30.0,1.0,3.0,,,,63.0,75.0,6.8,5.0,0.0112785,1,,,28.0,,,1.0,1.0,1.0,,,,,,,,,,,,,Lucas Beraldo,1.0,1.0,0.1154,,,,,,,,,,,,,,,,,
12450932,home,Paris Saint-Germain,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25491,M,pachowilliam,979480,EUR,1003190400,D,51,51,False,64.0,60.0,4.0,2.0,0.0,43.0,45.0,19.0,9.0,4.0,,,,90.0,81.0,7.4,5.0,0.00685901,0,,,17.0,,,1.0,1.0,5.0,,,,,,4.0,3.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
12450932,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37370,M,nunomendes_5,989768,EUR,1024444800,D,25,25,False,47.0,42.0,4.0,3.0,0.0,19.0,20.0,28.0,2.0,4.0,,,,64.0,59.0,6.9,7.0,0.0971453,0,,,23.0,1.0,,,,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12450932,home,Paris Saint-Germain,Warren Zaïre-Emery,warren-zaire-emery,W. Zaïre-Emery,M,33,178,16154,M,wzairemery6,1142672,EUR,1141776000,M,33,33,False,70.0,67.0,2.0,2.0,0.0,27.0,28.0,42.0,1.0,6.0,,,,90.0,87.0,7.5,5.0,0.0391147,2,,,40.0,,,,2.0,4.0,,1.0,2.0,2.0,,1.0,1.0,,,1.0,,,,,1.0,0.1351,1.0,3.0,,,1.0,1.0,0.1876,,,,,,,,,,
12450932,home,Paris Saint-Germain,João Neves,joao-neves,J. Neves,M,87,174,37142,M,joao_neves,1190933,EUR,1096243200,M,87,87,False,75.0,71.0,6.0,5.0,0.0,32.0,34.0,41.0,3.0,9.0,,,,90.0,91.0,7.3,7.0,0.206242,1,,,39.0,,,,3.0,6.0,1.0,1.0,2.0,1.0,,4.0,2.0,,1.0,1.0,,1.0,,,,0.1822,,1.0,,,,1.0,,,,,,,,,,,
12450932,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50484,M,vitinha,902029,EUR,950400000,M,17,17,False,90.0,87.0,8.0,7.0,0.0,36.0,36.0,54.0,1.0,5.0,,,,90.0,98.0,7.9,5.0,0.0956173,1,,,51.0,,,,,2.0,,,1.0,1.0,,1.0,,,2.0,,,,,,,0.7884,,1.0,,,1.0,,0.7881,1.0,,,,,,,,,
12450932,home,Paris Saint-Germain,Kang-in Lee,kang-in-lee,K. Lee,M,19,173,19307,M,kanginlee,917087,EUR,982540800,F,19,19,False,42.0,39.0,2.0,2.0,0.0,6.0,6.0,40.0,,2.0,,,,63.0,53.0,7.1,10.0,0.142209,2,,,34.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,2.0,,,1.0,,1.0,2.0,0.1801,,,,,1.0,,0.3091,,,,,,,,,,
12450932,home,Paris Saint-Germain,Ousmane Dembélé,ousmane-dembele,O. Dembélé,F,10,178,239383,M,ODembélé,818244,EUR,863654400,F,10,10,False,43.0,39.0,4.0,2.0,0.0,11.0,11.0,32.0,,,,,,86.0,49.0,7.7,6.0,0.143858,2,,,28.0,,,2.0,,3.0,,,1.0,1.0,1.0,,,,2.0,,1.0,3.0,,1.0,,0.4007,,,,,1.0,,0.431,1.0,1.0,,,,,,,,
12450932,home,Paris Saint-Germain,Désiré Doué,desire-doue,D. Doué,F,14,181,91970,M,DD14,1154605,EUR,1117756800,F,14,14,False,24.0,21.0,3.0,3.0,1.0,6.0,6.0,20.0,1.0,3.0,,,,83.0,45.0,7.5,12.0,0.240198,1,,,15.0,2.0,,1.0,7.0,7.0,1.0,1.0,6.0,2.0,,1.0,1.0,,2.0,3.0,,2.0,Désiré Doué,,2.0,0.0079,,1.0,,,,1.0,,,,1.0,,,,,,,
12450932,home,Paris Saint-Germain,Marquinhos,marquinhos,Marquinhos,D,5,183,36538,M,marquinhosm5,155995,EUR,768873600,D,5,5,True,27.0,26.0,1.0,1.0,0.0,18.0,19.0,8.0,,3.0,,,,27.0,30.0,6.6,1.0,0.00302248,0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450932,home,Paris Saint-Germain,Bradley Barcola,barcola-bradley,B. Barcola,F,29,182,37510,M,bradley_b,996952,EUR,1030924800,F,29,29,True,15.0,11.0,,,0.0,2.0,3.0,13.0,,,,,,27.0,25.0,6.4,8.0,0.0173287,2,,,9.0,1.0,,,3.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,,1.0,,0.2996,,,,,1.0,,0.1409,,1.0,,,,,,,,
