match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_aerialLost,stat_wasFouled,stat_fouls,stat_accurateCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed
10583800,home,Al-Nassr,David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5027,M,D_Ospina1,33596,EUR,588988800,G,25,25,False,45.0,38.0,15.0,8.0,32.0,34.0,6.0,11.0,1.0,12.0,1.0,1.0,2.0,90.0,54.0,7.4,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583800,home,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175.0,1281,M,,818667,EUR,830390400,D,78,78,False,41.0,35.0,6.0,3.0,22.0,23.0,13.0,22.0,5.0,5.0,,,,89.0,67.0,7.3,14.0,0,4.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,
10583800,home,Al-Nassr,Abdulelah Al-Amri,,,abdulelah-al-amri,A. Al-Amri,D,5,185.0,1135,M,,881831,EUR,853286400,D,5,5,False,77.0,68.0,12.0,6.0,53.0,54.0,15.0,23.0,2.0,3.0,,,,90.0,86.0,7.0,9.0,0,,1.0,5.0,,,5.0,,2.0,,,True,3.0,1.0,2.0,,,,,,,,,,,,,
10583800,home,Al-Nassr,Abdullah Madu,,,abdullah-madu,A. Madu,D,3,186.0,189,M,,794347,EUR,742694400,D,3,3,False,73.0,65.0,8.0,4.0,51.0,54.0,14.0,19.0,3.0,4.0,,,,90.0,79.0,7.3,8.0,0,,,2.0,1.0,,,,1.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,
10583800,home,Al-Nassr,Ghislain Konan,Ghislain,Konan,ghislain-konan,G. Konan,D,3,176.0,2811,M,,831781,EUR,820022400,D,13,13,False,61.0,55.0,6.0,5.0,36.0,39.0,21.0,27.0,6.0,5.0,,,,90.0,91.0,6.9,16.0,0,5.0,,5.0,1.0,2.0,2.0,,3.0,1.0,1.0,,,2.0,1.0,2.0,4.0,3.0,3.0,1.0,,,,,,,,
10583800,home,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168.0,1412,M,,1130539,EUR,989798400,M,23,23,False,23.0,18.0,,,3.0,5.0,16.0,19.0,5.0,5.0,,,,62.0,35.0,7.1,8.0,2,1.0,2.0,3.0,,2.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
10583800,home,Al-Nassr,Luiz Gustavo,,,luiz-gustavo,L. Gustavo,M,14,187.0,2128,M,,29735,EUR,553996800,M,18,18,False,42.0,39.0,2.0,2.0,23.0,24.0,16.0,18.0,7.0,3.0,,,,78.0,50.0,6.9,3.0,1,,1.0,2.0,1.0,,,,1.0,3.0,3.0,,,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,
10583800,home,Al-Nassr,Ali Al-Hassan,,,ali-al-hassan,A. Al-Hassan,M,19,183.0,1000,M,,925947,EUR,857433600,M,19,19,False,47.0,42.0,3.0,2.0,21.0,21.0,21.0,27.0,2.0,3.0,,,,90.0,52.0,7.0,6.0,1,1.0,,4.0,,,,1.0,,1.0,,,1.0,,3.0,,1.0,1.0,,,,,,1.0,,,,
10583800,home,Al-Nassr,Khalid Al-Ghannam,,,khalid-al-ghannam,K. Al-Ghannam,M,17,171.0,713,M,,976538,EUR,973641600,M,11,11,False,17.0,14.0,2.0,,6.0,6.0,8.0,11.0,3.0,2.0,,,,61.0,26.0,6.4,7.0,1,,1.0,3.0,,,,,,1.0,,,,,,,4.0,1.0,1.0,,1.0,,,,,,,
10583800,home,Al-Nassr,Sami Al-Najei,,,sami-al-najei,S. Al-Najei,M,14,181.0,886,M,,832312,EUR,855273600,F,14,14,False,30.0,26.0,1.0,1.0,4.0,5.0,23.0,29.0,7.0,1.0,,,,90.0,47.0,7.2,11.0,0,4.0,,5.0,1.0,1.0,,,,3.0,2.0,,1.0,4.0,2.0,1.0,,,2.0,2.0,,,,,,,,
