match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_fouls,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_blockedScoringAttempt,player_sofascoreId,captain,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
12437684,home,Athletic Club,Julen Agirrezabala,,,julen-agirrezabala,J. Agirrezabala,G,25,187,1097,M,1014412,EUR,977788800,G,13,13,False,20.0,16.0,6.0,2.0,0.0,15.0,17.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,90.0,29.0,6.6,4.0,0.00021549,0,0.4123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437684,home,Athletic Club,Íñigo Lekue,,,inigo-lekue,Í. Lekue,D,15,180,388,M,801837,EUR,736473600,D,15,15,False,54.0,46.0,2.0,1.0,0.0,14.0,16.0,32.0,41.0,1.0,,5.0,,,90.0,78.0,6.3,15.0,0.0230822,0,,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12437684,home,Athletic Club,Daniel Vivian,,,daniel-vivian,D. Vivian,D,3,183,3110,M,910978,EUR,931132800,D,3,3,False,86.0,76.0,4.0,1.0,0.0,34.0,39.0,42.0,47.0,3.0,1.0,4.0,,,90.0,93.0,6.7,11.0,0.0206547,0,,,3.0,,3.0,,1.0,1.0,,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
12437684,home,Athletic Club,Yeray Álvarez,,,yeray-alvarez,Y. Álvarez,D,5,183,811,M,807648,EUR,790905600,D,5,5,False,77.0,70.0,8.0,4.0,0.0,43.0,46.0,27.0,32.0,3.0,2.0,4.0,,,90.0,84.0,6.3,8.0,0.021854,0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
12437684,home,Athletic Club,Yuri Berchiche,,,yuri-berchiche,Y. Berchiche,D,17,181,1146,M,84531,EUR,634608000,D,17,17,False,56.0,52.0,3.0,1.0,0.0,19.0,20.0,33.0,37.0,,,7.0,,,90.0,78.0,7.2,8.0,0.0330425,1,,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,1.0,2.0,0.0286,,,,,,,,,,,,,,
12437684,home,Athletic Club,Ander Herrera,,,ander-herrera,A. Herrera,M,21,182,3084,M,82474,EUR,619056000,M,21,21,False,58.0,53.0,2.0,1.0,0.0,12.0,13.0,41.0,45.0,4.0,2.0,2.0,,,64.0,62.0,6.8,5.0,0.0467611,2,,,1.0,,1.0,,,1.0,1.0,,,,,,,2.0,1.0,,0.0646,1.0,,,,,,,,,,,,,
12437684,home,Athletic Club,Beñat Prados,,,benat-prados,B. Prados,M,24,179,600,M,1012409,EUR,981590400,M,24,24,False,50.0,44.0,2.0,,0.0,16.0,16.0,28.0,34.0,6.0,3.0,2.0,,,64.0,58.0,6.6,7.0,0.0179851,0,,,2.0,,,,1.0,,,,,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
12437684,home,Athletic Club,Iñaki Williams,,,inaki-williams,I. Williams,M,9,186,20741,M,783374,EUR,771638400,M,9,9,False,25.0,16.0,1.0,,0.0,1.0,1.0,15.0,28.0,7.0,,,,,71.0,49.0,6.7,23.0,0.0256756,0,,4.0,7.0,9.0,1.0,1.0,,,,,,4.0,,,2.0,2.0,,,,,IñakiWill,True,1.0,5.0,,,,,,,,,
12437684,home,Athletic Club,Oihan Sancet,,,oihan-sancet,O. Sancet,M,8,188,3356,M,966801,EUR,956620800,M,8,8,False,46.0,40.0,,,0.0,5.0,5.0,35.0,42.0,3.0,1.0,5.0,,,81.0,57.0,6.8,15.0,0.0559185,1,,1.0,,1.0,,,,,,,,6.0,1.0,,,,,,0.032,,,,1.0,,1.0,0.0771,,,,,,,
12437684,home,Athletic Club,Nico Williams,,,nico-williams,N. Williams,M,10,180,84836,M,1085400,EUR,1026432000,M,10,10,False,25.0,21.0,2.0,2.0,0.0,4.0,4.0,18.0,25.0,13.0,1.0,1.0,,,90.0,44.0,5.8,17.0,0.0457676,0,,4.0,4.0,8.0,,,,2.0,1.0,,,1.0,,3.0,1.0,2.0,,,,,NicoWill,,1.0,1.0,,,1.0,1.0,,,,,
