match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_wonTackle,stat_totalContest,stat_wonContest,stat_accurateCross,stat_keyPass,player_sofascoreId,stat_dispossessed,stat_wasFouled,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_onTargetScoringAttempt,stat_goodHighClaim
10388307,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,38.0,17.0,26.0,5.0,12.0,17.0,5.0,21.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,90.0,41.0,7.2,21.0,0.0,0.0,0.0011064,0,0.0961,,,,,,,,,,,,,,,,,,,,,,,,,
10388307,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,25.0,18.0,4.0,1.0,12.0,15.0,6.0,11.0,1.0,3.0,1.0,8.0,,,,90.0,36.0,7.2,9.0,0.0591,0.0,0.0040639,1,,,,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
10388307,home,1. FC Union Berlin,Robin Knoche,robin-knoche,R. Knoche,D,31,190,148,M,130433,EUR,706492800,D,31,31,False,50.0,42.0,13.0,6.0,31.0,32.0,11.0,18.0,3.0,4.0,2.0,7.0,,,,90.0,58.0,7.3,8.0,0.0,0.0,0.105192,0,,,,,3.0,,,3.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,
10388307,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,37.0,28.0,8.0,4.0,23.0,27.0,5.0,11.0,3.0,5.0,2.0,7.0,,,,90.0,49.0,7.5,10.0,0.1432,0.0,0.00735247,1,,,,1.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
10388307,home,1. FC Union Berlin,Josip Juranović,josip-juranovic,J. Juranović,D,18,173,3077,M,791642,EUR,808531200,M,18,18,False,24.0,17.0,4.0,1.0,12.0,13.0,8.0,18.0,2.0,3.0,3.0,7.0,,,,90.0,48.0,7.1,13.0,0.0,0.0,0.186032,0,,,,7.0,3.0,1.0,,1.0,1.0,,,2.0,,,,,3.0,2.0,,,,,,,,
10388307,home,1. FC Union Berlin,Aissa Laïdouni,aissa-laidouni,A. Laïdouni,M,93,182,3217,M,828077,EUR,850435200,M,20,20,False,15.0,8.0,2.0,1.0,5.0,9.0,3.0,6.0,,3.0,,5.0,,,,69.0,30.0,6.6,12.0,0.0788,0.0,0.00389004,1,,,,,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,,,,,laids_93,1.0,2.0,,,,,
10388307,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,28.0,23.0,1.0,1.0,17.0,18.0,6.0,10.0,1.0,6.0,1.0,6.0,,,,90.0,39.0,7.3,7.0,0.0,0.0,0.00482424,0,,,,,3.0,,,2.0,4.0,1.0,1.0,2.0,,2.0,,,,,,,1.0,True,,,,
10388307,home,1. FC Union Berlin,Janik Haberer,janik-haberer,J. Haberer,M,19,187,178,M,168985,EUR,765244800,M,19,19,False,37.0,27.0,4.0,3.0,13.0,15.0,15.0,23.0,,1.0,2.0,6.0,,,,78.0,45.0,6.7,12.0,0.0327,0.0,0.141214,1,,,,1.0,7.0,2.0,1.0,,1.0,1.0,1.0,3.0,,,,,1.0,3.0,,1.0,,,,,,
10388307,home,1. FC Union Berlin,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,M,26,26,False,25.0,20.0,6.0,2.0,9.0,11.0,11.0,19.0,1.0,5.0,3.0,3.0,,,,89.0,53.0,7.0,15.0,0.0,0.0,0.0171481,0,,,,5.0,3.0,,,2.0,3.0,,,1.0,,2.0,1.0,1.0,,1.0,,2.0,,,,,,
10388307,home,1. FC Union Berlin,Jordan Siebatcheu,jordan-siebatcheu,J. Siebatcheu,F,29,190,661,M,788786,EUR,830476800,F,45,45,False,16.0,12.0,1.0,,4.0,5.0,8.0,11.0,3.0,6.0,,3.0,,,,78.0,25.0,6.7,6.0,0.3397,0.0,0.0296112,2,,,,,7.0,2.0,1.0,,1.0,2.0,1.0,4.0,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,
