match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,player_sofascoreId,stat_aerialWon,stat_fouls,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_goalAssist,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_accurateCross,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_goals,captain,stat_outfielderBlock,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_penaltyConceded
10434151,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,26.0,19.0,14.0,7.0,16.0,19.0,3.0,7.0,7.0,90.0,31.0,6.3,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434151,home,Beşiktaş JK,Onur Bulut,onur-bulut,O. Bulut,D,6,179,562,M,142494,EUR,766454400,D,4,4,False,25.0,20.0,,,12.0,14.0,8.0,13.0,8.0,90.0,47.0,6.6,12.0,0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434151,home,Beşiktaş JK,Romain Saïss,romain-saiss,R. Saiss,D,29,190,7929,M,187729,EUR,638409600,D,26,26,False,65.0,53.0,11.0,3.0,40.0,44.0,13.0,21.0,11.0,90.0,70.0,6.6,13.0,0,,,2.0,3.0,,,2.0,1.0,,,,,romain_saiss27,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10434151,home,Beşiktaş JK,Omar Colley,omar-colley,O. Colley,D,15,190,966,M,238408,EUR,719798400,D,6,6,False,47.0,44.0,4.0,2.0,33.0,34.0,11.0,13.0,8.0,90.0,63.0,7.6,5.0,0,,2.0,2.0,10.0,,,6.0,3.0,1.0,1.0,,,,7.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10434151,home,Beşiktaş JK,Arthur Masuaku,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,25,25,False,55.0,47.0,4.0,1.0,22.0,28.0,25.0,33.0,9.0,86.0,89.0,7.2,22.0,1,6.0,3.0,8.0,10.0,3.0,3.0,,1.0,2.0,,,,masuaku26,,1.0,,7.0,3.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
10434151,home,Beşiktaş JK,Amir Hadžiahmetović,amir-hadziahmetovic,A. Hadžiahmetović,M,20,179,1356,M,795421,EUR,857779200,M,19,19,False,47.0,41.0,4.0,3.0,21.0,23.0,20.0,28.0,8.0,74.0,63.0,6.9,12.0,1,4.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
10434151,home,Beşiktaş JK,Salih Uçan,salih-ucan,S. Uçan,M,8,182,1367,M,135695,EUR,757814400,M,8,8,False,37.0,28.0,4.0,2.0,16.0,19.0,12.0,19.0,9.0,75.0,51.0,6.8,12.0,3,1.0,,6.0,5.0,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,,3.0,1.0,1.0,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,
10434151,home,Beşiktaş JK,Rachid Ghezzal,rachid-ghezzal,R. Ghezzal,M,18,182,3146,M,123228,EUR,705369600,M,18,18,False,39.0,33.0,2.0,1.0,12.0,14.0,23.0,33.0,5.0,74.0,57.0,7.3,16.0,1,8.0,,4.0,2.0,1.0,,,,2.0,,,,,,,,2.0,1.0,4.0,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,
10434151,home,Beşiktaş JK,Nathan Redmond,nathan-redmond,N. Redmond,M,,173,416,M,115346,EUR,762912000,M,15,15,False,42.0,32.0,6.0,2.0,12.0,13.0,20.0,29.0,5.0,90.0,52.0,7.1,11.0,4,,1.0,6.0,2.0,2.0,2.0,,,,,,,,,3.0,,,,1.0,,2.0,,,4.0,,,,,1.0,1.0,,,,,,,,
10434151,home,Beşiktaş JK,Cenk Tosun,cenk-tosun,C. Tosun,F,23,183,2904,M,72127,EUR,676252800,M,9,9,False,10.0,7.0,1.0,,4.0,5.0,3.0,6.0,1.0,35.0,18.0,6.1,6.0,3,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,2.0,,,,,1.0,,True,,,,,,,
