match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_errorLeadToAGoal,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_outfielderBlock,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated
12499535,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,21.0,20.0,7.0,6.0,0.0,20.0,20.0,1.0,3.0,8.0,1.0,1.0,3.0,3.0,90.0,28.0,6.5,1.0,0.00013686,0,-1.7868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499535,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,59.0,51.0,6.0,2.0,0.0,29.0,29.0,31.0,2.0,3.0,,,,,90.0,66.0,6.6,8.0,0.125826,0,,,,23.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12499535,home,1. FC Union Berlin,Leopold Querfeld,querfeld-leopold,L. Querfeld,D,14,190,1226,M,1086547,EUR,1071878400,D,14,14,False,84.0,72.0,15.0,9.0,0.0,36.0,37.0,47.0,5.0,8.0,,,,,90.0,96.0,6.8,13.0,0.0287127,0,,,,36.0,,,4.0,4.0,6.0,6.0,2.0,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
12499535,home,1. FC Union Berlin,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,2,2,False,62.0,58.0,5.0,3.0,0.0,32.0,32.0,30.0,,5.0,,,,,63.0,67.0,6.5,5.0,0.0251582,0,,,,26.0,,,,1.0,2.0,4.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12499535,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,M,28,28,False,12.0,7.0,2.0,1.0,0.0,4.0,4.0,10.0,2.0,1.0,,,,,63.0,26.0,6.6,12.0,0.0164865,1,,,,3.0,2.0,,,1.0,4.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,,,True,2.0,1.0,0.0245,0.2306,,,,,,,
12499535,home,1. FC Union Berlin,Janik Haberer,janik-haberer,J. Haberer,M,19,187,178,M,168985,EUR,765244800,M,19,19,False,30.0,22.0,1.0,,0.0,11.0,13.0,17.0,1.0,5.0,,,,,90.0,40.0,6.7,9.0,0.00720237,0,,,,11.0,,,1.0,,2.0,3.0,3.0,3.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,
12499535,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,42.0,38.0,1.0,1.0,0.0,22.0,22.0,20.0,,6.0,,,,,90.0,49.0,6.7,5.0,0.0292798,0,,,,16.0,,,2.0,,6.0,4.0,4.0,3.0,,,,1.0,4.0,,,,,,,,,,,,,,,,
12499535,home,1. FC Union Berlin,Tom Rothe,rothe-tom,T. Rothe,M,15,192,809,M,1210666,EUR,1099008000,M,15,15,False,25.0,19.0,3.0,1.0,0.0,7.0,8.0,18.0,,3.0,,,,,63.0,42.0,6.2,12.0,0.00927717,0,,,,12.0,1.0,,1.0,,6.0,2.0,2.0,2.0,,,,,,3.0,1.0,,,,1.0,,,,,,,,,,
12499535,home,1. FC Union Berlin,László Bénes,laszlo-benes,L. Bénes,M,8,181,800,M,354558,EUR,873763200,F,20,20,False,22.0,16.0,2.0,1.0,0.0,7.0,7.0,16.0,,3.0,,,,,71.0,29.0,6.5,10.0,0.00999568,2,,,,9.0,1.0,,,,4.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,0.0842,,2.0,,,,,,
12499535,home,1. FC Union Berlin,Benedict Hollerbach,benedict-hollerbach,B. Hollerbach,F,17,181,519,M,975800,EUR,990057600,F,16,16,False,24.0,17.0,,,0.0,7.0,7.0,21.0,,4.0,,,,,90.0,52.0,6.5,21.0,0.0244325,2,,,,10.0,4.0,,3.0,1.0,11.0,6.0,2.0,1.0,2.0,1.0,,5.0,1.0,5.0,1.0,1.0,,,2.0,,0.0993,,1.0,1.0,1.0,,,,
12499535,home,1. FC Union Berlin,Andrej Ilić,andrej-ilic,A. Ilić,F,23,189,856,M,953767,EUR,954720000,F,23,23,False,18.0,12.0,,,0.0,3.0,3.0,16.0,1.0,,,,,,45.0,29.0,6.5,11.0,0.0115859,1,,,,9.0,1.0,,2.0,,3.0,1.0,,,1.0,,1.0,3.0,,1.0,,,,,,,0.0578,,1.0,,,,,,
12499535,home,1. FC Union Berlin,Marin Ljubičić,marin-ljubicic,M. Ljubičić,F,27,183,1866,M,1090010,EUR,1014854400,F,27,27,True,6.0,3.0,1.0,,0.0,1.0,1.0,5.0,,2.0,,,,,45.0,10.0,6.7,3.0,0.00934382,0,,,,2.0,,,,1.0,2.0,4.0,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,
12499535,home,1. FC Union Berlin,Josip Juranović,josip-juranovic,J. Juranović,D,18,173,3077,M,791642,EUR,808531200,D,18,18,True,15.0,13.0,1.0,1.0,0.0,5.0,6.0,10.0,4.0,,,,,,27.0,26.0,6.8,4.0,0.017581,1,,,,8.0,1.0,,,,2.0,2.0,2.0,2.0,,1.0,,,,,,,,,2.0,,0.0189,,1.0,,,,,,
