match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_sofascoreId,stat_goalAssist,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_errorLeadToAShot,stat_wasFouled,stat_shotOffTarget,stat_fouls,stat_totalCross,stat_dispossessed,stat_totalOffside,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,captain,stat_challengeLost,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10878415,home,Manchester United,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3069,M,42209,EUR,600825600,G,31,31,False,42.0,36.0,11.0,5.0,35.0,38.0,1.0,4.0,3.0,5.0,1.0,1.0,90.0,50.0,7.4,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10878415,home,Manchester United,Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18232,M,863653,EUR,880502400,D,29,29,False,36.0,30.0,,,22.0,27.0,8.0,9.0,,5.0,,,72.0,59.0,7.6,9.0,0,awbissaka,1.0,4.0,1.0,8.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10878415,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,85477,M,122951,EUR,698803200,D,18,18,False,112.0,90.0,19.0,9.0,60.0,66.0,30.0,46.0,4.0,6.0,,,90.0,125.0,7.3,22.0,0,Casemiro,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10878415,home,Manchester United,Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,8787,M,143334,EUR,774403200,D,2,2,False,82.0,77.0,6.0,5.0,64.0,66.0,13.0,16.0,1.0,5.0,,,90.0,86.0,7.0,5.0,1,victorlindelof,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
10878415,home,Manchester United,Tyrell Malacia,,,tyrell-malacia,T. Malacia,D,12,169,8793,M,825839,EUR,934761600,D,12,12,False,36.0,34.0,3.0,3.0,20.0,21.0,14.0,17.0,2.0,5.0,,,85.0,54.0,7.1,8.0,0,tyrellmalacia,,,2.0,4.0,,,,,4.0,3.0,2.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,
10878415,home,Manchester United,Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,25842,M,879346,EUR,850003200,M,39,39,False,37.0,29.0,,,13.0,16.0,16.0,21.0,2.0,4.0,,,90.0,57.0,7.2,14.0,1,ScottMcTominay,1.0,1.0,4.0,8.0,3.0,1.0,,,5.0,5.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,
10878415,home,Manchester United,Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,20679,M,105734,EUR,698025600,M,14,14,False,54.0,47.0,6.0,3.0,18.0,18.0,31.0,40.0,,4.0,,,90.0,62.0,7.5,9.0,1,chriseriksen8,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,4.0,,,2.0,1.0,1.0,,,,,,,,
10878415,home,Manchester United,Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,363363,M,814590,EUR,878256000,M,10,10,False,21.0,13.0,1.0,,4.0,6.0,10.0,17.0,,4.0,,,85.0,41.0,7.2,17.0,2,Rashford,,2.0,4.0,6.0,3.0,2.0,,,,,4.0,1.0,1.0,,,2.0,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
10878415,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,237692,M,288205,EUR,778982400,M,8,8,False,51.0,37.0,5.0,2.0,11.0,18.0,27.0,35.0,,5.0,,,90.0,62.0,7.8,16.0,1,BrunoFernandes,,,2.0,5.0,1.0,1.0,1.0,,2.0,2.0,1.0,5.0,1.0,,,2.0,1.0,1.0,2.0,,,1.0,,,,True,,,,,,
10878415,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,137323,M,1135873,EUR,1088640000,M,49,49,False,18.0,16.0,1.0,,2.0,3.0,14.0,15.0,,4.0,,,59.0,23.0,6.4,3.0,1,AleGarnacho,,,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,
