match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,captain,player_sofascoreId,stat_goalAssist,stat_goals,stat_bigChanceMissed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
11388443,home,Vitesse,Eloy Room,eloy-room,E. Room,G,188,180,M,40859,EUR,602726400,G,1,1,False,29.0,15.0,18.0,4.0,12.0,15.0,3.0,14.0,5.0,3.0,3.0,90.0,35.0,6.0,14.0,0.00437437,0,-1.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388443,home,Vitesse,Carlens Arcus,carlens-arcus,C. Arcus,D,180,5896,M,794373,EUR,835920000,D,2,2,False,44.0,40.0,6.0,5.0,21.0,24.0,20.0,24.0,4.0,,,61.0,72.0,6.4,9.0,0.0499296,2,,2,4.0,1.0,2.0,4.0,5.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0332,,,,,,,,,,,,,,,,,,,,
11388443,home,Vitesse,Nicolas Isimat-Mirin,nicolas-isimat-mirin,N. Isimat-Mirin,D,189,76,M,781556,EUR,690076800,D,29,29,False,67.0,56.0,9.0,4.0,36.0,41.0,20.0,26.0,8.0,,,90.0,80.0,6.6,11.0,0.200756,0,,,,,1.0,1.0,5.0,,1.0,1.0,,5.0,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,
11388443,home,Vitesse,Ramon Hendriks,ramon-hendriks,R. Hendriks,D,189,435,M,916943,EUR,995414400,D,15,15,False,75.0,69.0,2.0,,45.0,48.0,24.0,27.0,6.0,,,90.0,90.0,6.6,6.0,0.0351439,1,,3,,,2.0,3.0,7.0,,,,,5.0,1.0,,,,,,0.0175,7.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11388443,home,Vitesse,Mica Pinto,mica-pinto,Mica,D,176,157,M,785815,EUR,739152000,D,5,5,False,59.0,53.0,4.0,4.0,30.0,32.0,24.0,29.0,10.0,,,90.0,76.0,6.6,9.0,0.054459,1,,5,2.0,1.0,,,3.0,,,,,1.0,1.0,1.0,1.0,,2.0,,0.0236,2.0,1.0,,,,,,,,,,,,,,,,,,
11388443,home,Vitesse,Paxten Aaronson,paxten-aaronson,P. Aaronson,M,175,898,M,1035515,EUR,1061856000,M,14,14,False,46.0,41.0,2.0,,15.0,15.0,26.0,33.0,5.0,,,90.0,63.0,7.5,9.0,0.765617,3,,31,2.0,,,2.0,4.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,2.0,1.0,0.2605,,,,1.0,Paxten Aaronson,,1.0,3.0,0.6571,4.0,,,,,,,,,,
11388443,home,Vitesse,Mathijs Tielemans,mathijs-tielemans,M. Tielemans,M,181,116,M,966542,EUR,1019779200,M,21,21,False,71.0,69.0,5.0,5.0,27.0,27.0,42.0,44.0,7.0,,,90.0,86.0,6.7,6.0,0.0589486,2,,8,,,2.0,4.0,2.0,,,,2.0,,3.0,1.0,,,2.0,1.0,0.0844,,,,,,,,,,1.0,2.0,,,,,,,,,
11388443,home,Vitesse,Marco van Ginkel,marco-van-ginkel,M. van Ginkel,F,186,361,M,112794,EUR,723168000,M,8,8,False,31.0,21.0,2.0,,10.0,12.0,11.0,19.0,2.0,,,61.0,43.0,6.7,15.0,0.0334753,2,,,,,1.0,4.0,8.0,,,,,,,,,,2.0,2.0,0.2311,6.0,1.0,,,,,,1.0,0.3697,1.0,3.0,True,,,,,,,,
11388443,home,Vitesse,Anis Hadj Moussa,anis-hadj-moussa,A. H. Moussa,F,176,22233,M,1218066,EUR,1013385600,F,28,28,False,37.0,27.0,6.0,4.0,5.0,7.0,24.0,42.0,3.0,,,90.0,72.0,7.1,32.0,0.295067,3,,23,12.0,2.0,,11.0,5.0,2.0,9.0,5.0,1.0,,,,,,3.0,,0.056,,2.0,,1.0,,,,,,3.0,4.0,,hadj.a20,1.0,,,,,,
11388443,home,Vitesse,Thomas Buitink,thomas-buitink,T. Buitink,F,174,85,M,856736,EUR,960940800,F,19,19,False,15.0,8.0,1.0,1.0,4.0,4.0,4.0,12.0,2.0,,,61.0,27.0,6.5,14.0,0.0037952,0,,29,1.0,,1.0,3.0,2.0,,1.0,1.0,,,,1.0,,,4.0,,,,,,,Thomas,Buitink,,,,,2.0,,,,,,,,,
