match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,stat_totalCross,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_wonTackle,stat_dispossessed,stat_keyPass,player_lastName,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_lastManTackle,stat_blockedScoringAttempt
14065714,home,Angers,Hervé Koffi,herve-koffi,H. Koffi,G,12,187.0,15844,M,HKoffi,867299,EUR,845424000,G,12,12,False,18.0,15.0,3.0,1.0,0.0,15.0,16.0,2.0,1.0,1.0,2.0,14.0,1.0,4.0,4.0,6.0,1.0,2.0,2.0,90.0,42.0,7.7,5.0,4.312e-05,0.5634,0,0.7144,-0.02,0.0,0.19,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065714,home,Angers,Carlens Arcus,carlens-arcus,C. Arcus,D,2,180.0,5908,M,,794373,EUR,835920000,D,2,2,False,64.0,57.0,6.0,3.0,0.0,34.0,36.0,28.0,,1.0,1.0,5.0,,,,,,,,90.0,78.0,6.6,9.0,0.0081589,,0,,0.16,0.07,-0.14,,23.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14065714,home,Angers,Ousmane Camara,ousmane-camara,O. Camara,D,4,197.0,1730,M,,1049538,EUR,1046908800,D,4,4,False,50.0,47.0,3.0,2.0,0.0,42.0,44.0,6.0,2.0,4.0,6.0,4.0,,,,,,,,90.0,65.0,7.1,5.0,0.0049063,,0,,0.06,0.07,0.39,,5.0,4.0,1.0,2.0,1.0,1.0,Ousmane Camara,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
14065714,home,Angers,Jordan Lefort,jordan-lefort,J. Lefort,D,21,184.0,183,M,,363042,EUR,741225600,D,21,21,False,49.0,45.0,10.0,6.0,0.0,33.0,33.0,16.0,,1.0,4.0,3.0,,,,,,,,90.0,61.0,7.5,6.0,0.00617331,,0,,0.14,0.14,0.3,,12.0,4.0,2.0,2.0,,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14065714,home,Angers,Jacques Ekomié,jacques-ekomie,J. Ekomie,D,3,179.0,570,M,,1170532,EUR,1061251200,D,3,3,False,30.0,27.0,3.0,1.0,0.0,14.0,15.0,15.0,,4.0,,6.0,,,,,,,,90.0,58.0,6.7,15.0,0.00969839,,2,,0.05,0.24,-0.2,,13.0,6.0,,2.0,3.0,1.0,Jacques Ekomie,4.0,1.0,1.0,,,,1.0,,4.0,2.0,1.0,1.0,1.0,0.0688,0.0277,-0.14,,,,,,,,
14065714,home,Angers,Yassin Belkhdim,belkhdim-yassin,Y. Belkhdim,M,14,175.0,1155,M,,1195241,EUR,1013644800,M,14,14,False,43.0,41.0,3.0,2.0,1.0,27.0,28.0,15.0,,2.0,,5.0,,,,,,,,90.0,57.0,7.6,5.0,0.416649,,1,,0.46,0.08,-0.12,,14.0,7.0,,4.0,1.0,1.0,,3.0,,1.0,,2.0,,1.0,,1.0,1.0,,1.0,2.0,0.0113,0.0127,0.01,1.0,1.0,,,,,,
14065714,home,Angers,Haris Belkebla,haris-belkebla,H. Belkebla,M,93,177.0,1877,M,,580642,EUR,759715200,M,93,93,False,33.0,31.0,1.0,,0.0,25.0,26.0,7.0,,2.0,,7.0,,,,,,,,90.0,38.0,6.4,4.0,0.00224346,,0,,0.02,0.07,-0.06,,6.0,2.0,,1.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,True,,,,,
14065714,home,Angers,Lilian Raolisoa,lilian-raolisoa,L. Raolisoa,D,27,178.0,247,M,,1462778,EUR,961113600,M,27,27,False,38.0,28.0,6.0,3.0,0.0,13.0,17.0,21.0,2.0,5.0,,3.0,,,,,,,,90.0,48.0,6.6,14.0,0.128804,,0,,0.21,0.16,-0.13,,15.0,3.0,,1.0,1.0,2.0,Lilian Raolisoa,4.0,,1.0,,,1.0,3.0,,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,
14065714,home,Angers,Louis Mouton,louis-mouton,L. Mouton,M,6,180.0,136,M,,1172936,EUR,1023062400,M,6,6,False,19.0,12.0,2.0,,0.0,8.0,11.0,8.0,,2.0,,1.0,,,,,,,,69.0,27.0,6.3,9.0,0.0119735,,2,,-0.02,0.0,-0.09,,4.0,2.0,,1.0,1.0,,Louis Mouton,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.4384,0.0378,-0.53,,,,1.0,1.0,,,
14065714,home,Angers,Sidiki Cherif,sidiki-cherif,S. Cherif,F,26,188.0,3001,M,,1514916,EUR,1166140800,M,11,11,False,17.0,16.0,,,0.0,10.0,11.0,6.0,1.0,7.0,,4.0,,,,,,,,69.0,32.0,6.2,8.0,0.00742484,,2,,0.11,0.22,-0.02,,6.0,2.0,,,1.0,2.0,,,,,,,1.0,,,6.0,2.0,,2.0,,0.121,0.1631,-0.3,,,,,,,,
