match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_totalClearance,stat_totalOffside,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_keyPass,captain,player_firstName,player_lastName,stat_bigChanceMissed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goodHighClaim,stat_lastManTackle,stat_errorLeadToAGoal,stat_punches
12530710,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,19.0,15.0,10.0,6.0,0.0,13.0,13.0,2.0,6.0,13.0,1.0,2.0,1.0,1.0,90.0,33.0,6.7,4.0,0.000619,0,-0.5285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530710,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,175,36,M,893014,EUR,776390400,D,7,7,False,26.0,22.0,4.0,2.0,0.0,9.0,12.0,13.0,14.0,5.0,,,,,90.0,44.0,7.1,8.0,0.00328363,0,,7,2.0,7.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12530710,home,Sivasspor,Uroš Radaković,uros-radakovic,U. Radaković,D,194,313,M,151900,EUR,765072000,D,26,26,False,54.0,50.0,6.0,4.0,0.0,36.0,36.0,14.0,18.0,4.0,,,,,90.0,70.0,7.3,4.0,0.00706074,1,,26,1.0,5.0,,,,3.0,3.0,,,,1.0,2.0,1.0,10.0,1.0,0.038,,,,,,,,,,,,,,,,,,,
12530710,home,Sivasspor,Tolga Ciğerci,tolga-cigerci,T. Ciğerci,M,185,114,M,120298,EUR,701308800,D,30,30,False,60.0,53.0,16.0,10.0,0.0,34.0,35.0,20.0,27.0,5.0,,,,,90.0,73.0,6.7,11.0,0.0889125,0,,38,4.0,2.0,1.0,,,1.0,,,1.0,,,,,2.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
12530710,home,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,180,65,M,142850,EUR,704937600,D,3,3,False,39.0,36.0,,,0.0,16.0,17.0,21.0,24.0,5.0,,,,,87.0,62.0,6.9,9.0,0.0572704,0,,58,5.0,5.0,3.0,2.0,2.0,2.0,1.0,,,1.0,,1.0,,2.0,,,2.0,1.0,1.0,2.0,,2.0,True,,,,,,,,,,,,
12530710,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,177,130,M,317297,EUR,789868800,M,8,8,False,24.0,20.0,3.0,3.0,0.0,10.0,10.0,10.0,14.0,4.0,,,,,79.0,29.0,6.5,5.0,0.0360872,0,,8,6.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,
12530710,home,Sivasspor,Samuel Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,178,6621,M,892624,EUR,839808000,M,12,12,False,48.0,43.0,5.0,1.0,0.0,31.0,33.0,12.0,15.0,3.0,,,,,90.0,59.0,6.7,7.0,0.0146786,1,,92,,3.0,,,1.0,3.0,1.0,,,,,,1.0,,,0.5076,,,,,,,,Samuel,Moutoussamy,1.0,,,,,,,,,
12530710,home,Sivasspor,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,185,168,M,800458,EUR,811036800,M,80,80,False,33.0,27.0,5.0,4.0,1.0,8.0,9.0,19.0,24.0,5.0,,,,,78.0,39.0,8.1,10.0,0.208816,1,,11,3.0,,2.0,,,,,1.0,,1.0,,,,,,0.4351,,,,,,2.0,,,,,1.0,1.0,1.0,0.3786,,,,,
12530710,home,Sivasspor,Bekir Turaç Böke,turac-boke,B. T. Böke,F,190,68,M,997681,EUR,929923200,F,46,46,False,21.0,15.0,3.0,2.0,1.0,4.0,4.0,11.0,17.0,3.0,,,,,87.0,32.0,8.2,10.0,0.712043,2,,14,4.0,2.0,2.0,,,2.0,1.0,2.0,,2.0,,,,,,0.2676,,,,,,2.0,,,,,1.0,1.0,1.0,0.2225,1.0,,,,
12530710,home,Sivasspor,Rey Manaj,rey-manaj,R. Manaj,F,182,2059,M,587882,EUR,856742400,F,9,9,False,21.0,15.0,1.0,1.0,2.0,8.0,8.0,7.0,14.0,,,,,,90.0,52.0,10.0,16.0,0.271921,6,,9,11.0,9.0,6.0,3.0,1.0,,,1.0,2.0,4.0,,4.0,2.0,4.0,3.0,1.3283,1.0,,2.0,4.0,,3.0,,,,,3.0,3.0,2.0,1.9029,1.0,,,,
