match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_sofascoreId,captain,stat_aerialLost,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_totalTackle,stat_challengeLost,stat_wonTackle,stat_unsuccessfulTouch,stat_dispossessed,stat_bigChanceCreated,stat_punches,stat_errorLeadToAShot,stat_totalOffside,stat_hitWoodwork
13472801,home,Fluminense,Fábio,,,fabio,Fábio,G,1,188.0,4344,M,17785,EUR,339120000,G,1,1,False,22.0,19.0,6.0,3.0,0.0,19.0,20.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,29.0,7.2,3.0,5.128e-05,0,0.1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472801,home,Fluminense,Samuel Xavier,,,xavier-samuel,S. Xavier,D,2,166.0,1621,M,795773,EUR,644630400,D,2,2,False,71.0,64.0,3.0,2.0,0.0,35.0,36.0,35.0,4.0,,,,,,90.0,88.0,7.1,10.0,0.15609,1,,29.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,0.007,2.0,,,,,,,,,,,,,,,,,,,,
13472801,home,Fluminense,Thiago Silva,,,thiago-silva,T. Silva,D,3,181.0,42324,M,33541,EUR,464659200,D,3,3,False,88.0,83.0,5.0,3.0,0.0,58.0,62.0,26.0,3.0,,,,,,90.0,101.0,8.3,6.0,0.00928597,3,,25.0,1.0,,3.0,3.0,4.0,1.0,,6.0,1.0,,,0.2871,,ThiagoSilva,True,3.0,1.0,1.0,2.0,1.0,1.0,0.89,,,,,,,,,,,
13472801,home,Fluminense,Juan Freytes,,,juan-freytes,J. Freytes,D,22,182.0,1341,M,962187,EUR,947548800,D,22,22,False,97.0,88.0,11.0,8.0,0.0,59.0,63.0,34.0,2.0,,,,,,90.0,106.0,7.4,9.0,0.0222673,1,,29.0,,,1.0,2.0,4.0,,1.0,3.0,,2.0,,0.0317,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,
13472801,home,Fluminense,Renê,,,rene,Renê,D,6,174.0,1464,M,243113,EUR,716428800,D,6,6,False,29.0,23.0,3.0,2.0,0.0,16.0,16.0,13.0,2.0,,,,,,60.0,40.0,6.9,10.0,0.00912264,0,,7.0,4.0,,4.0,,5.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13472801,home,Fluminense,Agustín Canobbio,,,agustin-canobbio,A. Canobbio,M,17,175.0,3082,M,846413,EUR,907200000,M,17,17,False,33.0,28.0,1.0,,0.0,9.0,9.0,24.0,3.0,,,,,,81.0,59.0,6.5,20.0,0.0102445,1,,19.0,7.0,,1.0,9.0,7.0,8.0,1.0,,,1.0,3.0,0.0819,1.0,,,,3.0,,,,,,,2.0,1.0,1.0,3.0,,,,,,
13472801,home,Fluminense,Matheus Martinelli,,,martinelli-matheus,M. Martinelli,M,8,176.0,4179,M,1067671,EUR,1002240000,M,8,8,False,75.0,69.0,3.0,3.0,0.0,42.0,45.0,30.0,8.0,,,,,,90.0,82.0,7.2,8.0,0.021919,1,,27.0,,,1.0,2.0,3.0,,,,,2.0,,0.0102,,,,,,,1.0,,,,1.0,,,,,2.0,,,,,
13472801,home,Fluminense,Hércules,,,hercules,Hércules,M,35,178.0,3079,M,1104068,EUR,972000000,M,35,35,False,59.0,54.0,5.0,3.0,0.0,21.0,21.0,38.0,5.0,,,,,,90.0,73.0,7.3,8.0,0.15788,2,,33.0,1.0,1.0,,3.0,5.0,1.0,1.0,,,2.0,1.0,0.0974,,,,,1.0,,1.0,,,,1.0,2.0,1.0,2.0,2.0,1.0,,,,,
13472801,home,Fluminense,Kevin Serna,,,serna-kevin,K. Serna,M,90,181.0,3425,M,981374,EUR,882748800,M,90,90,False,12.0,12.0,,,0.0,5.0,5.0,7.0,3.0,,,,,,76.0,30.0,6.5,11.0,0.0052345,1,,7.0,3.0,,,6.0,4.0,,1.0,,,3.0,1.0,0.0158,,,,1.0,,,,,,,,1.0,2.0,1.0,5.0,2.0,,,,,
13472801,home,Fluminense,Lima,,,lima,Lima,M,45,181.0,1368,M,807850,EUR,834451200,F,45,45,False,17.0,15.0,2.0,1.0,0.0,7.0,7.0,10.0,1.0,,,,,,60.0,23.0,6.5,7.0,0.00582779,0,,8.0,1.0,,,6.0,1.0,1.0,,,,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,1.0,2.0,,,,,
