match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_unsuccessfulTouch,stat_aerialWon,stat_outfielderBlock,stat_fouls,stat_interceptionWon,stat_errorLeadToAShot,stat_challengeLost,stat_wasFouled,captain,player_firstName,player_lastName,stat_totalOffside,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goalAssist,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_goals
10433974,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,28.0,19.0,16.0,7.0,15.0,19.0,4.0,9.0,6.0,1.0,2.0,90.0,32.0,6.3,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433974,home,Sivasspor,Erdoğan Yeşilyurt,erdogan-yesilyurt,E. Yeşilyurt,D,178,77,M,142541,EUR,752544000,D,17,17,False,57.0,45.0,4.0,3.0,22.0,24.0,24.0,38.0,7.0,,,90.0,88.0,6.2,26.0,2,17,5.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,
10433974,home,Sivasspor,Dimitris Goutas,dimitris-goutas,D. Goutas,D,189,261,M,257497,EUR,765417600,D,6,6,False,44.0,42.0,6.0,6.0,33.0,34.0,9.0,10.0,2.0,,,45.0,47.0,6.5,3.0,0,6,,,,3.0,2.0,,1.0,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
10433974,home,Sivasspor,Caner Osmanpaşa,caner-osmanpasa,C. Osmanpaşa,D,182,35,M,135941,EUR,569203200,D,88,88,False,72.0,63.0,1.0,,56.0,59.0,7.0,13.0,7.0,,,90.0,90.0,6.3,14.0,0,20,,,3.0,7.0,7.0,3.0,,,,1.0,2.0,1.0,,2.0,5.0,,1.0,4.0,1.0,,,,,,,,,,,,,
10433974,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,175,36,M,893014,EUR,776390400,D,2,2,False,64.0,54.0,1.0,,29.0,32.0,25.0,32.0,6.0,,,90.0,89.0,6.3,15.0,0,7,,,,3.0,4.0,1.0,1.0,,,,2.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,
10433974,home,Sivasspor,Hakan Arslan,hakan-arslan,H. Arslan,M,186,42,M,60646,EUR,585187200,M,37,37,False,15.0,14.0,,,10.0,10.0,4.0,5.0,2.0,,,40.0,19.0,6.0,3.0,0,,,,1.0,5.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,2.0,,True,,,,,,,,,,
10433974,home,Sivasspor,Kader Keïta,kader-keita,K. Keïta,M,178,285,M,991653,EUR,973468800,M,28,28,False,30.0,27.0,4.0,2.0,16.0,16.0,11.0,15.0,1.0,,,40.0,34.0,6.5,4.0,0,18,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10433974,home,Sivasspor,Clinton N'Jie,clinton-njie,C. N'Jie,F,175,913,M,291665,EUR,745372800,M,10,10,False,20.0,14.0,,,6.0,8.0,8.0,13.0,2.0,,,45.0,25.0,6.1,9.0,0,,1.0,,,2.0,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,
10433974,home,Sivasspor,Dia Saba,dia-saba,D. Saba,M,172,353,M,609926,EUR,722044800,M,11,11,False,46.0,35.0,3.0,2.0,15.0,16.0,20.0,33.0,5.0,,,90.0,63.0,6.1,21.0,0,91,3.0,,1.0,6.0,2.0,5.0,2.0,2.0,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,
10433974,home,Sivasspor,Max Gradel,max-gradel,M. Gradel,M,177,1287,M,16590,EUR,565228800,M,7,7,False,20.0,16.0,2.0,1.0,7.0,8.0,10.0,16.0,3.0,,,90.0,45.0,6.1,18.0,2,,4.0,1.0,2.0,9.0,5.0,5.0,1.0,,,,2.0,2.0,,3.0,,,,,,1.0,3.0,,,,1.0,,2.0,,,,,
