match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_fouls,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_lastManTackle
14025241,home,Liverpool,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,31.0,27.0,9.0,5.0,0.0,22.0,22.0,5.0,9.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,41.0,6.4,5.0,0.00430893,47.61435507425,9.0,35.07,5.985,0.3935,0,-0.9428,0.08,0.09,-0.26,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025241,home,Liverpool,Conor Bradley,bradley-conor,C. Bradley,D,12,181,15946,M,conorbradley03,1008402,EUR,1057708800,D,12,12,False,26.0,25.0,2.0,1.0,0.0,13.0,13.0,12.0,13.0,1.0,1.0,,2.0,,,,,62.0,49.0,6.5,8.0,0.0285574,146.29416224928,15.0,71.925,17.85,,0,,0.16,0.05,-0.16,,,,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14025241,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,68.0,56.0,5.0,3.0,0.0,29.0,39.0,27.0,29.0,8.0,4.0,,,,,,,90.0,83.0,7.0,12.0,0.189058,216.90136387936,24.0,150.57,34.23,,1,,0.25,0.4,-0.2,,,,,,3.0,3.0,8.0,,2.0,,,1.0,6.0,1.0,1.0,1.0,0.0109,0.0,,,,,,,,,,,,,,,,
14025241,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,68.0,62.0,8.0,6.0,0.0,20.0,21.0,42.0,47.0,12.0,2.0,,1.0,,,,,90.0,90.0,7.3,8.0,0.0213989,273.03354981916,27.0,138.705,23.94,,2,,0.32,0.26,-0.21,,,,1.0,,2.0,2.0,8.0,,1.0,1.0,,,7.0,,,,0.2338,-0.32,True,1.0,1.0,1.0,2.0,0.0192,,,,,,,,,,
14025241,home,Liverpool,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,6,6,False,39.0,34.0,2.0,1.0,0.0,8.0,9.0,26.0,30.0,3.0,2.0,1.0,1.0,,,,,90.0,63.0,6.2,16.0,0.0251381,257.36246475972,19.0,191.205,48.195,,0,,0.02,0.16,-0.51,,Milos,Kerkez,8.0,1.0,,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,
14025241,home,Liverpool,Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,31083,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,47.0,39.0,4.0,1.0,0.0,16.0,18.0,23.0,29.0,,,,1.0,,,,,62.0,55.0,6.7,10.0,0.0173443,279.78916880832,26.0,96.6,32.025,,0,,-0.19,0.11,-0.01,,,,,,,1.0,5.0,,3.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,
14025241,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,17.0,13.0,2.0,,0.0,3.0,4.0,10.0,13.0,,1.0,,,,,,,62.0,22.0,6.4,6.0,0.0203114,36.659285141295,2.0,35.91,25.095,,2,,0.17,0.21,-0.05,,,,,,,2.0,,,,,,,,,,,0.0892,-0.51,,,1.0,1.0,,0.2497,,2.0,,,,,,,,
14025241,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,M,11,11,False,19.0,14.0,1.0,,0.0,3.0,3.0,11.0,16.0,,1.0,,5.0,,,,,85.0,39.0,6.4,16.0,0.138154,108.90678651414,11.0,40.845,22.05,,3,,0.34,0.29,-0.13,,,,4.0,2.0,2.0,6.0,3.0,2.0,,,2.0,4.0,1.0,1.0,,,0.4098,-0.56,,1.0,2.0,1.0,,0.6245,,2.0,,,,,,,,
14025241,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,M,8,8,False,66.0,58.0,7.0,6.0,0.0,21.0,26.0,37.0,40.0,2.0,7.0,,1.0,,,,,90.0,90.0,7.6,16.0,0.113806,200.56930249393,27.0,93.135,17.115,,0,,0.39,0.23,0.17,,,,9.0,2.0,2.0,5.0,6.0,1.0,2.0,1.0,2.0,3.0,1.0,,,1.0,,,,,,,,,2.0,,1.0,1.0,,,,,,
14025241,home,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,51371,M,CodyGakpo,862967,EUR,926035200,M,18,18,False,22.0,17.0,,,0.0,4.0,6.0,13.0,16.0,,2.0,,6.0,,,,,90.0,53.0,6.5,22.0,0.0925312,194.79601553769,21.0,36.54,11.34,,5,,-0.16,0.39,-0.24,,,,11.0,2.0,,7.0,5.0,2.0,,,2.0,3.0,2.0,,1.0,,1.4664,0.15,,1.0,3.0,1.0,,0.9688,,1.0,1.0,5.0,3.0,1.0,,,,
14025241,home,Liverpool,Alexander Isak,alexander-isak,A. Isak,F,9,193,100485,M,AlexIsak,823941,EUR,937872000,F,9,9,False,11.0,7.0,1.0,1.0,0.0,,,7.0,11.0,1.0,1.0,,3.0,,,,,72.0,19.0,6.5,8.0,0.0129405,20.077763655178,3.0,7.455,8.925,,2,,0.03,0.01,0.13,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,0.3322,-0.14,,1.0,1.0,1.0,,0.2735,,,,,,,,,,
14025241,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,True,24.0,20.0,3.0,1.0,0.0,2.0,2.0,18.0,22.0,,4.0,,1.0,,,,,28.0,31.0,7.8,6.0,0.510894,159.16740424774,14.0,97.965,25.515,,1,,0.59,0.42,-0.05,,,,1.0,,,,2.0,,,,1.0,,1.0,,,,0.0664,0.12,,,,1.0,1.0,0.1939,,,,,,,,,,
