match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,rescinded,player_id,player_name,from,reason
11048676,FT,1.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11048676,,,,,90,0.0,,1,,,injuryTime,8.0,,,,,,,,,,
11048676,,,,,81,,,10,,,substitution,,121645295.0,True,True,injury,,,,,,
11048676,,,,,80,,,11,,,substitution,,121645297.0,False,False,regular,,,,,,
11048676,,,,,80,,,11,,,card,,120675285.0,,True,yellow,Jose Luis Puente,False,1480290.0,Jose Luis Puente,,
11048676,,1.0,0.0,,79,,,12,,,goal,,168462737.0,,True,penalty,,,1480290.0,Jose Luis Puente,penalty,
11048676,,,,,78,,,13,,,card,,120675284.0,,False,yellow,Ramsés Atahualpa,False,1479825.0,Ramsés Atahualpa,,
11048676,,,,,71,,,20,,,substitution,,121645288.0,True,True,injury,,,,,,
11048676,,,,,66,,,25,,,substitution,,121645287.0,True,False,injury,,,,,,
11048676,,,,,56,,,35,,,substitution,,121645277.0,False,True,regular,,,,,,
11048676,,,,,54,,,37,,,card,,120675269.0,,True,yellow,Will Hanson,False,1480180.0,Will Hanson,,Foul
11048676,,,,,46,,,45,,,substitution,,121645256.0,False,False,regular,,,,,,
11048676,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11048676,,,,,45,0.0,,1,,,injuryTime,4.0,,,,,,,,,,
11048676,,,,,40,,,6,,,substitution,,121645208.0,True,False,injury,,,,,,
11048676,,,,,-5,,,6,,,card,,120675288.0,,False,yellow,Scott MacKenzie,False,,,,Argument
