match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_bigChanceMissed,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_totalClearance,captain,stat_aerialLost,player_firstName,player_lastName,stat_keyPass,player_sofascoreId,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_goalAssist
10411735,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189,262,M,38618,EUR,538704000,G,47,47,False,32.0,22.0,19.0,9.0,18.0,21.0,4.0,11.0,2.0,2.0,12.0,3.0,1.0,1.0,90.0,44.0,6.6,10.0,0.0,0.0,0.00058672,0,-0.5968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411735,home,Sassuolo,Jeremy Toljan,jeremy-toljan,J. Toljan,D,182,343,M,149606,EUR,776304000,D,22,22,False,33.0,25.0,5.0,2.0,12.0,13.0,14.0,21.0,1.0,3.0,2.0,,,,90.0,50.0,6.5,11.0,0.0,0.0,0.0739811,0,,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10411735,home,Sassuolo,Ruan,ruan,Ruan,D,187,1238,M,914487,EUR,928713600,D,44,44,False,37.0,35.0,3.0,3.0,27.0,27.0,8.0,10.0,,1.0,7.0,,,,90.0,44.0,6.7,2.0,0.0,0.0,0.00305337,0,,4,,,4.0,,2.0,1.0,1.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
10411735,home,Sassuolo,Gian Marco Ferrari,gian-marco-ferrari,G. M. Ferrari,D,189,224,M,170887,EUR,705888000,D,13,13,False,39.0,34.0,6.0,3.0,24.0,26.0,10.0,13.0,3.0,4.0,2.0,,,,90.0,43.0,6.5,5.0,0.0,0.0,0.00546025,0,,,,,4.0,,,,,,,1.0,1.0,,3.0,True,3.0,,,,,,,,,,,,,,,,,,
10411735,home,Sassuolo,Rogério,rogerio,Rogério,D,178,289,M,830551,EUR,884649600,D,6,6,False,52.0,46.0,7.0,4.0,18.0,19.0,30.0,39.0,1.0,1.0,4.0,,,,90.0,79.0,7.2,14.0,0.0,0.0,0.169127,0,,13,6.0,2.0,4.0,,2.0,2.0,,,,,1.0,,,,3.0,,,2.0,,,,,,,,,,,,,,,
10411735,home,Sassuolo,Davide Frattesi,davide-frattesi,D. Frattesi,M,178,5601,M,835600,EUR,937958400,M,16,16,False,32.0,28.0,3.0,2.0,7.0,8.0,21.0,25.0,1.0,3.0,2.0,,,,89.0,49.0,6.6,10.0,0.1047,0.0,0.0292687,1,,16,1.0,,5.0,,,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,,1.0,davidefrrattesi_22,1.0,1.0,1.0,1.0,,,,,,,,,,
10411735,home,Sassuolo,Maxime López,maxime-lopez,M. López,M,167,1284,M,352802,EUR,881193600,M,27,27,False,58.0,51.0,2.0,1.0,21.0,25.0,30.0,35.0,,1.0,8.0,,,,90.0,71.0,6.7,11.0,0.0337,0.0,0.0232166,1,,21,2.0,,3.0,,2.0,2.0,,,1.0,,,3.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,
10411735,home,Sassuolo,Matheus Henrique,matheus-henrique,M. Henrique,M,175,2961,M,912786,EUR,882489600,M,7,7,False,40.0,36.0,2.0,1.0,14.0,16.0,22.0,25.0,,3.0,6.0,,,,74.0,49.0,6.3,8.0,0.1837,0.0,0.0356433,1,,8,1.0,,6.0,1.0,1.0,,,,2.0,,1.0,1.0,,,3.0,,,1.0,,1.0,3.0,,1.0,3.0,,,,,,,,,
10411735,home,Sassuolo,Domenico Berardi,domenico-berardi,D. Berardi,M,185,5071,M,253367,EUR,775699200,F,10,10,False,26.0,15.0,6.0,5.0,5.0,6.0,10.0,25.0,1.0,4.0,1.0,,,,77.0,43.0,7.2,18.0,0.0921,0.1716,0.0276708,3,,10,5.0,,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,,berardi25,,2.0,,,1.0,1.0,2.0,,,,,,,
10411735,home,Sassuolo,Andrea Pinamonti,andrea-pinamonti,A. Pinamonti,F,185,2688,M,826198,EUR,927072000,F,9,9,False,14.0,8.0,2.0,1.0,3.0,3.0,5.0,11.0,2.0,4.0,1.0,,,,74.0,21.0,7.3,8.0,0.546,0.7613,0.00574179,1,,99,,,5.0,,,,1.0,1.0,2.0,1.0,2.0,,,,4.0,,,1.0,,,,,,,,1.0,1.0,,,,,,
