match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_shotOffTarget,stat_outfielderBlock,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_interceptionWon,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_hitWoodwork,stat_totalOffside
12448406,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,24.0,22.0,8.0,6.0,0.0,20.0,20.0,2.0,4.0,6.0,2.0,2.0,2.0,90.0,33.0,7.5,2.0,0.00041326,0,0.5534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448406,home,FC Utrecht,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,50.0,41.0,6.0,2.0,0.0,22.0,27.0,20.0,26.0,3.0,,,,90.0,82.0,7.6,17.0,0.0859775,2,,3.0,1.0,2.0,2.0,4.0,6.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0857,0.0304,,,,,,,,,,,,,
12448406,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,3,3,False,7.0,6.0,2.0,1.0,0.0,4.0,4.0,2.0,3.0,,,,,17.0,9.0,6.5,2.0,0.00036026,0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12448406,home,FC Utrecht,Nick Viergever,,,nick-viergever,N. Viergever,D,24,182,150,M,46900,EUR,618105600,D,24,24,False,60.0,53.0,4.0,,0.0,30.0,32.0,23.0,28.0,4.0,,,,90.0,71.0,7.3,7.0,0.0159888,1,,,,3.0,2.0,3.0,3.0,,,,,5.0,,,,,1.0,,0.5113,,True,1.0,2.0,,,,,,,,,,
12448406,home,FC Utrecht,Souffian El Karouani,,,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,991679,EUR,971913600,D,16,16,False,42.0,34.0,9.0,4.0,0.0,15.0,16.0,24.0,36.0,7.0,,,,90.0,86.0,8.1,21.0,0.308892,1,,10.0,5.0,2.0,1.0,8.0,7.0,3.0,2.0,,1.0,3.0,,3.0,2.0,3.0,1.0,3.0,0.0411,,,,,1.0,1.0,1.0,2.0,,,,,,
12448406,home,FC Utrecht,Oscar Fraulo,,,oscar-fraulo,O. Fraulo,M,29,180,841,M,1008245,EUR,1070668800,M,6,6,False,41.0,35.0,6.0,4.0,0.0,24.0,26.0,11.0,15.0,4.0,,,,69.0,50.0,7.0,6.0,0.254114,0,,,,3.0,1.0,5.0,4.0,,,,,,,2.0,,,1.0,2.0,,,,,,,,,1.0,2.0,,,,,
12448406,home,FC Utrecht,Paxten Aaronson,Paxten Aaronson,,paxten-aaronson,P. Aaronson,M,31,175,898,M,1035515,EUR,1061856000,M,21,21,False,47.0,37.0,6.0,3.0,0.0,20.0,23.0,17.0,24.0,6.0,,,,90.0,75.0,8.9,13.0,0.378469,3,,,,1.0,1.0,6.0,9.0,,,1.0,1.0,2.0,,6.0,3.0,1.0,2.0,1.0,0.6073,0.143,,1.0,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,,,
12448406,home,FC Utrecht,Miguel Rodríguez,,,miguel-rodriguez,M. Rodríguez,M,22,179,648,M,1014118,EUR,1051574400,M,22,22,False,14.0,10.0,,,0.0,1.0,2.0,11.0,15.0,2.0,,,,59.0,36.0,6.7,16.0,0.059771,0,,3.0,2.0,,4.0,5.0,10.0,4.0,2.0,,,,,2.0,1.0,7.0,2.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,
12448406,home,FC Utrecht,Victor Jensen,,,victor-jensen,V. Jensen,M,7,175,409,M,856648,EUR,949968000,M,7,7,False,18.0,14.0,1.0,,0.0,8.0,8.0,6.0,10.0,2.0,,,,59.0,28.0,6.6,8.0,0.0393113,1,,,,2.0,1.0,4.0,2.0,1.0,,,,1.0,,1.0,,3.0,,1.0,0.1742,,,1.0,,,,1.0,1.0,,1.0,,,,
12448406,home,FC Utrecht,Yoann Cathline,,,cathline-yoann,Y. Cathline,M,10,176,517,M,1105700,EUR,1027296000,M,20,20,False,21.0,18.0,1.0,1.0,0.0,4.0,5.0,14.0,18.0,3.0,,,,88.0,44.0,7.2,13.0,0.0904964,3,,2.0,,2.0,,6.0,7.0,6.0,5.0,1.0,1.0,1.0,,1.0,1.0,5.0,1.0,,0.2095,0.5177,,1.0,,1.0,2.0,,1.0,,1.0,,,,
