match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_wasFouled,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_accurateCross,stat_wonTackle,captain,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_penaltyConceded,stat_bigChanceCreated,stat_goodHighClaim,stat_goals,stat_lastManTackle,stat_penaltyWon
14572819,home,FC Utrecht,Michael Brouwer,michael-brouwer,M. Brouwer,G,25,187.0,75,M,252027,EUR,727574400,G,25,25,False,35.0,27.0,12.0,5.0,0.0,25.0,29.0,2.0,6.0,2.0,5.0,2.0,1.0,3.0,1.0,90.0,44.0,6.6,8.0,0.00040343,61.972787931681,9.0,7.875,2.52,0.5172,0,-0.8565,-0.01,-0.03,-0.2,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572819,home,FC Utrecht,Niklas Vesterlund,niklas-vesterlund,N. B. V. Nielsen,D,23,185.0,77,M,837010,EUR,928627200,D,23,23,False,44.0,42.0,2.0,1.0,0.0,29.0,29.0,13.0,15.0,5.0,9.0,,,,,90.0,73.0,6.1,7.0,0.0354371,85.478291406993,11.0,-29.505,5.565,,0,,0.14,0.01,-0.31,,3.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572819,home,FC Utrecht,Matisse Didden,matisse-didden,M. Didden,D,40,198.0,170,M,996992,EUR,1002499200,D,40,40,False,82.0,74.0,13.0,8.0,0.0,47.0,52.0,27.0,30.0,6.0,4.0,,,,,90.0,92.0,7.1,8.0,0.203084,376.48407312564,41.0,262.08,30.135,,0,,0.36,0.16,-0.2,,3.0,2.0,3.0,5.0,,,,1.0,,,,,2.0,96.106035497984,4.0,,,,,,,,,,,,,,,,,,,,,,,
14572819,home,FC Utrecht,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194.0,180,M,947842,EUR,963446400,D,44,44,False,71.0,64.0,4.0,2.0,0.0,48.0,49.0,16.0,22.0,4.0,6.0,,,,,81.0,79.0,6.8,7.0,0.00580693,306.49672681457,34.0,190.05,18.9,,0,,0.12,0.19,-0.08,,1.0,1.0,2.0,3.0,,,,1.0,,,,,,38.425703195328,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14572819,home,FC Utrecht,Derry Murkin,derry-murkin,D. Murkin,D,2,183.0,178,M,946561,EUR,933033600,D,55,55,False,28.0,23.0,1.0,,0.0,18.0,20.0,5.0,8.0,2.0,3.0,,,,,68.0,55.0,6.5,17.0,0.0160604,46.008465682476,7.0,15.96,8.715,,0,,0.05,0.03,-0.15,,,1.0,5.0,5.0,1.0,3.0,,4.0,,,,,,,,1.0,,,,8.0,1.0,2.0,,,,,,,,,,,,,,,,
14572819,home,FC Utrecht,Dani de Wit,dani-de-wit,D. de Wit,M,20,183.0,550,M,855854,EUR,885945600,M,20,20,False,27.0,23.0,1.0,,0.0,13.0,15.0,10.0,12.0,1.0,3.0,,,,,90.0,39.0,6.4,6.0,0.00757955,34.885534964329,4.0,-14.91,3.36,,1,,0.0,0.0,-0.1,,2.0,1.0,5.0,5.0,,,,3.0,2.0,1.0,,,2.0,,,,,,3.0,,,,True,1.0,2.0,0.1431,0.01,,,,,,,,,,,
14572819,home,FC Utrecht,Alonzo Engwanda,alonzo-engwanda,A. Engwanda,M,27,173.0,363,M,1000548,EUR,1043625600,M,27,27,False,40.0,38.0,1.0,1.0,0.0,17.0,19.0,21.0,21.0,2.0,4.0,,,,,68.0,50.0,6.7,4.0,0.0173255,67.115285227163,9.0,7.665,7.455,,0,,0.18,0.04,-0.01,,,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14572819,home,FC Utrecht,Can Bozdoğan,can-bozdogan,C. Bozdoğan,M,8,175.0,304,M,934249,EUR,986428800,M,8,8,False,52.0,51.0,2.0,2.0,0.0,27.0,28.0,24.0,24.0,2.0,4.0,,,,,90.0,75.0,7.5,6.0,0.0306482,189.33829160649,22.0,22.47,14.49,,4,,0.27,0.26,0.3,,,1.0,5.0,7.0,,1.0,,3.0,,,,,,17.878,1.0,5.0,3.0,1.0,2.0,1.0,,1.0,,,,0.1279,-0.06,3.0,1.0,0.2018,,,,,,,,
14572819,home,FC Utrecht,Miguel Rodríguez,miguel-rodriguez,M. Rodríguez,M,22,179.0,648,M,1014118,EUR,1051574400,F,22,22,False,26.0,19.0,2.0,2.0,0.0,5.0,9.0,14.0,17.0,,5.0,,,,,90.0,49.0,6.6,15.0,0.016533,190.04575791082,19.0,56.805,22.89,,4,,-0.02,0.11,-0.04,,1.0,1.0,6.0,9.0,1.0,2.0,,3.0,4.0,1.0,,,5.0,45.118222948259,2.0,,,,2.0,2.0,,2.0,,2.0,,0.9475,-0.75,2.0,,0.1994,1.0,,,,,,,
14572819,home,FC Utrecht,Sébastien Haller,sebastien-haller,S. Haller,F,91,190.0,47132,M,149731,EUR,772243200,F,91,91,False,17.0,11.0,,,0.0,5.0,6.0,6.0,11.0,,,,,,,45.0,22.0,6.1,9.0,0.077916,15.238575605959,3.0,0.105,3.465,,1,,-0.07,-0.13,-0.01,,2.0,,4.0,,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,0.5389,-0.06,,,,1.0,SebHaller,,,,,,
