match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_aerialWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_lastManTackle,stat_aerialLost,stat_outfielderBlock,stat_penaltyWon,stat_bigChanceMissed,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_accurateCross,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_hitWoodwork
12437724,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,47.0,38.0,14.0,5.0,0.0,35.0,37.0,3.0,10.0,9.0,3.0,1.0,1.0,90.0,56.0,7.2,9.0,0.00028469,0,0.0487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437724,home,Real Madrid,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,21,173,60349,M,LucasVaz91,255239,EUR,678326400,D,17,17,False,52.0,46.0,2.0,,0.0,33.0,34.0,13.0,19.0,1.0,,,,90.0,72.0,6.9,11.0,0.0170516,1,,,,True,1.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0151,,,,,,,,,,,,,,,,,,,,,,,
12437724,home,Real Madrid,Raúl Asencio,raul-asencio,R. Asencio,D,17,184,117937,M,asencio,1156645,EUR,1045094400,D,35,35,False,75.0,71.0,1.0,1.0,0.0,63.0,67.0,8.0,8.0,4.0,,,,90.0,93.0,7.6,5.0,0.00397624,0,,,,,,1.0,8.0,,1.0,,9.0,1.0,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12437724,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,False,75.0,69.0,5.0,5.0,0.0,58.0,61.0,11.0,14.0,3.0,,,,90.0,82.0,7.9,6.0,0.00777986,1,,,,,,2.0,4.0,,,1.0,1.0,1.0,1.0,,3.0,0.0585,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
12437724,home,Real Madrid,Fran García,fran-garcia,F. Garcia,D,20,170,66463,M,frangarci11,851271,EUR,934588800,D,20,20,False,44.0,36.0,3.0,1.0,0.0,16.0,19.0,20.0,27.0,5.0,,,,90.0,68.0,6.8,13.0,0.0287453,1,,,,,2.0,6.0,4.0,1.0,,1.0,3.0,1.0,,,,0.1298,2.0,3.0,1.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,
12437724,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,M,8,8,False,65.0,58.0,7.0,6.0,0.0,31.0,34.0,27.0,33.0,6.0,,,,90.0,75.0,7.5,10.0,0.0197363,1,,,,,2.0,1.0,5.0,,,,,2.0,2.0,1.0,1.0,0.0524,2.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,0.1623,,,,,,,,,
12437724,home,Real Madrid,Dani Ceballos,dani-ceballos,D. Ceballos,M,19,179,67396,M,Danifuli10,547838,EUR,839376000,M,19,19,False,95.0,89.0,8.0,6.0,0.0,54.0,58.0,35.0,37.0,6.0,,,,90.0,110.0,7.2,9.0,0.0214871,0,,,,,,4.0,7.0,1.0,,,1.0,3.0,,,3.0,,,2.0,1.0,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,
12437724,home,Real Madrid,Jude Bellingham,jude-bellingham,J. Bellingham,M,5,188,1013050,M,JudeBell,991011,EUR,1056844800,M,5,5,False,26.0,24.0,1.0,,1.0,13.0,13.0,11.0,13.0,1.0,,,,45.0,38.0,7.9,5.0,0.00971352,2,,,,,,1.0,4.0,,,1.0,2.0,1.0,,1.0,3.0,0.8218,,1.0,,,,,,,,,1.0,1.0,1.0,0.7779,1.0,,,,,,,,
12437724,home,Real Madrid,Brahim Díaz,brahim-diaz,B. Díaz,M,21,170,258553,M,Brahim,835485,EUR,933638400,F,21,21,False,31.0,25.0,,,0.0,5.0,6.0,20.0,25.0,3.0,,,,90.0,47.0,6.9,13.0,0.0686985,1,,,,,,9.0,6.0,1.0,3.0,1.0,,3.0,,3.0,2.0,0.625,1.0,,,,,3.0,,,1.0,2.0,3.0,,,,,2.0,,,,,,,
12437724,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,699716,M,Rodrygo,910536,EUR,978998400,F,11,11,False,27.0,26.0,,,0.0,3.0,3.0,23.0,28.0,,,,,67.0,45.0,6.9,10.0,0.0182498,1,,,,,4.0,1.0,4.0,,,,,,,4.0,1.0,0.0837,,4.0,3.0,,,,,,,,,,,,,,1.0,,,,,,
12437724,home,Real Madrid,Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,178,1731608,M,KMbappé,826643,EUR,914112000,F,9,9,False,35.0,30.0,4.0,1.0,0.0,3.0,3.0,27.0,32.0,,,,,90.0,57.0,6.6,16.0,0.312531,5,,,,,,7.0,4.0,,,2.0,,,,4.0,2.0,1.3928,,7.0,2.0,,,,,,3.0,3.0,1.0,2.0,2.0,0.6735,1.0,1.0,1.0,,,,,,
