match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_sofascoreId,stat_totalOffside,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,captain,stat_goals,stat_penaltyConceded,stat_outfielderBlock,stat_penaltyFaced
14771929,home,Al-Nassr,Nawaf Al-Aqidi,,,nawaf-al-aqidi,N. Al-Aqidi,G,1,188.0,1512,M,1014518,EUR,957916800,G,1,1,False,24.0,14.0,16.0,8.0,0.0,7.0,12.0,7.0,12.0,14.0,1.0,1.0,3.0,3.0,90.0,38.0,7.0,10.0,0.0113228,72.544741034931,9.0,19.32,10.29,0.5268,0,0.993,0.12,0.03,-0.41,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771929,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,830126,EUR,768182400,D,2,2,False,39.0,36.0,5.0,3.0,0.0,20.0,23.0,16.0,16.0,5.0,,,,,90.0,58.0,6.5,8.0,0.198212,127.88309822393,17.0,71.19,18.9,,1,,0.32,0.15,-0.36,,5.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0393,18.905993123875,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
14771929,home,Al-Nassr,Abdulelah Al-Amri,,,abdulelah-al-amri,A. Al-Amri,D,5,185.0,1135,M,881831,EUR,853286400,D,5,5,False,49.0,44.0,7.0,5.0,0.0,30.0,33.0,14.0,16.0,4.0,,,,,90.0,63.0,6.5,6.0,0.00488231,126.93735046068,15.0,39.48,16.905,,1,,0.06,0.14,-0.41,,,,1.0,3.0,5.0,1.0,1.0,,1.0,1.0,0.0225,7.2890757301595,1.0,,-0.05,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,
14771929,home,Al-Nassr,Iñigo Martínez,,,inigo-martinez,I. Martínez,D,26,181.0,62014,M,173883,EUR,674438400,D,26,26,False,45.0,38.0,6.0,3.0,0.0,20.0,21.0,18.0,24.0,6.0,,,,,90.0,54.0,6.4,8.0,0.00956007,69.27995374941,12.0,32.34,7.665,,0,,0.18,0.06,-0.25,,,,,,1.0,,,,1.0,,,,,,,,,,3.0,4.0,1.0,,,IñigoMartínez,,,,,,,,,,,
14771929,home,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168.0,1412,M,1130539,EUR,989798400,D,23,23,False,49.0,40.0,4.0,2.0,0.0,15.0,17.0,25.0,32.0,7.0,1.0,,,,74.0,71.0,5.9,15.0,0.0415406,202.28565563866,27.0,142.17,24.15,,0,,0.25,0.24,-0.72,,1.0,,,2.0,2.0,1.0,,,3.0,1.0,,43.385661880479,2.0,,,,1.0,,,3.0,1.0,1.0,,,1.0,,,,,,,,,,
14771929,home,Al-Nassr,Kingsley Coman,,,kingsley-coman,K. Coman,M,21,178.0,32898,M,280441,EUR,834624000,M,21,21,False,34.0,26.0,1.0,1.0,0.0,10.0,13.0,16.0,21.0,2.0,,,,,90.0,57.0,6.1,18.0,0.177741,146.81361926958,19.0,-22.995,11.025,,5,,-0.2,0.02,-0.28,,2.0,1.0,,9.0,8.0,4.0,,2.0,1.0,5.0,1.2655,,,,-0.57,3.0,3.0,2.0,1.0,,,,1.0,KingComan,,1.0,2.0,1.0,0.5247,,,,,,
14771929,home,Al-Nassr,Abdullah Al-Khaibari,,,abdullah-alkhaibari,A. Al-Khaibari,M,17,178.0,1250,M,867179,EUR,840153600,M,17,17,False,58.0,55.0,4.0,4.0,0.0,22.0,24.0,33.0,34.0,7.0,,,,,89.0,63.0,6.6,3.0,0.0249171,98.770420548572,11.0,56.595,19.215,,0,,0.19,0.12,-0.15,,,,1.0,5.0,2.0,,,,,,,20.125220023642,1.0,2.0,,,1.0,,,,2.0,1.0,3.0,,,,,,,,,,,,
14771929,home,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181.0,13081,M,108800,EUR,721872000,M,11,11,False,67.0,62.0,3.0,3.0,0.0,26.0,28.0,36.0,39.0,3.0,,,,,89.0,82.0,6.9,13.0,0.188437,196.84345775915,24.0,74.445,14.385,,0,,0.22,0.1,-0.12,,3.0,,,2.0,4.0,1.0,1.0,,3.0,1.0,,,,2.0,,,,,,,2.0,,1.0,marcelo_brozovic,,1.0,,,,,,,,,
14771929,home,Al-Nassr,Ângelo,Ângelo,,angelo,Ângelo,M,20,182.0,9961,M,1086455,EUR,1103587200,M,20,20,False,25.0,19.0,2.0,1.0,0.0,5.0,6.0,14.0,19.0,2.0,,,,,74.0,41.0,7.3,15.0,0.466307,204.02448015072,18.0,145.635,41.685,,0,,0.64,0.62,-0.11,,4.0,1.0,1.0,5.0,3.0,4.0,3.0,,3.0,,,109.15902878683,4.0,3.0,,,,,,,,,1.0,angelogabriel,,2.0,,,,2.0,,,,,
14771929,home,Al-Nassr,João Félix,,,joao-felix,J. Félix,F,79,181.0,126099,M,851671,EUR,942192000,F,79,79,False,25.0,21.0,1.0,1.0,0.0,4.0,4.0,17.0,21.0,1.0,,,,,90.0,50.0,7.3,13.0,0.282595,144.17661811318,14.0,108.15,25.725,,3,,0.4,0.4,-0.04,,4.0,2.0,,5.0,7.0,5.0,2.0,1.0,3.0,3.0,0.3312,69.608022054467,3.0,,-0.62,1.0,1.0,1.0,,1.0,1.0,1.0,,JFélix,,1.0,1.0,1.0,0.176,,,,,,
