match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_interceptionWon,stat_challengeLost,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_shotOffTarget,stat_hitWoodwork,stat_goalAssist,stat_totalCross,stat_outfielderBlock,stat_totalOffside,stat_accurateCross
12264236,home,New Mexico United,Alexandros Tambakis,alexandros-tambakis,A. Tambakis,G,191.0,19,M,137980,EUR,723772800,G,1,1,False,True,29.0,15.0,24.0,10.0,6.0,6.0,9.0,23.0,1.0,9.0,1.0,2.0,3.0,90.0,36.0,6.4,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12264236,home,New Mexico United,Arturo Astorga,arturo-astorga,A. Astorga,D,,2,M,1513710,EUR,891129600,D,15,15,False,,31.0,25.0,7.0,3.0,16.0,20.0,9.0,11.0,3.0,6.0,1.0,,,90.0,44.0,6.4,9.0,1,15,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12264236,home,New Mexico United,Anthony Herbert,anthony-herbert,A. Herbert,D,193.0,7,M,1177716,EUR,892512000,D,4,4,False,,19.0,15.0,6.0,3.0,14.0,14.0,1.0,5.0,4.0,2.0,,,,90.0,29.0,6.6,4.0,0,4,1.0,3.0,,,,,6.0,3.0,3.0,2.0,,,1.0,1.0,,,,,,,,,,,,
12264236,home,New Mexico United,Jon-Talen Maples,jon-talen-maples,J. Maples,D,183.0,11,M,1122221,EUR,911520000,D,12,12,False,,25.0,20.0,3.0,,16.0,17.0,4.0,8.0,2.0,2.0,,,,90.0,31.0,6.2,5.0,0,12,,2.0,,,,,5.0,1.0,1.0,1.0,Jon-Talen Maples,,1.0,,1.0,,,,,,,,,,,
12264236,home,New Mexico United,Abdirizak Mohamed,abdirizak-mohamed,A. Mohamed,D,,5,M,1606116,EUR,846201600,D,26,26,False,,24.0,19.0,3.0,1.0,4.0,5.0,15.0,19.0,1.0,2.0,,,,90.0,48.0,6.5,11.0,0,26,,2.0,,1.0,,,1.0,1.0,1.0,1.0,Abdirizak Mohamed,,,2.0,,1.0,,,,,,,,,,
12264236,home,New Mexico United,Zico Bailey,zico-bailey,Z. Bailey,M,170.0,61,M,1014846,EUR,967334400,M,19,19,False,,29.0,24.0,,,9.0,12.0,15.0,17.0,5.0,4.0,1.0,,,90.0,40.0,8.4,7.0,2,19,,2.0,,2.0,1.0,,,3.0,1.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,,,
12264236,home,New Mexico United,Dominick Hernandez,dominick-hernandez,D. Hernandez,M,180.0,1,M,1065960,EUR,906336000,M,8,8,False,,32.0,17.0,1.0,,5.0,11.0,12.0,21.0,1.0,2.0,,,,89.0,46.0,6.8,20.0,2,8,,9.0,3.0,1.0,,,2.0,,,4.0,Dominick Hernandez,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,
12264236,home,New Mexico United,Sergio Rivas,sergio-rivas,S. Rivas,M,178.0,4,M,983726,EUR,875836800,M,7,7,False,,17.0,14.0,1.0,,4.0,4.0,10.0,13.0,4.0,1.0,1.0,,,58.0,25.0,7.0,5.0,2,7,,,,,,1.0,,1.0,1.0,,,,2.0,,,,1.0,,1.0,,,1.0,,,,
12264236,home,New Mexico United,Dayonn Harris,dayonn-harris,D. Harris,M,170.0,11,M,984451,EUR,872812800,M,5,5,False,,12.0,10.0,2.0,1.0,3.0,4.0,7.0,10.0,,5.0,,,,45.0,21.0,6.7,10.0,0,5,1.0,3.0,,1.0,,,,,,,,,,,1.0,4.0,,,2.0,,,1.0,2.0,,,
12264236,home,New Mexico United,Houssou Landru,houssou-landru,H. Landru,M,178.0,38,M,1121111,EUR,977961600,M,91,91,False,,36.0,27.0,8.0,5.0,17.0,22.0,10.0,14.0,2.0,1.0,2.0,,,69.0,44.0,6.3,10.0,0,91,2.0,6.0,,,,,1.0,,,2.0,Houssou Landru,,,,2.0,1.0,,,,,,,,1.0,,
