match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceCreated,captain,stat_blockedScoringAttempt,stat_goals,stat_punches,stat_bigChanceMissed,stat_penaltyWon,stat_hitWoodwork,stat_penaltyMiss
11409030,home,Famalicão,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,31,31,False,27.0,18.0,13.0,4.0,15.0,16.0,3.0,11.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,90.0,38.0,7.4,9.0,0.00056758,21.193278084804,4.0,13.65,4.62,0,1.8049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409030,home,Famalicão,Martín Aguirregabiria,,,martin-aguirregabiria,M. Aguirregabiria,D,20,178,74,M,868262,EUR,831686400,D,32,32,False,47.0,32.0,11.0,6.0,19.0,26.0,15.0,24.0,3.0,2.0,,,2.0,,,,,,,,89.0,71.0,6.9,20.0,0.160718,96.43706659793,16.0,53.55,13.755,1,,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0391,2.0,,,,,,,,,,,,,,,,,,,,,,,
11409030,home,Famalicão,Enea Mihaj,,,enea-mihaj,E. Mihaj,D,4,186,414,M,850828,EUR,899596800,D,4,4,False,62.0,56.0,8.0,3.0,46.0,49.0,10.0,13.0,1.0,2.0,4.0,,,,,,,,,,90.0,74.0,7.1,8.0,0.010178,149.76929520074,25.0,21.945,6.09,0,,,,1.0,5.0,,,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
11409030,home,Famalicão,Justin De Haas,,,justin-de-haas,J. De Haas,D,16,192,307,M,876255,EUR,949363200,D,16,16,False,65.0,61.0,11.0,7.0,47.0,47.0,14.0,18.0,3.0,5.0,3.0,,,,,,,,,,90.0,80.0,7.2,6.0,0.0171099,238.61186096966,33.0,39.27,8.925,1,,,,2.0,4.0,,1.0,2.0,1.0,0.0485,,2.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,
11409030,home,Famalicão,Francisco Moura,,,francisco-moura,F. Moura,D,74,181,1191,M,985138,EUR,934761600,D,74,74,False,45.0,30.0,9.0,6.0,15.0,20.0,16.0,29.0,3.0,3.0,2.0,,2.0,,,,,,,,90.0,76.0,7.5,22.0,0.054911,105.17260235591,17.0,8.085,5.88,0,,4.0,1.0,3.0,11.0,,,,2.0,,1.0,1.0,,8.0,6.0,,,6.7251837149627,1.0,,,,,,,,,,,,,,,
11409030,home,Famalicão,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183,570,M,862194,EUR,931651200,M,28,28,False,37.0,30.0,8.0,5.0,22.0,23.0,8.0,14.0,4.0,2.0,6.0,,2.0,,,,,,,,90.0,56.0,7.5,9.0,0.011862,197.40860546899,25.0,48.51,37.905,0,,,,,11.0,,,1.0,1.0,,,1.0,,4.0,4.0,3.0,1.0,37.98396673598,1.0,4.0,4.0,,,,,,,,,,,,,
11409030,home,Famalicão,Mirko Topić,,,mirko-topic,M. Topić,M,22,190,486,M,980797,EUR,981331200,M,8,8,False,49.0,40.0,9.0,5.0,22.0,23.0,18.0,26.0,3.0,,15.0,,2.0,,,,,,,,90.0,59.0,7.2,11.0,0.0181751,177.16613171836,18.0,33.18,20.37,0,,,,1.0,6.0,,,1.0,1.0,,2.0,1.0,,3.0,3.0,1.0,,62.338417483646,3.0,2.0,1.0,,,,,,,,,,,,,
11409030,home,Famalicão,Chiquinho,,,chiquinho,Chiquinho,M,10,179,454,M,1015826,EUR,949708800,M,10,10,False,3.0,2.0,1.0,1.0,,1.0,3.0,6.0,7.0,,3.0,,3.0,,,,,,,,73.0,24.0,7.0,11.0,0.071963,61.100984304274,8.0,36.54,21.315,0,,4.0,1.0,,3.0,,,1.0,4.0,,2.0,1.0,1.0,,,2.0,1.0,28.340037238344,2.0,3.0,1.0,,,,,,,,,,,,,
11409030,home,Famalicão,Gustavo Sá,,,gustavo-sa,G. Sá,M,20,186,1268,M,1563665,EUR,1100131200,M,20,20,False,28.0,20.0,3.0,1.0,10.0,10.0,11.0,19.0,8.0,,4.0,,1.0,,,,,,,,86.0,48.0,7.0,11.0,0.013976,163.08336130539,18.0,79.275,26.355,4,,1.0,1.0,2.0,10.0,2.0,2.0,1.0,,0.2205,,2.0,,1.0,1.0,5.0,2.0,46.454691051677,2.0,3.0,2.0,2.0,1.0,0.0499,,,,,,,,,,
11409030,home,Famalicão,Sorriso,Sorriso,,sorriso,Sorriso,M,7,175,556,M,1105595,EUR,982886400,M,77,77,False,10.0,7.0,,,4.0,4.0,4.0,7.0,7.0,1.0,3.0,,2.0,,,,,,,,73.0,25.0,6.6,9.0,0.212406,109.58039134882,9.0,27.93,26.355,0,,1.0,1.0,,3.0,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,59.336785550359,3.0,3.0,,,,,1.0,1.0,,,,,,,,
