match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_accurateLongBalls,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_challengeLost,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_punches,stat_ownGoals
13365051,home,West Ham United,Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3046,M,96531,EUR,730771200,G,23,23,False,26.0,17.0,9.0,0.0,17.0,19.0,7.0,5.0,1.0,2.0,90.0,32.0,6.9,9.0,1.843e-05,0,0.2473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13365051,home,West Ham United,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189,2607,M,945217,EUR,946512000,D,25,25,False,71.0,65.0,2.0,0.0,38.0,41.0,30.0,4.0,,,66.0,80.0,6.6,9.0,0.0125329,0,,27.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13365051,home,West Ham United,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,26,26,False,82.0,79.0,3.0,0.0,60.0,63.0,19.0,4.0,,,90.0,92.0,7.2,5.0,0.00578104,1,,19.0,2.0,5.0,2.0,1.0,,5.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0122,,,,,,,,,,,,,,,,,,,,,
13365051,home,West Ham United,Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,763,M,43443,EUR,629683200,D,3,3,False,115.0,104.0,12.0,0.0,45.0,50.0,68.0,8.0,,,90.0,136.0,8.6,15.0,0.714463,0,,61.0,2.0,4.0,4.0,,1.0,2.0,,2.0,8.0,2.0,,1.0,3.0,,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
13365051,home,West Ham United,Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18282,M,863653,EUR,880502400,M,29,29,False,50.0,46.0,2.0,0.0,15.0,17.0,37.0,2.0,,,90.0,74.0,7.4,11.0,0.0676341,0,,32.0,1.0,4.0,8.0,,6.0,3.0,1.0,1.0,1.0,,,,,,4.0,1.0,3.0,,4.0,3.0,1.0,,,awbissaka,1.0,,,,,,,,,,
13365051,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,799041,EUR,793843200,M,28,28,False,43.0,35.0,1.0,0.0,12.0,14.0,29.0,2.0,,,89.0,59.0,7.6,12.0,0.019148,1,,23.0,3.0,6.0,6.0,1.0,2.0,3.0,2.0,2.0,,2.0,,1.0,,0.5487,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,0.4599,,,,,,
13365051,home,West Ham United,James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,8,8,False,70.0,66.0,4.0,0.0,25.0,26.0,47.0,3.0,,,90.0,82.0,7.4,8.0,0.0391533,0,,41.0,1.0,2.0,3.0,1.0,,,,1.0,4.0,,,,2.0,,3.0,,,,2.0,2.0,1.0,,,prowsey16,,,,,,1.0,,,,,
13365051,home,West Ham United,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10872,M,847151,EUR,877651200,M,19,19,False,33.0,29.0,,0.0,11.0,14.0,20.0,3.0,,,66.0,41.0,7.1,5.0,0.0157051,0,,19.0,3.0,1.0,4.0,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,,,EdsonAlvarez19,,,,,,,,,,,
13365051,home,West Ham United,Oliver Scarles,scarles-oliver,O. Scarles,M,30,180,573,M,1150952,EUR,1134345600,M,57,57,False,52.0,46.0,2.0,0.0,16.0,17.0,38.0,3.0,,,65.0,63.0,6.9,9.0,0.0229316,1,,30.0,,1.0,2.0,,,,,,1.0,1.0,,,,0.0203,3.0,,,,1.0,1.0,,Oliver Scarles,,,,,,1.0,,,1.0,,,,
13365051,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,552884,EUR,851040000,F,20,20,False,28.0,22.0,,0.0,7.0,7.0,21.0,4.0,,,90.0,56.0,6.9,18.0,0.0701808,2,,15.0,,12.0,6.0,4.0,6.0,,2.0,,,2.0,1.0,,,0.0841,,,1.0,1.0,3.0,1.0,1.0,,,jarrodbowen,,,,2.0,,1.0,1.0,True,,,
