match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_clearanceOffLine,stat_outfielderBlock,stat_keyPass,player_sofascoreId,stat_wonTackle,player_firstName,player_lastName,stat_goalAssist,stat_wasFouled,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim
10388457,home,VfB Stuttgart,Florian Müller,florian-muller,F. Müller,G,21,190,205,M,842858,EUR,879379200,G,1,1,False,27.0,24.0,4.0,2.0,21.0,24.0,3.0,3.0,3.0,1.0,1.0,1.0,90.0,31.0,6.2,3.0,0.0,0.0,0.000546674,0,-0.2525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388457,home,VfB Stuttgart,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,799046,EUR,837820800,D,2,2,False,72.0,57.0,6.0,1.0,29.0,31.0,29.0,45.0,7.0,,,,90.0,108.0,6.8,26.0,0.1398,0.0,0.114311,2,,4.0,1.0,1.0,1.0,6.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10388457,home,VfB Stuttgart,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2692,M,829022,EUR,881798400,D,5,5,False,92.0,82.0,10.0,7.0,58.0,61.0,24.0,31.0,6.0,,,,90.0,106.0,8.6,12.0,0.3591,0.3349,0.0215851,2,,,,2.0,6.0,3.0,7.0,,1.0,1.0,,3.0,2.0,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
10388457,home,VfB Stuttgart,Hiroki Itō,hiroki-ito,H. Itō,D,21,188,6725,M,873106,EUR,926467200,D,21,21,False,78.0,71.0,12.0,8.0,46.0,48.0,25.0,30.0,3.0,,,,90.0,87.0,7.6,8.0,0.1286,0.1424,0.0962516,2,,,,1.0,,2.0,1.0,,,1.0,,3.0,,1.0,,1.0,,,1.0,,1.0,1.0,,hiroki_ito38,1.0,,,,,,,,,
10388457,home,VfB Stuttgart,Borna Sosa,borna-sosa,B. Sosa,M,24,187,3743,M,357584,EUR,885340800,D,24,24,False,59.0,49.0,,,25.0,27.0,30.0,48.0,6.0,,,,90.0,107.0,8.0,24.0,0.1301,0.0548,0.624958,1,,16.0,6.0,1.0,1.0,4.0,7.0,,2.0,,,5.0,2.0,3.0,1.0,1.0,,,1.0,,,,4.0,BornaSosa,2.0,,,1.0,3.0,,,,,
10388457,home,VfB Stuttgart,Naouirou Ahamada,naouirou-ahamada,N. Ahamada,M,8,183,451,M,997104,EUR,1017360000,M,32,32,False,47.0,42.0,3.0,1.0,20.0,22.0,22.0,25.0,7.0,,,,90.0,58.0,7.2,6.0,0.0,0.0,0.0910566,0,,,,2.0,1.0,4.0,4.0,,2.0,,,,2.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,3.0,,,,,,,,,,,
10388457,home,VfB Stuttgart,Wataru Endo,wataru-endo,W. Endo,M,3,178,19849,M,143040,EUR,729216000,M,3,3,False,51.0,43.0,5.0,4.0,22.0,24.0,21.0,27.0,12.0,,,,82.0,67.0,7.5,10.0,0.0143,0.0,0.0581141,1,,,,3.0,2.0,6.0,11.0,1.0,1.0,1.0,,,1.0,5.0,1.0,1.0,1.0,1.0,,,,,2.0,endowataru,4.0,,,,4.0,True,,,,
10388457,home,VfB Stuttgart,Lilian Egloff,egloff-lilian,L. Egloff,M,25,183,84,M,1007962,EUR,1029801600,M,25,25,False,18.0,12.0,,,4.0,6.0,8.0,14.0,3.0,,,,64.0,27.0,6.7,10.0,0.0615,0.0,0.0642032,1,,2.0,,1.0,,3.0,4.0,,,1.0,,,,2.0,1.0,2.0,,,,,,,1.0,,2.0,,,,2.0,,,,,
10388457,home,VfB Stuttgart,Silas,silas-katompa-mvumpa,S. K. Mvumpa,M,26,189,7725,M,949062,EUR,907632000,F,14,14,False,19.0,12.0,1.0,,2.0,4.0,11.0,16.0,3.0,,,,73.0,36.0,6.8,12.0,0.26,0.0,0.36174,2,,1.0,1.0,,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,,1.0,,,,,2.0,silas,1.0,,,,1.0,,1.0,1.0,1.0,
10388457,home,VfB Stuttgart,Serhou Guirassy,serhou-guirassy,S. Guirassy,F,9,187,50480,M,328027,EUR,826588800,F,9,9,False,22.0,15.0,1.0,1.0,7.0,8.0,8.0,15.0,,,,,90.0,45.0,7.6,13.0,0.4768,0.7592,0.013236,2,,1.0,,,4.0,1.0,10.0,,4.0,,1.0,3.0,,1.0,4.0,,,3.0,1.0,1.0,,1.0,,guirassy19off,1.0,,,,2.0,,,,1.0,
