match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_fouls,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_totalOffside
14573098,home,AEK Larnaca,Zlatan Alomerović,,,zlatan-alomerovic,Z. Alomerović,G,1,187.0,104,M,102982,EUR,676944000,G,1,1,False,12.0,12.0,1.0,1.0,0.0,11.0,11.0,1.0,1.0,1.0,6.0,1.0,1.0,90.0,16.0,6.7,0.00024876,0,0.02,0.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573098,home,AEK Larnaca,Jorge Miramón,,,jorge-miramon,J. Miramón,M,21,176.0,78,M,175139,EUR,612748800,D,21,21,False,77.0,68.0,4.0,2.0,0.0,24.0,26.0,40.0,51.0,4.0,2.0,,,90.0,106.0,7.7,0.235522,0,0.38,0.36,0.23,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14573098,home,AEK Larnaca,Godswill Ekpolo,,,godswill-ekpolo,G. Ekpolo,D,22,181.0,95,M,352616,EUR,800409600,D,22,22,False,77.0,66.0,3.0,,0.0,39.0,42.0,27.0,35.0,6.0,6.0,,,89.0,90.0,7.1,0.0301717,0,0.2,0.21,0.0,,2.0,4.0,5.0,2.0,,,,1.0,3.0,3.0,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14573098,home,AEK Larnaca,Hrvoje Miličević,,,hrvoje-milicevic,H. Miličević,D,15,193.0,186,M,120387,EUR,735264000,D,15,15,False,110.0,101.0,18.0,13.0,0.0,54.0,55.0,47.0,55.0,5.0,9.0,,,90.0,124.0,8.7,0.209818,3,0.55,0.35,0.58,,,2.0,4.0,1.0,,,,,3.0,2.0,,9.0,,1.0,,True,2.0,1.0,1.0,2.0,1.0,0.0637,0.0313,-0.21,,,,,,,,,,,
14573098,home,AEK Larnaca,Jeremie Gnali,,,jeremie-gnali,J. Gnali,D,24,182.0,2004,M,1526569,EUR,1018569600,D,93,93,False,66.0,57.0,6.0,1.0,0.0,26.0,29.0,28.0,37.0,1.0,6.0,,,90.0,84.0,7.2,0.196332,0,0.18,0.27,0.0,4.0,,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,14.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,
14573098,home,AEK Larnaca,Pere Pons,,,pere-pons,P. Pons,M,17,177.0,96,M,263505,EUR,730166400,M,17,17,False,23.0,16.0,,,0.0,4.0,6.0,11.0,17.0,,1.0,,,72.0,33.0,6.7,0.00641685,1,-0.05,0.02,0.13,1.0,3.0,2.0,6.0,,1.0,,,,2.0,,1.0,10.0,,1.0,,,1.0,,,,1.0,0.0595,,-0.36,,,,,,,,,,,
14573098,home,AEK Larnaca,Gus Ledes,,,gus-ledes,G. Ledes,M,7,173.0,90,M,137983,EUR,717638400,M,7,7,False,76.0,69.0,1.0,1.0,0.0,22.0,22.0,44.0,54.0,1.0,1.0,,,90.0,92.0,7.2,0.0491582,0,0.2,0.19,0.24,3.0,,1.0,3.0,,,1.0,1.0,2.0,1.0,,3.0,13.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
14573098,home,AEK Larnaca,Jimmy Suárez,,,jimmy-suarez,J. Suárez,M,6,170.0,46,M,951985,EUR,851990400,M,6,6,False,87.0,79.0,4.0,3.0,0.0,16.0,17.0,63.0,70.0,,8.0,,,90.0,95.0,7.1,0.112258,1,0.23,0.35,-0.03,,,3.0,3.0,1.0,,,,1.0,1.0,,,8.0,3.0,1.0,2.0,,1.0,,,,2.0,0.031,,-0.15,,,,,,,,,,,
14573098,home,AEK Larnaca,Waldo Rubio Marín,,,waldo-rubio-marin,W. R. Marín,M,10,181.0,87,M,869413,EUR,808617600,F,10,10,False,41.0,32.0,2.0,1.0,0.0,8.0,10.0,16.0,31.0,,4.0,,,67.0,59.0,6.5,0.0332926,1,-0.21,0.22,-0.01,9.0,,2.0,1.0,,,1.0,,,1.0,1.0,2.0,20.0,,,1.0,,1.0,,,,,0.0155,,-0.08,1.0,,,,,,,,,,
14573098,home,AEK Larnaca,Riad Bajić,,,riad-bajic,R. Bajić,F,11,189.0,335,M,331751,EUR,768182400,F,11,11,False,8.0,6.0,,,0.0,3.0,4.0,3.0,4.0,1.0,,,,72.0,16.0,6.5,0.00745092,1,-0.26,0.09,0.19,,2.0,2.0,3.0,,,,,,,,2.0,4.0,1.0,2.0,,,,,,,1.0,0.0443,,-0.2,,1.0,,,,,,,,,
14573098,home,AEK Larnaca,Đorđe Ivanović,,,djordje-ivanovic,D. Ivanović,M,9,179.0,148,M,791080,EUR,816825600,F,9,9,False,37.0,30.0,1.0,1.0,0.0,6.0,7.0,20.0,30.0,1.0,2.0,,,90.0,55.0,6.6,0.0328899,3,-0.36,0.03,-0.04,4.0,,4.0,4.0,1.0,,5.0,3.0,,,,2.0,15.0,,1.0,,,1.0,1.0,,,1.0,0.1735,0.3412,0.13,,1.0,,,,,,,,,
14573098,home,AEK Larnaca,Giorgos Naoum,,,naoum-giorgos,G. Naoum,M,29,179.0,47,M,902070,EUR,982713600,M,29,29,True,14.0,12.0,,,0.0,3.0,3.0,7.0,11.0,,2.0,,,23.0,20.0,6.9,0.334216,0,0.24,0.07,0.14,2.0,,,2.0,,,,,,1.0,1.0,,4.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,
14573098,home,AEK Larnaca,Karol Angielski,,,karol-angielski,K. Angielski,F,24,181.0,346,M,297324,EUR,827280000,F,19,19,True,3.0,3.0,,,0.0,,,3.0,3.0,,,,,18.0,6.0,6.2,0.00870718,1,-0.02,0.01,0.0,,,2.0,,,,,,,,,2.0,2.0,,2.0,,,1.0,,,,,0.1816,,-0.42,,,,1.0,,,,,,,
14573098,home,AEK Larnaca,Mathías González,Mathías González,,mathias-gonzalez,M. González,F,41,175.0,136,M,1429107,EUR,1115424000,F,41,41,True,8.0,8.0,,,0.0,1.0,1.0,7.0,7.0,,,,,18.0,11.0,6.3,0.00769776,0,-0.03,-0.18,0.0,,1.0,4.0,1.0,,1.0,1.0,,,,,1.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14573098,home,AEK Larnaca,Petros Ioannou,,,petros-ioannou,P. Ioannou,D,2,185.0,33,M,905374,EUR,916790400,D,2,2,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,1.0,2.0,,0.0018802,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
