match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_aerialWon,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_shotOffTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_outfielderBlock,stat_hitWoodwork
10437687,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,39.0,36.0,7.0,5.0,36.0,38.0,1.0,1.0,6.0,1.0,2.0,2.0,90.0,43.0,6.6,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437687,home,FC Porto,João Mário,joao-mario,J. Mário,D,17,178,3148,M,,902031,EUR,946857600,D,23,23,False,34.0,29.0,2.0,1.0,13.0,14.0,25.0,,2.0,,,,90.0,57.0,7.5,14.0,0,,,2.0,17.0,5.0,1.0,2.0,8.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,
10437687,home,FC Porto,Pepe,pepe,Pepe,D,,188,6226,M,Pepe,5884,EUR,415065600,D,3,3,False,70.0,59.0,9.0,4.0,44.0,46.0,24.0,2.0,8.0,,,,90.0,81.0,6.8,11.0,0,,,,15.0,,,1.0,2.0,4.0,1.0,,,,,2.0,,,,True,1.0,3.0,1.0,1.0,,,,,,,,,
10437687,home,FC Porto,Iván Marcano,ivan-marcano,I. Marcano,D,,189,542,M,,26056,EUR,551404800,D,5,5,False,75.0,64.0,7.0,1.0,53.0,55.0,20.0,2.0,6.0,,,,90.0,84.0,7.2,12.0,1,,,,11.0,,,1.0,1.0,4.0,,,2.0,2.0,,,1.0,,,,2.0,2.0,,,1.0,1.0,1.0,,,,,,
10437687,home,FC Porto,Zaidu Sanusi,zaidu-sanusi,Z. Sanusi,D,12,182,2630,M,,987510,EUR,866160000,D,12,12,False,51.0,48.0,1.0,,25.0,25.0,28.0,1.0,3.0,,,,90.0,71.0,7.1,7.0,1,,,,23.0,2.0,,,,5.0,,,1.0,1.0,,,1.0,,1.0,,2.0,,,2.0,,,,1.0,,,,,
10437687,home,FC Porto,Marko Grujić,marko-grujic,M. Grujić,M,4,190,1584,M,,280835,EUR,829353600,M,16,16,False,39.0,30.0,,,12.0,14.0,25.0,1.0,5.0,,,,90.0,54.0,7.3,10.0,1,,,,18.0,,,3.0,6.0,9.0,1.0,,,,,4.0,1.0,2.0,2.0,,3.0,3.0,,2.0,,,,1.0,,,,,
10437687,home,FC Porto,Matheus Uribe,mateus-uribe,M. Uribe,M,8,182,1621,M,,247773,EUR,669513600,M,8,8,False,56.0,46.0,12.0,6.0,20.0,21.0,35.0,,9.0,,,,67.0,71.0,7.1,16.0,0,,,,26.0,,,1.0,3.0,5.0,,1.0,1.0,,,4.0,,,,,1.0,,2.0,,,,,,,,,,
10437687,home,FC Porto,Pepê,pepe,Pepê,F,11,175,5029,M,pepe,882664,EUR,856742400,M,11,11,False,36.0,29.0,5.0,3.0,14.0,15.0,21.0,,9.0,,,,79.0,53.0,7.4,9.0,1,,,,15.0,,,,4.0,6.0,3.0,,3.0,2.0,1.0,2.0,1.0,,1.0,,,3.0,1.0,2.0,,,,1.0,,,,,
10437687,home,FC Porto,Danny Namaso,danny-namaso,D. Namaso,F,19,182,4899,M,,867440,EUR,967420800,M,19,19,False,17.0,12.0,,,3.0,5.0,12.0,2.0,5.0,,,,68.0,34.0,6.1,13.0,4,,,,9.0,,,3.0,11.0,2.0,,2.0,4.0,1.0,,,2.0,4.0,,,,,,1.0,1.0,,,2.0,1.0,1.0,,,
10437687,home,FC Porto,Mehdi Taremi,mehdi-taremi,M. Taremi,F,99,187,20235,M,mehditaremi9,812533,EUR,711417600,F,9,9,False,32.0,24.0,1.0,,8.0,8.0,24.0,1.0,4.0,,,,80.0,50.0,9.2,13.0,5,,,,16.0,,,,3.0,6.0,,,7.0,4.0,1.0,1.0,2.0,,2.0,,1.0,,1.0,,3.0,2.0,,1.0,,1.0,,,
