match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_keyPass,captain,stat_accurateCross,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal
12624997,home,Al-Fateh,Péter Szappanos,,,peter-szappanos,P. Szappanos,G,1,194.0,332,M,803307,EUR,658540800,G,1,1,False,17.0,11.0,11.0,5.0,0.0,8.0,8.0,3.0,9.0,1.0,4.0,1.0,1.0,3.0,3.0,90.0,24.0,7.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624997,home,Al-Fateh,Saeed Baattia,Saeed Baattia,,saeed-baattia,S. Baattia,D,15,172.0,25,M,1521953,EUR,969667200,D,15,15,False,27.0,20.0,2.0,,0.0,10.0,12.0,10.0,16.0,5.0,3.0,,,,,86.0,56.0,6.7,16.0,0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,,,,,,,,,,,,,,,
12624997,home,Al-Fateh,Amaar Al Dohaim,,,amaar-al-dohaim,A. A. Dohaim,D,24,175.0,13,M,803055,EUR,746755200,D,24,24,False,41.0,36.0,5.0,4.0,0.0,26.0,28.0,10.0,13.0,4.0,3.0,1.0,,,,90.0,52.0,6.8,5.0,0,,,1.0,3.0,,,,5.0,2.0,2.0,1.0,,,3.0,,,,,,,,,,,,,,
12624997,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400,D,17,17,False,36.0,26.0,9.0,5.0,0.0,12.0,16.0,14.0,20.0,8.0,5.0,1.0,,,,90.0,52.0,7.2,11.0,1,,3.0,4.0,5.0,1.0,,,7.0,2.0,3.0,2.0,,1.0,,1.0,,,,,,,,,,,,,
12624997,home,Al-Fateh,Mohammed Al-Konaideri,,,mohammed-al-konaideri,M. Al-Konaideri,D,12,175.0,21,M,1019340,EUR,971222400,D,12,12,False,18.0,15.0,4.0,2.0,0.0,10.0,12.0,5.0,8.0,4.0,3.0,1.0,,,,90.0,36.0,7.0,8.0,2,2.0,,1.0,,,,,1.0,3.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,
12624997,home,Al-Fateh,Amine Sbai,,,sbai-amine,A. Sbai,F,7,175.0,387,M,1392829,EUR,973382400,M,7,7,False,10.0,5.0,1.0,,0.0,3.0,4.0,2.0,6.0,4.0,,4.0,,,,45.0,17.0,6.4,8.0,0,,1.0,,4.0,,,,,,,,3.0,1.0,2.0,,,,,,,,,,,,,,
12624997,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400,M,28,28,False,47.0,40.0,4.0,3.0,0.0,25.0,26.0,15.0,21.0,6.0,2.0,2.0,,,,90.0,63.0,7.0,11.0,2,,3.0,,8.0,1.0,,,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,
12624997,home,Al-Fateh,Mohammed Al-Fuhaid,,,mohammed-al-fuhaid,M. Al-Fuhaid,M,28,171.0,10,M,818616,EUR,631843200,M,14,14,False,28.0,24.0,,,0.0,14.0,17.0,10.0,11.0,1.0,2.0,,,,,73.0,35.0,6.3,7.0,0,,1.0,,8.0,1.0,,,,1.0,1.0,1.0,,4.0,2.0,,,,,1.0,True,,,,,,,,
12624997,home,Al-Fateh,Suhayb Al-Zaid,Suhayb,Al-Zaid,suhayb-al-zaid,S. Al-Zaid,M,,175.0,122,M,1652171,EUR,1092268800,M,18,18,False,32.0,21.0,4.0,,0.0,6.0,10.0,15.0,22.0,3.0,6.0,,,,,90.0,44.0,6.9,12.0,0,,,,2.0,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,
12624997,home,Al-Fateh,Lucas Zelarayán,Lucas,Zelarayán,lucas-zelarayan,L. Zelarayán,M,10,172.0,1289,M,249061,EUR,708998400,F,10,10,False,45.0,39.0,6.0,2.0,0.0,11.0,12.0,30.0,37.0,12.0,8.0,5.0,,,,90.0,73.0,8.8,11.0,4,4.0,2.0,,4.0,,8.0,7.0,,2.0,,,2.0,,1.0,1.0,2.0,1.0,,2.0,,2.0,1.0,,,,,,
