match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_penaltyConceded,stat_aerialLost,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,player_sofascoreId,stat_goals,stat_punches,stat_totalOffside,stat_penaltyWon
12357177,home,Cruzeiro,Anderson,anderson,Anderson,G,12,190.0,353,M,942061,EUR,889056000,G,98,98,False,24.0,23.0,4.0,3.0,0.0,22.0,22.0,1.0,2.0,1.0,7.0,1.0,3.0,1.0,4.0,90.0,34.0,7.3,1.0,0.00014828,0,0.5616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12357177,home,Cruzeiro,William,william,William,D,12,176.0,2476,M,604274,EUR,796867200,D,12,12,False,41.0,33.0,1.0,1.0,1.0,13.0,14.0,21.0,32.0,5.0,3.0,1.0,,,,90.0,72.0,8.1,16.0,0.212695,1,,,,5.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0157,0.0698,2.0,,,,,,,,,,,,,
12357177,home,Cruzeiro,Zé Ivaldo,ze-ivaldo,Z. Ivaldo,D,2,185.0,1464,M,844602,EUR,856483200,D,5,5,False,48.0,38.0,11.0,4.0,0.0,20.0,25.0,18.0,24.0,3.0,6.0,,,,,90.0,64.0,6.8,11.0,0.0134444,0,,,,1.0,,,2.0,1.0,1.0,1.0,,,,7.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
12357177,home,Cruzeiro,João Marcelo,joao-marcelo,J. Marcelo,D,43,189.0,1606,M,978638,EUR,960854400,D,43,43,False,60.0,55.0,3.0,1.0,0.0,35.0,38.0,20.0,22.0,7.0,4.0,,,,,90.0,78.0,7.9,5.0,0.00842453,1,,,,,,2.0,,,,,,1.0,,6.0,1.0,4.0,5.0,4.0,,0.0899,0.0424,,,,,,,,,,,,,,
12357177,home,Cruzeiro,Kaiki,kaiki,Kaiki,D,6,172.0,2601,M,1112484,EUR,1047081600,D,6,6,False,26.0,25.0,,,0.0,12.0,12.0,13.0,16.0,8.0,4.0,3.0,,,,69.0,57.0,7.2,9.0,0.00995763,0,,Kaiki,,2.0,,,5.0,,4.0,3.0,,,,2.0,,2.0,2.0,2.0,1.0,,,,,3.0,3.0,,,,,,,,,,
12357177,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182.0,2401,M,245159,EUR,729820800,M,16,16,False,32.0,30.0,1.0,1.0,0.0,14.0,16.0,16.0,16.0,1.0,5.0,,,,,69.0,40.0,6.7,4.0,0.0146461,0,,,,,,,3.0,,1.0,1.0,,,,2.0,,,,,,,,1.0,,2.0,1.0,True,1.0,,,,,,,,
12357177,home,Cruzeiro,Lucas Romero,lucas-romero,L. Romero,M,29,167.0,2727,M,263477,EUR,766627200,M,29,29,False,53.0,45.0,8.0,7.0,0.0,19.0,19.0,26.0,34.0,1.0,3.0,1.0,,,,79.0,56.0,6.8,8.0,0.018858,0,,,,,,,3.0,1.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,
12357177,home,Cruzeiro,Álvaro Barreal,alvaro-barreal,Á. Barreal,M,22,172.0,2811,M,949687,EUR,966470400,M,21,21,False,29.0,24.0,3.0,2.0,0.0,12.0,13.0,13.0,18.0,4.0,3.0,1.0,,,,50.0,45.0,6.6,9.0,0.0827801,3,,,,2.0,1.0,,4.0,1.0,3.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,0.2599,0.5475,,,,1.0,,,1.0,1.0,1.0,,,,,
12357177,home,Cruzeiro,Gabriel Veron,gabriel-veron,G. Veron,M,27,176.0,2553,M,1002819,EUR,1031011200,M,30,30,False,13.0,8.0,,,0.0,,1.0,8.0,13.0,2.0,2.0,,,,,69.0,23.0,6.6,10.0,0.0117981,0,,,,1.0,,1.0,3.0,,2.0,,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,
12357177,home,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175.0,14140,M,377238,EUR,831254400,M,10,10,False,49.0,42.0,3.0,2.0,1.0,13.0,13.0,31.0,46.0,7.0,1.0,4.0,,,,90.0,76.0,9.2,21.0,0.52415,4,,,,10.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.2618,0.8547,5.0,,1.0,6.0,,,,3.0,,matheus_pereira,1.0,,,
