match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_totalCross,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_challengeLost,stat_keyPass,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_totalOffside,player_sofascoreId,player_firstName,player_lastName,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceMissed,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle
12499760,home,SC Freiburg,Noah Atubolu,noah-atubolu,N. Atubolu,G,1,190,1842,M,980626,EUR,1022284800,G,1,1,False,46.0,33.0,21.0,9.0,0.0,29.0,32.0,4.0,14.0,1.0,9.0,2.0,1.0,2.0,90.0,53.0,7.4,13.0,0.00241258,0,0.3342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499760,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,34.0,28.0,3.0,1.0,0.0,14.0,16.0,14.0,18.0,2.0,2.0,,,,90.0,48.0,7.4,6.0,0.0399693,1,,1.0,3.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,0.0196,,,,,,,,,,,,,,,,,,,,,,,,
12499760,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,887,M,142259,EUR,758937600,D,28,28,False,45.0,33.0,9.0,4.0,0.0,19.0,22.0,14.0,24.0,2.0,1.0,,,,90.0,53.0,7.0,13.0,0.00498295,1,,2.0,5.0,4.0,5.0,1.0,,,,2.0,0.0834,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499760,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,690,M,576266,EUR,837043200,D,3,3,False,76.0,68.0,10.0,5.0,0.0,38.0,39.0,30.0,37.0,3.0,3.0,,,,66.0,84.0,7.1,10.0,0.0363981,0,,1.0,2.0,1.0,4.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12499760,home,SC Freiburg,Christian Günter,christian-gunter,C. Günter,D,30,184,352,M,142231,EUR,730857600,D,30,30,False,45.0,33.0,6.0,3.0,0.0,13.0,15.0,21.0,35.0,3.0,4.0,,,,90.0,76.0,7.5,19.0,0.176288,0,,,,1.0,1.0,,,,1.0,,,5.0,,,1.0,True,1.0,1.0,3.0,,,,,,,,,,,,,,,,
12499760,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,47.0,39.0,2.0,1.0,0.0,16.0,19.0,23.0,29.0,,8.0,,,,66.0,55.0,7.1,9.0,0.020925,2,,,2.0,1.0,5.0,1.0,,2.0,,1.0,0.0533,1.0,,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,
12499760,home,SC Freiburg,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,261,M,914755,EUR,949363200,M,6,6,False,25.0,22.0,,,0.0,11.0,13.0,11.0,13.0,1.0,3.0,,,,90.0,38.0,6.5,6.0,0.00861125,1,,1.0,,5.0,2.0,,,,,3.0,0.0798,1.0,2.0,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,
12499760,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,42,42,False,30.0,20.0,1.0,,0.0,14.0,16.0,6.0,14.0,,1.0,,,,88.0,37.0,6.6,12.0,0.00824689,1,,3.0,,5.0,1.0,,,1.0,,1.0,0.0285,,2.0,1.0,1.0,,,,1.0,1.0,,,,doanritsu,,,,,,,,,,,
12499760,home,SC Freiburg,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,18,18,False,31.0,21.0,2.0,1.0,0.0,8.0,8.0,13.0,23.0,,5.0,,,,90.0,39.0,7.0,13.0,0.0399141,0,,1.0,1.0,3.0,3.0,,,1.0,,,,,1.0,,2.0,,,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,,
12499760,home,SC Freiburg,Vincenzo Grifo,vincenzo-grifo,V. Grifo,M,32,181,2068,M,171961,EUR,734140800,M,32,32,False,43.0,37.0,3.0,2.0,0.0,17.0,18.0,22.0,33.0,,2.0,,,,66.0,65.0,7.7,14.0,0.148236,3,,1.0,,1.0,4.0,,,,2.0,,0.0708,8.0,1.0,1.0,2.0,,2.0,,3.0,2.0,1.0,1.0,,,,,,1.0,0.018,,,,,,
