match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,player_sofascoreId,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_ownGoals,stat_wasFouled,stat_bigChanceMissed,stat_bigChanceCreated,captain,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_hitWoodwork,stat_goals,stat_totalOffside
14429576,home,Al-Ittihad,Hamed Abdullah Yousef,abdullah-yousef-hamed,H. A. Yousef,G,47,195,674,M,1857290,EUR,1114473600,G,47,47,False,13.0,10.0,5.0,2.0,0.0,9.0,9.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,90.0,20.0,6.2,3.0,0.00010427,0.4141,0,-0.0884,0.01,0.01,-0.66,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429576,home,Al-Ittihad,Ahmed Al-Julaydan,al-julaydan-ahmed,A. Al-Jelidan,D,32,170,199,M,1475443,EUR,1078704000,D,32,32,False,28.0,25.0,5.0,3.0,0.0,11.0,11.0,14.0,17.0,,4.0,,5.0,,,,,77.0,42.0,6.2,6.0,0.0130056,,0,,0.04,0.05,-0.39,,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14429576,home,Al-Ittihad,Saad Al-Mousa,saad-al-mousa,S. Al-Mousa,D,6,182,373,M,1134250,EUR,1039478400,D,6,6,False,24.0,21.0,1.0,,0.0,11.0,13.0,10.0,11.0,,1.0,4.0,3.0,,,,,58.0,30.0,6.0,3.0,0.00273984,,0,,0.04,0.02,-0.32,,,1.0,1.0,,,,1.0,,,,1.0,,Saad Al-Mousa,,1.0,,,,,,,,,,,,,,,,,,,,,
14429576,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187,4062,M,99545,EUR,684374400,D,2,2,False,56.0,54.0,3.0,1.0,0.0,26.0,26.0,28.0,30.0,,,3.0,6.0,,,,,90.0,67.0,8.0,2.0,0.0386527,,1,,0.38,0.09,0.52,,,1.0,2.0,,,,2.0,1.0,,,,1.0,,,3.0,DaniloP,1.0,1.0,0.101,-0.21,,,,,,,,,,,,,,,,
14429576,home,Al-Ittihad,Mario Mitaj,mitaj-mario,M. Mitaj,D,12,180,1741,M,1006089,EUR,1060128000,D,12,12,False,50.0,48.0,1.0,1.0,0.0,14.0,14.0,34.0,36.0,1.0,3.0,2.0,2.0,,,,,87.0,68.0,6.5,5.0,0.130489,,1,,0.34,0.06,-0.35,,2.0,1.0,3.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,0.0179,-0.07,1.0,1.0,1.0,0.0392,,,,,,,,,,,,
14429576,home,Al-Ittihad,Mahamadou Doumbia,mahamadou-doumbia,M. Doumbia,M,17,186,5407,M,1400846,EUR,1084579200,M,17,17,False,66.0,59.0,2.0,1.0,0.0,14.0,15.0,45.0,51.0,,5.0,,3.0,,,,,90.0,81.0,6.2,13.0,0.188489,,2,,0.3,0.11,-0.68,,,2.0,7.0,,4.0,2.0,,2.0,2.0,3.0,2.0,1.0,Mahamadou Doumbia,,,,1.0,,0.0696,-0.22,,1.0,,,1.0,1.0,1.0,,,,,,,,,
14429576,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175,14747,M,846081,EUR,899164800,M,10,10,False,55.0,45.0,1.0,1.0,0.0,9.0,10.0,36.0,45.0,,3.0,1.0,4.0,,,,,87.0,75.0,7.0,15.0,0.20322,,2,,-0.11,0.48,-0.09,,2.0,1.0,8.0,1.0,2.0,2.0,2.0,3.0,2.0,,,1.0,,,,houssem_aouar,,,0.1508,-0.59,,2.0,1.0,0.0483,1.0,,2.0,1.0,,,,,,,,
14429576,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169,44806,M,234148,EUR,670204800,M,7,7,False,50.0,47.0,2.0,2.0,0.0,19.0,21.0,28.0,29.0,,3.0,,5.0,,,,,90.0,62.0,6.8,5.0,0.0741262,,2,,0.27,0.26,-0.07,,,,3.0,,1.0,,2.0,1.0,,,2.0,2.0,,,,nglkante,1.0,,0.27,-0.56,,1.0,,,1.0,,2.0,,1.0,,,,,,,
14429576,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187,9249,M,243585,EUR,751334400,M,8,8,False,70.0,68.0,5.0,5.0,0.0,30.0,30.0,38.0,40.0,,1.0,1.0,7.0,,,,,90.0,85.0,7.9,3.0,0.156216,,0,,0.34,0.26,0.13,,,1.0,9.0,,2.0,1.0,2.0,5.0,3.0,,,1.0,,,,Fabinho,,,,,,,,,,,2.0,,1.0,,,,,,,
14429576,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7562,M,855817,EUR,931305600,F,19,19,False,33.0,24.0,1.0,1.0,0.0,5.0,6.0,19.0,27.0,,1.0,,3.0,,,,,90.0,50.0,7.2,17.0,0.509406,,2,,0.53,0.28,-0.04,,7.0,,1.0,,2.0,1.0,,,,3.0,,2.0,,,,moussadiaby,1.0,,0.1571,-0.36,3.0,,,,1.0,,,,,,,,,,,
