match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_goalAssist,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,player_sofascoreId,stat_blockedScoringAttempt,stat_totalOffside,stat_shotOffTarget,stat_goals,captain,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_errorLeadToAShot
10389780,home,Olympique Lyonnais,Anthony Lopes,,,anthony-lopes,A. Lopes,G,1,184,1194,M,48535,EUR,654739200,G,1,1,False,31.0,17.0,25.0,11.0,8.0,11.0,9.0,20.0,1.0,6.0,1.0,3.0,90.0,38.0,6.9,15.0,0.0,0.0,0.00376155,0,-0.2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389780,home,Olympique Lyonnais,Sinaly Diomandé,,,sinaly-diomande,S. Diomandé,D,20,184,714,M,996951,EUR,986774400,D,2,2,False,36.0,29.0,3.0,,19.0,24.0,10.0,12.0,3.0,4.0,,,90.0,55.0,7.2,8.0,0.0,0.0,0.00377986,0,,2.0,2.0,1.0,1.0,1.0,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10389780,home,Olympique Lyonnais,Dejan Lovren,,,dejan-lovren,D. Lovren,D,6,188,2842,M,39480,EUR,615600000,D,5,5,False,44.0,41.0,2.0,1.0,30.0,32.0,11.0,12.0,3.0,8.0,,,90.0,59.0,7.4,3.0,0.0,0.0,0.205362,0,,2.0,3.0,5.0,,,6.0,,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10389780,home,Olympique Lyonnais,Castello Lukeba,,,castello-lukeba,C. Lukeba,D,23,184,2728,M,976421,EUR,1040083200,D,4,4,False,45.0,36.0,7.0,3.0,29.0,34.0,7.0,11.0,3.0,8.0,,,90.0,62.0,6.9,11.0,0.0,0.0,0.00397576,0,,,2.0,5.0,3.0,2.0,3.0,,,,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,
10389780,home,Olympique Lyonnais,Saël Kumbedi,,,sael-kumbedi,S. Kumbedi,D,26,175,827,M,1155226,EUR,1111795200,M,20,20,False,23.0,16.0,5.0,1.0,7.0,12.0,9.0,11.0,2.0,7.0,,,90.0,43.0,6.6,10.0,0.0,0.0,0.00538164,0,,3.0,5.0,4.0,3.0,1.0,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
10389780,home,Olympique Lyonnais,Maxence Caqueret,,,maxence-caqueret,M. Caqueret,M,6,174,2464,M,859027,EUR,950572800,M,6,6,False,49.0,43.0,2.0,2.0,28.0,29.0,15.0,23.0,3.0,13.0,,,90.0,77.0,8.1,13.0,0.0,0.0,0.036142,0,,1.0,5.0,10.0,2.0,2.0,1.0,1.0,2.0,,7.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,
10389780,home,Olympique Lyonnais,Corentin Tolisso,,,corentin-tolisso,C. Tolisso,M,8,181,3233,M,343067,EUR,775872000,M,88,88,False,72.0,61.0,6.0,3.0,35.0,40.0,26.0,32.0,,8.0,,,90.0,84.0,7.6,12.0,0.0154,0.0184,0.311796,1,,1.0,4.0,6.0,,,2.0,1.0,,3.0,2.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
10389780,home,Olympique Lyonnais,Nicolás Tagliafico,,,nicolas-tagliafico,N. Tagliafico,D,3,172,10932,M,158243,EUR,715219200,M,3,3,False,32.0,27.0,2.0,,14.0,18.0,13.0,15.0,5.0,5.0,,,90.0,68.0,7.1,12.0,0.0274,0.0,0.0181229,1,,1.0,2.0,5.0,2.0,1.0,3.0,,5.0,,3.0,1.0,1.0,,,1.0,,,,,,tagliafico3,1.0,1.0,,,,,,,,
10389780,home,Olympique Lyonnais,Rayan Cherki,,,cherki-rayan,R. Cherki,M,10,176,76914,M,979128,EUR,1061078400,F,18,18,False,34.0,30.0,,,13.0,14.0,17.0,22.0,,6.0,,,80.0,53.0,8.3,16.0,0.2407,0.5977,0.156293,2,,,7.0,3.0,3.0,1.0,,,4.0,,,,2.0,2.0,1.0,2.0,,3.0,2.0,2.0,1.0,rayan_cherki,,,1.0,1.0,,,,,,
10389780,home,Olympique Lyonnais,Alexandre Lacazette,,,alexandre-lacazette,A. Lacazette,F,91,176,9530,M,50070,EUR,675388800,F,10,10,False,13.0,9.0,1.0,,5.0,6.0,4.0,7.0,,4.0,,,45.0,21.0,7.2,4.0,0.302,0.8139,0.00251332,2,,,2.0,3.0,,,,,,,2.0,,1.0,3.0,,,,,,,1.0,lacazettealex,1.0,1.0,,1.0,True,,,,,
10389780,home,Olympique Lyonnais,Bradley Barcola,,,barcola-bradley,B. Barcola,F,29,182,37510,M,996952,EUR,1030924800,F,26,26,False,23.0,14.0,,,5.0,6.0,9.0,17.0,1.0,4.0,,,66.0,40.0,7.0,15.0,0.1125,0.0,0.0716777,1,,2.0,6.0,7.0,7.0,4.0,,,3.0,2.0,1.0,1.0,,2.0,,,,,2.0,,,bradley_b,,1.0,1.0,,,,,,,
10389780,home,Olympique Lyonnais,Amin Sarr,,,sarr-amin,A. Sarr,F,9,190,942,M,1022204,EUR,984268800,F,7,7,True,12.0,11.0,,,3.0,3.0,8.0,9.0,,3.0,,,45.0,19.0,6.7,5.0,0.0435,0.0,0.0777992,1,,,2.0,2.0,1.0,1.0,,,4.0,,,,1.0,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,
