match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,captain,stat_bigChanceCreated,stat_shotOffTarget,player_sofascoreId,stat_errorLeadToAGoal,stat_goodHighClaim,stat_goalAssist
10434138,home,Fatih Karagümrük,Batuhan Şen,batuhan-ahmet-sen,B. A. Şen,G,12,192,1076,M,867595,EUR,918000000,G,1,1,False,34.0,20.0,21.0,8.0,17.0,23.0,3.0,11.0,1.0,1.0,1.0,10.0,1.0,2.0,2.0,1.0,1.0,90.0,46.0,6.4,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434138,home,Fatih Karagümrük,Salih Dursun,salih-dursun,S. Dursun,D,24,188,33,M,179189,EUR,679276800,D,54,54,False,24.0,15.0,5.0,,10.0,17.0,5.0,8.0,9.0,2.0,2.0,5.0,1.0,,,,,90.0,52.0,6.4,17.0,0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
10434138,home,Fatih Karagümrük,Rayyan Baniya,rayyan-baniya,R. Baniya,D,23,192,339,M,929739,EUR,919296000,D,99,99,False,40.0,32.0,8.0,3.0,29.0,32.0,3.0,8.0,4.0,4.0,2.0,4.0,2.0,,,,,90.0,54.0,6.7,9.0,0,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
10434138,home,Fatih Karagümrük,Ibrahim Drešević,ibrahim-dresevic,I. Drešević,D,5,186,210,M,817987,EUR,854064000,D,5,5,False,56.0,46.0,12.0,6.0,33.0,35.0,13.0,21.0,4.0,6.0,2.0,7.0,,,,,,90.0,71.0,6.9,10.0,0,,2.0,1.0,4.0,,,1.0,1.0,2.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,
10434138,home,Fatih Karagümrük,Levent Mercan,munir-levent-mercan,L. Mercan,D,22,176,1693,M,1085938,EUR,976406400,D,18,18,False,40.0,24.0,8.0,3.0,14.0,21.0,11.0,20.0,3.0,1.0,,9.0,2.0,,,,,90.0,62.0,5.5,21.0,0,1.0,2.0,,9.0,4.0,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,
10434138,home,Fatih Karagümrük,Otabek Shukurov,otabek-shukurov,O. Shukurov,M,63,182,2967,M,358890,EUR,835401600,M,29,29,False,15.0,14.0,1.0,1.0,7.0,8.0,7.0,7.0,2.0,,1.0,2.0,,,,,,85.0,24.0,6.3,4.0,1,,2.0,,8.0,2.0,,2.0,2.0,,,3.0,4.0,,1.0,,1.0,1.0,,,,,,,,,,,,
10434138,home,Fatih Karagümrük,Matteo Ricci,matteo-ricci,M. Ricci,M,8,172,128,M,225132,EUR,769996800,M,8,8,False,49.0,41.0,4.0,3.0,29.0,31.0,13.0,20.0,4.0,1.0,1.0,6.0,1.0,,,,,85.0,60.0,6.8,10.0,0,2.0,,,6.0,4.0,1.0,,,3.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10434138,home,Fatih Karagümrük,Magomed Ozdoev,magomed-ozdoev,M. Ozdoev,M,27,184,813,M,121185,EUR,720921600,M,27,27,False,18.0,14.0,3.0,1.0,5.0,6.0,9.0,13.0,3.0,2.0,,2.0,,,,,,77.0,27.0,7.0,6.0,1,1.0,1.0,1.0,5.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,
10434138,home,Fatih Karagümrük,Ebrima Colley,colley-ebrima,E. Colley,F,11,179,640,M,928106,EUR,949363200,F,19,19,False,29.0,24.0,3.0,1.0,10.0,14.0,15.0,18.0,3.0,,,11.0,,,,,,90.0,48.0,6.8,9.0,4,3.0,,,5.0,2.0,,2.0,2.0,1.0,1.0,2.0,3.0,,1.0,1.0,1.0,1.0,,,3.0,,1.0,,,,,,,
10434138,home,Fatih Karagümrük,Mbaye Diagne,mbaye-diagne,M. Diagne,F,45,191,1430,M,346790,EUR,688608000,F,9,9,False,16.0,11.0,2.0,2.0,5.0,6.0,6.0,10.0,8.0,1.0,,3.0,3.0,,,,,90.0,32.0,6.8,10.0,0,,3.0,5.0,8.0,,3.0,1.0,,,,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,
