match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_outfielderBlock,player_firstName,player_lastName,stat_shotOffTarget,stat_blockedScoringAttempt,stat_dispossessed,captain,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,stat_lastManTackle
12450981,home,RC Lens,Mathew Ryan,mathew-ryan,M. Ryan,G,13,184,1508,M,134029,EUR,702691200,G,30,30,False,20.0,13.0,12.0,5.0,0.0,11.0,13.0,2.0,7.0,1.0,1.0,7.0,90.0,26.0,6.8,7.0,0.0005891,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450981,home,RC Lens,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176,5767,M,286909,EUR,797644800,D,29,29,False,52.0,45.0,3.0,2.0,0.0,13.0,14.0,35.0,47.0,,8.0,3.0,81.0,93.0,9.0,14.0,0.56803,2,przemek.franek_,9.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,6.0,4.0,1.0,1.0,2.0,0.2614,0.3827,1.0,,,,,,,,,,,,,,,,,
12450981,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,65.0,55.0,10.0,6.0,0.0,29.0,30.0,26.0,35.0,5.0,7.0,3.0,90.0,78.0,7.6,10.0,0.012284,0,,,,4.0,,1.0,1.0,,,,1.0,1.0,1.0,,,2.0,,,,2.0,7.0,1.0,,,,,,,,,,,,,,
12450981,home,RC Lens,Malang Sarr,malang-sarr,M. Sarr,D,20,182,2159,M,826203,EUR,917049600,D,20,20,False,66.0,64.0,1.0,1.0,0.0,44.0,46.0,20.0,20.0,1.0,1.0,5.0,90.0,68.0,7.0,2.0,0.0115711,0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12450981,home,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,860307,EUR,927849600,D,14,14,False,79.0,64.0,4.0,,1.0,29.0,32.0,37.0,51.0,,8.0,9.0,90.0,108.0,8.1,19.0,0.366243,2,,4.0,2.0,4.0,,4.0,3.0,,,,1.0,4.0,2.0,1.0,1.0,2.0,0.0602,,2.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,
12450981,home,RC Lens,Angelo Fulgini,angelo-fulgini,A. Fulgini,M,11,183,483,M,787540,EUR,840499200,D,11,11,False,39.0,34.0,2.0,2.0,0.0,8.0,8.0,27.0,35.0,2.0,3.0,3.0,67.0,55.0,7.0,15.0,0.211528,2,,4.0,1.0,6.0,3.0,,,,,,,1.0,1.0,4.0,,1.0,0.0651,,3.0,,,,,,2.0,,2.0,,,,,,,,,
12450981,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187,757,M,788921,EUR,656812800,M,7,7,False,35.0,24.0,,,0.0,7.0,9.0,17.0,26.0,1.0,2.0,7.0,45.0,44.0,7.0,13.0,0.0307627,1,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,0.2733,,,,,,,,1.0,,1.0,True,,,,,,,,
12450981,home,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,M,28,28,False,69.0,57.0,4.0,2.0,0.0,20.0,21.0,38.0,50.0,2.0,6.0,10.0,90.0,94.0,7.5,22.0,0.079779,1,,2.0,1.0,4.0,1.0,2.0,1.0,,,,1.0,2.0,2.0,6.0,1.0,,0.1123,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,
12450981,home,RC Lens,Neil El Aynaoui,neil-el-aynaoui,N. El Aynaoui,M,8,186,16055,M,1128530,EUR,994032000,M,23,23,False,68.0,61.0,3.0,,0.0,19.0,21.0,44.0,49.0,,6.0,6.0,90.0,88.0,7.7,10.0,0.312578,0,,2.0,2.0,2.0,,1.0,,1.0,,,1.0,3.0,1.0,1.0,3.0,1.0,,,3.0,,2.0,,Neil,El Aynaoui,,,,,,,,,,,,
12450981,home,RC Lens,M'Bala Nzola,mbala-nzola,M. Nzola,F,8,185,2430,M,788061,EUR,840326400,F,8,8,False,18.0,16.0,,,0.0,3.0,4.0,13.0,14.0,3.0,4.0,3.0,81.0,36.0,5.8,14.0,0.0376223,3,,,,16.0,,4.0,,,2.0,,,,,3.0,1.0,4.0,0.8801,0.4075,2.0,3.0,,,,,1.0,,5.0,,2.0,1.0,,,,,,
12450981,home,RC Lens,Goduine Koyalipou,goduine-koyalipou,G. Koyalipou,F,9,183,1187,M,891505,EUR,950572800,F,19,19,False,28.0,21.0,,,0.0,5.0,6.0,16.0,22.0,1.0,4.0,2.0,89.0,43.0,6.9,12.0,0.0309235,5,,,,6.0,,5.0,2.0,,,,,,,1.0,1.0,2.0,0.2592,,1.0,,,,,,3.0,2.0,1.0,,,,,,,,,
