match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,captain,stat_fouls,stat_interceptionWon,stat_aerialLost,stat_dispossessed,stat_errorLeadToAShot,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_keyPass,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_shotOffTarget,stat_goals,stat_blockedScoringAttempt
11958583,home,Tottenham Hotspur,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7142,M,guglielmovicario,553606,EUR,844646400,G,13,13,False,46.0,41.0,11.0,7.0,41.0,44.0,2.0,2.0,2.0,3.0,6.0,3.0,4.0,2.0,90.0,59.0,7.7,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11958583,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10892,M,pedroporro29,913654,EUR,937180800,D,23,23,False,34.0,21.0,6.0,1.0,11.0,17.0,22.0,1.0,7.0,3.0,,,,,90.0,67.0,7.0,21.0,0,11.0,5.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,
11958583,home,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185,37724,M,cutiromero2,829932,EUR,893635200,D,17,17,False,82.0,72.0,9.0,7.0,61.0,65.0,17.0,2.0,4.0,,6.0,,,,90.0,90.0,7.0,13.0,0,11.0,,,2.0,,,,2.0,1.0,1.0,1.0,2.0,,,True,2.0,,,,,,,,,,,,,,
11958583,home,Tottenham Hotspur,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12553,M,mickyvdven,998247,EUR,987638400,D,37,37,False,58.0,56.0,4.0,3.0,47.0,47.0,11.0,,2.0,7.0,1.0,,,,90.0,76.0,7.2,2.0,0,9.0,,,1.0,,,,2.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,
11958583,home,Tottenham Hotspur,Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5926,M,udogiethree,983572,EUR,1038441600,D,38,38,False,43.0,38.0,2.0,2.0,24.0,27.0,16.0,1.0,9.0,2.0,9.0,,,,90.0,69.0,7.0,9.0,0,14.0,,,7.0,1.0,4.0,1.0,,3.0,2.0,1.0,4.0,,,,2.0,1.0,1.0,,,,,,,,,,,,
11958583,home,Tottenham Hotspur,Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8288,M,rodrigo_bentancur,791190,EUR,867196800,M,30,30,False,44.0,32.0,2.0,,21.0,26.0,18.0,2.0,3.0,3.0,4.0,,,,73.0,55.0,6.9,14.0,0,11.0,,,1.0,,,,2.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,
11958583,home,Tottenham Hotspur,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4504,M,hojbjerg23,149593,EUR,807580800,M,5,5,False,67.0,56.0,5.0,3.0,31.0,35.0,32.0,1.0,2.0,4.0,6.0,,,,89.0,82.0,6.7,15.0,0,25.0,,,4.0,2.0,,,2.0,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,
11958583,home,Tottenham Hotspur,Brennan Johnson,brennan-johnson,B. Johnson,F,11,186,10644,M,brenjohnson_,1085180,EUR,990576000,M,22,22,False,14.0,7.0,1.0,,3.0,8.0,8.0,,,,1.0,,,,72.0,22.0,6.2,13.0,1,4.0,2.0,,3.0,1.0,,,,,,4.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,
11958583,home,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11670,M,dejan_k10,928124,EUR,956620800,M,21,21,False,31.0,21.0,1.0,,15.0,19.0,13.0,1.0,7.0,,4.0,,,,90.0,47.0,6.5,17.0,0,6.0,1.0,,4.0,1.0,3.0,1.0,,1.0,,3.0,4.0,,,,,1.0,,1.0,,,,,,,,,,,
11958583,home,Tottenham Hotspur,Timo Werner,timo-werner,T. Werner,F,36,180,18927,M,timowerner,232306,EUR,826070400,M,16,16,False,19.0,16.0,,,5.0,6.0,14.0,,2.0,3.0,1.0,,,,90.0,36.0,7.1,6.0,0,11.0,1.0,,2.0,1.0,1.0,1.0,,,,2.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,
11958583,home,Tottenham Hotspur,Richarlison,richarlison,Richarlison,F,9,184,44389,M,Richarlison,840217,EUR,863222400,F,9,9,False,13.0,11.0,,,10.0,11.0,2.0,1.0,5.0,1.0,2.0,,,,90.0,26.0,6.2,8.0,0,1.0,,,9.0,2.0,2.0,,,1.0,,1.0,3.0,,,,1.0,,2.0,2.0,,,,1.0,,,,,,,
