match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_lastManTackle,stat_unsuccessfulTouch,player_sofascoreId,stat_wonTackle,stat_challengeLost,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_goalAssist,stat_goals
10385567,home,Southampton,Gavin Bazunu,Gavin,Bazunu,bazunu-gavin,G. Bazunu,G,31,189,914,M,936719,EUR,1014163200,G,31,31,False,29.0,15.0,24.0,10.0,5.0,5.0,10.0,24.0,2.0,10.0,2.0,3.0,2.0,2.0,90.0,39.0,7.0,15.0,0.0,0.0,0.0299146,1.0,0,0.1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385567,home,Southampton,Kyle Walker-Peters,,,kyle-walker-peters,K. Walker-Peters,D,2,173,1504,M,823085,EUR,860889600,D,2,2,False,31.0,22.0,2.0,,3.0,5.0,19.0,27.0,,5.0,,,,,90.0,63.0,7.3,16.0,0.2162,0.0,0.0910448,1.0,1,,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
10385567,home,Southampton,Armel Bella-Kotchap,,,armel-bella-kotchap,A. Bella-Kotchap,D,37,190,1085,M,976025,EUR,1008028800,D,37,37,False,43.0,35.0,5.0,2.0,22.0,22.0,13.0,21.0,1.0,6.0,,,,,90.0,60.0,7.8,9.0,0.2403,0.0,0.0203584,,4,,,3.0,3.0,9.0,,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10385567,home,Southampton,Mohammed Salisu,,,mohammed-salisu,M. Salisu,D,22,188,5721,M,946158,EUR,924307200,D,22,22,False,45.0,28.0,10.0,3.0,16.0,20.0,12.0,28.0,5.0,7.0,,,,,90.0,65.0,7.1,24.0,0.095,0.0,0.00830442,,1,,3.0,2.0,2.0,6.0,,1.0,1.0,1.0,,,,2.0,,,3.0,,,,,salisu_sarki,1.0,,,,,,,,,,
10385567,home,Southampton,Moussa Djenepo,,,moussa-djenepo,M. Djenepo,F,12,177,2136,M,869910,EUR,897868800,D,19,19,False,27.0,23.0,2.0,2.0,11.0,12.0,12.0,17.0,,8.0,,,,,89.0,46.0,6.8,9.0,0.0,0.0,0.0125954,1.0,0,,2.0,1.0,4.0,7.0,,1.0,,,,,1.0,4.0,2.0,,1.0,,,,,,2.0,2.0,,,,,,,,,
10385567,home,Southampton,James Ward-Prowse,,,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,8,8,False,54.0,41.0,5.0,1.0,15.0,20.0,32.0,49.0,1.0,7.0,,,,,90.0,87.0,7.7,27.0,0.0,0.0,0.268757,4.0,0,,15.0,3.0,6.0,5.0,1.0,,,,,,5.0,1.0,1.0,,3.0,,,,4.0,prowsey16,,2.0,True,6.0,,,,,,,
10385567,home,Southampton,Roméo Lavia,Romeo Lavia,,romeo-lavia,R. Lavia,M,45,181,16643,M,1069488,EUR,1073347200,M,45,45,False,39.0,36.0,3.0,2.0,19.0,19.0,17.0,20.0,1.0,11.0,,,,,90.0,53.0,7.2,4.0,0.0283,0.0,0.0202027,1.0,1,,,2.0,4.0,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,,,,,,romeolavia,2.0,,,,,,,,,,
10385567,home,Southampton,Adam Armstrong,Adam,Armstrong,adam-armstrong,A. Armstrong,F,9,172,1450,M,361352,EUR,855532800,M,9,9,False,13.0,11.0,1.0,1.0,3.0,3.0,9.0,12.0,,,,,,,77.0,22.0,6.8,5.0,0.0632,0.058,0.312221,2.0,1,,2.0,1.0,3.0,2.0,,3.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,
10385567,home,Southampton,Joe Aribo,,,joe-aribo,J. Aribo,M,18,183,1387,M,818073,EUR,837907200,M,7,7,False,21.0,17.0,,,1.0,2.0,16.0,19.0,,5.0,,,,,89.0,35.0,6.9,11.0,0.1202,0.0773,0.0392082,1.0,1,,,3.0,6.0,7.0,1.0,2.0,1.0,,,,,1.0,1.0,1.0,4.0,,,,5.0,,1.0,,,,1.0,,,,,,
10385567,home,Southampton,Mohamed Elyounoussi,,,mohamed-elyounoussi,M. Elyounoussi,M,10,176,2069,M,119151,EUR,775958400,M,24,24,False,18.0,13.0,2.0,1.0,3.0,3.0,11.0,17.0,,3.0,,,,,63.0,25.0,6.7,8.0,0.0455,0.0,0.211949,2.0,1,,2.0,2.0,4.0,1.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,
10385567,home,Southampton,Che Adams,,,che-adams,C. Adams,F,19,175,2940,M,773409,EUR,837216000,F,10,10,False,23.0,10.0,3.0,3.0,1.0,1.0,9.0,23.0,,1.0,,,,,90.0,41.0,7.4,19.0,0.5129,0.6857,0.0801509,1.0,5,,1.0,6.0,7.0,5.0,,,,3.0,,,,,2.0,,3.0,,,,4.0,,,1.0,,,2.0,1.0,1.0,,,,
10385567,home,Southampton,Stuart Armstrong,,,stuart-armstrong,S. Armstrong,M,16,183,281,M,117083,EUR,701913600,M,17,17,True,14.0,10.0,,,2.0,2.0,9.0,13.0,,3.0,,,,,27.0,22.0,7.0,7.0,0.0,0.0,0.0311265,1.0,0,,1.0,,1.0,4.0,,1.0,,,,,,3.0,1.0,,,,,,1.0,,2.0,,,1.0,,,,,,,
10385567,home,Southampton,Sékou Mara,,,sekou-mara,S. Mara,F,9,184,963,M,1047484,EUR,1027987200,F,18,18,True,2.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,13.0,6.0,6.8,2.0,0.1566,0.0,0.00052907,,2,,,,2.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,
