match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_goalAssist,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_shotOffTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAGoal,stat_errorLeadToAShot
11369325,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189.0,6832,M,unai_simon,797291,EUR,865987200,G,1,1,False,34.0,18.0,21.0,6.0,13.0,16.0,5.0,18.0,9.0,1.0,3.0,3.0,90.0,42.0,6.7,17.0,0.0,0.0,0.00236889,0,0.6524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369325,home,Athletic Club,Óscar de Marcos,oscar-de-marcos,Ó. de Marcos,D,10,180.0,561,M,,52663,EUR,608515200,D,18,18,False,43.0,34.0,8.0,2.0,17.0,17.0,17.0,27.0,7.0,,,,90.0,63.0,7.0,12.0,0.0,0.0,0.0226195,0,,,,True,1.0,1.0,2.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11369325,home,Athletic Club,Daniel Vivian,daniel-vivian,D. Vivian,D,3,183.0,3110,M,,910978,EUR,931132800,D,3,3,False,38.0,31.0,7.0,3.0,23.0,27.0,8.0,11.0,8.0,,,,90.0,51.0,6.8,8.0,0.0,0.0,0.00425997,0,,,,,,,1.0,3.0,1.0,1.0,4.0,,,1.0,,3.0,6.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,
11369325,home,Athletic Club,Aitor Paredes,aitor-paredes,A. Paredes,D,4,186.0,1132,M,,959872,EUR,956966400,D,4,4,False,35.0,25.0,7.0,1.0,22.0,26.0,3.0,9.0,2.0,,,,45.0,38.0,6.3,12.0,0.0,0.0,0.00110533,0,,,,,,,1.0,1.0,,,,,,,1.0,2.0,3.0,,,,,1.0,,,,,,,,,,,,
11369325,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181.0,1146,M,,84531,EUR,634608000,D,17,17,False,36.0,29.0,7.0,3.0,14.0,18.0,15.0,20.0,7.0,,,,90.0,61.0,7.6,10.0,0.0196,0.062,0.00774625,1,,,,,,2.0,,5.0,,,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,
11369325,home,Athletic Club,Mikel Vesga,mikel-vesga,M. Vesga,M,6,191.0,504,M,,359742,EUR,734227200,M,6,6,False,25.0,18.0,4.0,3.0,8.0,9.0,11.0,18.0,4.0,,,,65.0,39.0,6.9,10.0,0.0,0.0,0.0396794,0,,,,,,2.0,1.0,3.0,,,5.0,1.0,1.0,1.0,,,,,,1.0,2.0,,,,1.0,,,,,,,,,
11369325,home,Athletic Club,Ander Herrera,ander-herrera,A. Herrera,M,21,182.0,3084,M,,82474,EUR,619056000,M,21,21,False,53.0,46.0,3.0,1.0,25.0,26.0,21.0,28.0,4.0,,,,82.0,72.0,7.8,10.0,0.019,0.2059,0.0671316,1,,,,,,1.0,2.0,9.0,,,3.0,4.0,3.0,3.0,,,,,1.0,2.0,,,1.0,,,,,,,,,,,
11369325,home,Athletic Club,Iñaki Williams,inaki-williams,I. Williams,M,9,186.0,20741,M,IñakiWill,783374,EUR,771638400,M,9,9,False,34.0,27.0,,,9.0,13.0,20.0,27.0,7.0,,,,90.0,63.0,7.7,20.0,0.2053,0.6726,0.083058,2,,,,,,6.0,2.0,7.0,3.0,2.0,4.0,1.0,,2.0,2.0,,4.0,,,,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,
11369325,home,Athletic Club,Oihan Sancet,oihan-sancet,O. Sancet,M,8,188.0,3356,M,,966801,EUR,956620800,M,8,8,False,16.0,13.0,1.0,1.0,4.0,5.0,9.0,11.0,5.0,,,,46.0,30.0,6.0,8.0,0.0312,0.0,0.00517991,1,,,,,,,2.0,6.0,3.0,2.0,,1.0,1.0,1.0,,,3.0,1.0,,,4.0,1.0,,,,,,,,1.0,,,,
11369325,home,Athletic Club,Álex Berenguer,alex-berenguer,Á. Berenguer,M,7,175.0,1919,M,,592012,EUR,804816000,M,7,7,False,20.0,18.0,1.0,1.0,5.0,6.0,15.0,23.0,3.0,,,,85.0,43.0,7.3,10.0,0.0081,0.0,0.148584,1,,,,,1.0,9.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,1.0,,,,2.0,,,1.0,3.0,,,,,
11369325,home,Athletic Club,Gorka Guruzeta,gorka-guruzeta,G. Guruzeta,F,11,188.0,2498,M,,605672,EUR,842486400,F,12,12,False,16.0,12.0,3.0,1.0,7.0,8.0,5.0,8.0,4.0,,,,65.0,27.0,6.6,7.0,0.4547,0.5153,0.00338652,2,,,,,,,,3.0,,,,1.0,1.0,2.0,,,2.0,,,2.0,2.0,1.0,1.0,,,1.0,,1.0,2.0,,1.0,1.0,,
