match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_fouls,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,stat_challengeLost,stat_wasFouled,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_dispossessed,stat_hitWoodwork,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_totalOffside
10407280,home,SV Zulte Waregem,Sammy Bossut,,,sammy-bossut,S. Bossut,G,38,187,36,M,18827,EUR,492566400,G,1,1,False,True,34.0,31.0,10.0,7.0,27.0,27.0,4.0,7.0,11.0,1.0,1.0,3.0,1.0,1.0,90.0,47.0,6.8,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407280,home,SV Zulte Waregem,Bent Sormo,,,bent-sormo,B. Sormo,D,5,187,14,M,383810,EUR,843350400,D,22,22,False,,38.0,29.0,3.0,1.0,16.0,20.0,13.0,18.0,2.0,,,,,,45.0,44.0,6.4,11.0,0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10407280,home,SV Zulte Waregem,Timothy Derijck,,,timothy-derijck,T. Derijck,D,,185,23,M,10084,EUR,548899200,D,4,4,False,,52.0,48.0,5.0,4.0,30.0,31.0,18.0,21.0,5.0,,,,,,90.0,59.0,6.7,4.0,0,3.0,1.0,,,,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10407280,home,SV Zulte Waregem,Novatus Miroshi,,,novatus-miroshi,N. Miroshi,M,20,185,3868,M,1103597,EUR,1030924800,D,26,26,False,,94.0,78.0,9.0,3.0,26.0,28.0,54.0,75.0,5.0,,,,,,90.0,127.0,7.6,24.0,0,4.0,4.0,2.0,1.0,,2.0,2.0,,,1.0,novatus_40,9.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10407280,home,SV Zulte Waregem,Alioune Ndour,,,ndour-alioune,A. Ndour,F,7,183,317,M,883990,EUR,877392000,M,11,11,False,,19.0,16.0,1.0,1.0,12.0,12.0,4.0,10.0,3.0,,,,,,60.0,35.0,6.1,13.0,0,2.0,1.0,1.0,1.0,1.0,,8.0,6.0,1.0,2.0,,3.0,,1.0,,,1.0,,,,,,,,,,,,,
10407280,home,SV Zulte Waregem,Abdoulaye Sissako,,,abdoulaye-sissako,A. Sissako,M,8,186,79,M,846330,EUR,896140800,M,6,6,False,,66.0,59.0,3.0,2.0,25.0,26.0,34.0,42.0,6.0,,,,,,90.0,76.0,6.8,10.0,0,3.0,1.0,1.0,,,1.0,5.0,2.0,1.0,1.0,,2.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,
10407280,home,SV Zulte Waregem,Nicolas Rommens,,,nicolas-rommens,N. Rommens,M,8,183,22,M,328159,EUR,787622400,M,20,20,False,,44.0,42.0,2.0,1.0,17.0,18.0,25.0,26.0,3.0,,,,,,45.0,53.0,6.8,3.0,0,3.0,,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,
10407280,home,SV Zulte Waregem,Ruud Vormer,,,ruud-vormer,R. Vormer,M,25,178,203,M,18995,EUR,579312000,M,25,25,False,,53.0,46.0,1.0,,15.0,15.0,32.0,41.0,8.0,,,,,,90.0,69.0,7.4,13.0,2,1.0,2.0,1.0,,3.0,,,,,,,3.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,
10407280,home,SV Zulte Waregem,Alieu Fadera,,,fadera-alieu,A. Fadera,M,20,181,1184,M,1031548,EUR,1004745600,M,7,7,False,,47.0,33.0,3.0,1.0,13.0,16.0,21.0,33.0,6.0,,,,,,90.0,83.0,7.0,29.0,1,12.0,,5.0,3.0,7.0,,9.0,7.0,2.0,2.0,,2.0,1.0,,,,2.0,1.0,1.0,5.0,1.0,,1.0,1.0,,,,,,
10407280,home,SV Zulte Waregem,Christian Brüls,,,christian-bruls,C. Brüls,M,22,179,64,M,43432,EUR,591580800,F,12,12,False,,63.0,55.0,5.0,3.0,17.0,18.0,39.0,52.0,10.0,,,,,,90.0,85.0,7.1,19.0,2,1.0,,1.0,1.0,3.0,,5.0,1.0,,2.0,,7.0,1.0,,,,1.0,1.0,1.0,,2.0,,1.0,,1.0,,,,,
10407280,home,SV Zulte Waregem,Zinho Gano,,,zinho-gano,Z. Gano,F,9,198,217,M,156645,EUR,750470400,F,93,93,False,,14.0,13.0,,,8.0,8.0,6.0,7.0,,,,,,,71.0,31.0,6.6,8.0,0,5.0,2.0,2.0,1.0,3.0,2.0,8.0,,,1.0,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,4.0,,,,,,,
10407280,home,SV Zulte Waregem,Borja López,,,borja-lopez,B. López,D,4,192,53,M,284865,EUR,760147200,D,3,3,True,,18.0,18.0,4.0,4.0,12.0,12.0,6.0,6.0,1.0,,,,,,45.0,24.0,6.6,,0,3.0,2.0,1.0,1.0,,2.0,5.0,,,2.0,,,,1.0,,,1.0,,2.0,,,,,,,,,,,
