match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,captain,stat_totalCross,stat_bigChanceCreated,stat_shotOffTarget,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalAssist,player_sofascoreId,stat_goals
11402002,home,Almere City FC,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196,132,M,945955,EUR,878256000,G,1,1,False,48.0,11.0,46.0,9.0,3.0,8.0,8.0,40.0,15.0,1.0,1.0,90.0,51.0,5.6,37.0,0.00484433,0,-0.5434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11402002,home,Almere City FC,Hamdi Akujobi,hamdi-akujobi,H. Akujobi,D,,175,76,M,983662,EUR,948326400,D,20,20,False,25.0,17.0,5.0,2.0,9.0,12.0,8.0,13.0,2.0,,,90.0,50.0,6.7,15.0,0.0277689,0,,2.0,3.0,6.0,7.0,1.0,4.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11402002,home,Almere City FC,Loïc Mbe Soh,loic-mbe-soh,L. M. Soh,D,4,186,287,M,904992,EUR,992390400,D,5,5,False,23.0,13.0,6.0,2.0,7.0,10.0,6.0,13.0,3.0,,,74.0,34.0,6.8,10.0,0.00394764,0,,2.0,1.0,3.0,5.0,,3.0,2.0,1.0,,1.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
11402002,home,Almere City FC,Damian van Bruggen,damian-van-bruggen,D. v. Bruggen,D,14,184,62,M,285991,EUR,827107200,D,4,4,False,33.0,22.0,9.0,4.0,17.0,23.0,5.0,10.0,6.0,,,90.0,43.0,6.5,12.0,0.00479904,1,,2.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,0.0422,,,,,,,,,,,,,,,,,,
11402002,home,Almere City FC,Sherel Floranus,sherel-floranus,S. Floranus,D,2,181,189,M,803021,EUR,903830400,D,2,2,False,31.0,21.0,6.0,1.0,15.0,19.0,6.0,12.0,5.0,,,90.0,47.0,6.3,14.0,0.0330615,0,,3.0,1.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,,Sherel,Floranus,,,,,1.0,,True,,,,,,,,,,,,,,,,,
11402002,home,Almere City FC,Thomas Robinet,thomas-robinet,T. Robinet,M,9,180,359,M,790802,EUR,840326400,M,9,9,False,18.0,10.0,4.0,,5.0,8.0,5.0,11.0,4.0,,,90.0,37.0,7.4,11.0,0.458128,2,,2.0,3.0,4.0,9.0,1.0,1.0,5.0,2.0,2.0,1.0,,,,,1.0,,,0.1218,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
11402002,home,Almere City FC,Álvaro Peña,alvaro-pena,Á. Peña,M,23,178,37,M,294351,EUR,688262400,M,6,6,False,24.0,20.0,,,7.0,8.0,13.0,20.0,5.0,,,60.0,36.0,6.6,10.0,0.0886249,2,,2.0,,5.0,1.0,,,,,1.0,2.0,,,1.0,,,,,0.0598,,4.0,,1.0,1.0,,1.0,0.193,,,,,,,,,,
11402002,home,Almere City FC,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177,175,M,1157777,EUR,1067731200,M,39,39,False,18.0,12.0,1.0,,5.0,9.0,7.0,9.0,5.0,,,60.0,32.0,6.7,10.0,0.00412725,0,,1.0,2.0,4.0,7.0,,,4.0,2.0,1.0,,Jochem van de Kamp,,2.0,,3.0,,,,,,,,1.0,,,,1.0,,,,,,,,,
11402002,home,Almere City FC,Rajiv Van La Parra,rajiv-van-la-parra,R. V. L. Parra,M,7,181,101,M,38096,EUR,675993600,F,27,27,False,12.0,8.0,,,4.0,4.0,4.0,10.0,3.0,,,79.0,30.0,6.5,13.0,0.00151837,1,,2.0,1.0,10.0,5.0,3.0,2.0,2.0,,1.0,,,,3.0,1.0,,,,0.0506,,2.0,,,1.0,,1.0,0.0321,3.0,,,,,,,,,
11402002,home,Almere City FC,Kornelius Normann,kornelius-hansen,K. Hansen,M,11,175,64,M,989864,EUR,989107200,F,17,17,False,9.0,6.0,,,,,6.0,9.0,2.0,,,60.0,20.0,6.5,10.0,0.0103136,2,,7.0,2.0,10.0,2.0,,,,,5.0,1.0,,,1.0,,,2.0,,0.0587,,,,,,1.0,,,1.0,,,,,,,,,
