match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_wonTackle,stat_wonContest,captain,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
14062007,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,24.0,19.0,7.0,2.0,0.0,19.0,20.0,4.0,3.0,7.0,1.0,1.0,90.0,32.0,6.9,5.0,0.00024396,0.0127,0,0.2698,0.02,-0.01,0.33,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062007,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,56.0,51.0,1.0,,0.0,21.0,23.0,33.0,4.0,6.0,,,90.0,92.0,7.5,16.0,0.0581435,,0,,0.28,0.05,0.25,,30.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14062007,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,91.0,87.0,5.0,3.0,0.0,38.0,40.0,51.0,5.0,4.0,,,90.0,98.0,7.6,4.0,0.131874,,0,,0.45,0.29,0.56,,49.0,,1.0,5.0,1.0,,,,,,,,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14062007,home,Borussia M'gladbach,Fabio Chiarodia,fabio-chiarodia,F. Chiarodia,D,2,186,609,M,1130067,EUR,1117929600,D,2,2,False,65.0,62.0,2.0,,0.0,32.0,32.0,33.0,3.0,5.0,,,77.0,73.0,7.2,4.0,0.0100202,,0,,0.16,0.1,0.24,,30.0,,1.0,,2.0,,,,1.0,1.0,,,,,,1.0,Fabio Chiarodia,,1.0,,,,,,,,,,,,,,,,,
14062007,home,Borussia M'gladbach,Lukas Ullrich,lukas-ullrich,L. Ullrich,D,26,177,362,M,1083382,EUR,1079395200,D,26,26,False,44.0,39.0,3.0,1.0,0.0,18.0,19.0,25.0,,2.0,,,77.0,56.0,7.0,10.0,0.0636607,,0,,0.17,-0.01,-0.07,,21.0,2.0,,1.0,3.0,1.0,,1.0,2.0,2.0,,,2.0,,,,Lukas Ullrich,,1.0,1.0,,,,,,,,,,,,,,,,
14062007,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,False,56.0,48.0,4.0,,0.0,16.0,18.0,38.0,1.0,4.0,,,90.0,76.0,7.3,10.0,0.147135,,4,,0.27,0.28,0.18,,32.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,5.0,,,,1.0,True,1.0,1.0,2.0,1.0,0.1364,0.4468,-0.04,,,,,,,,
14062007,home,Borussia M'gladbach,Philipp Sander,philipp-sander,P. Sander,M,16,185,246,M,939880,EUR,888019200,M,16,16,False,51.0,47.0,,,0.0,15.0,16.0,35.0,,5.0,,,83.0,66.0,7.0,8.0,0.0300398,,3,,0.07,0.21,0.14,,32.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,,1.0,,,1.0,1.0,,,,2.0,,,,2.0,1.0,,0.0443,0.0703,-0.2,,,,,,,,
14062007,home,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,37.0,32.0,,,0.0,9.0,9.0,28.0,,2.0,,,90.0,54.0,7.0,13.0,0.206434,,1,,0.27,0.01,0.22,,23.0,8.0,,5.0,4.0,,1.0,1.0,4.0,,,1.0,3.0,3.0,,,,,2.0,,,2.0,,1.0,,0.1214,0.0751,-0.12,1.0,,,,,,,
14062007,home,Borussia M'gladbach,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,33.0,26.0,1.0,1.0,0.0,8.0,8.0,25.0,,,,,66.0,48.0,6.4,16.0,0.289322,,1,,0.25,-0.38,-0.05,,18.0,6.0,,6.0,2.0,1.0,1.0,3.0,,,1.0,2.0,2.0,,,,,,,1.0,,1.0,1.0,,,0.0562,,-0.01,,1.0,,,,,,
14062007,home,Borussia M'gladbach,Robin Hack,robin-hack,R. Hack,M,25,176,520,M,876858,EUR,904176000,M,25,25,False,33.0,26.0,1.0,,0.0,5.0,6.0,27.0,1.0,2.0,,,90.0,55.0,7.3,16.0,0.519062,,2,,0.4,0.21,0.16,,21.0,7.0,1.0,1.0,3.0,,1.0,1.0,,2.0,1.0,,4.0,,,1.0,,,,1.0,,2.0,1.0,,1.0,0.0623,,-0.19,,1.0,,,,,,
