match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_aerialLost,stat_outfielderBlock,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_wasFouled,stat_challengeLost,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyWon,stat_penaltyFaced,player_sofascoreId,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
11012075,home,KAS Eupen,Lennart Moser,lennart-moser,L. Moser,G,99,196,55,M,886064,EUR,944438400,G,1,1,False,25.0,13.0,19.0,7.0,10.0,15.0,3.0,10.0,1.0,1.0,2.0,8.0,3.0,4.0,2.0,2.0,2.0,90.0,36.0,7.3,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Yentl Van Genechten,yentl-van-genechten,Y. V. Genechten,D,2,191,45,M,921951,EUR,966556800,D,2,2,False,19.0,13.0,3.0,2.0,6.0,7.0,7.0,13.0,,1.0,1.0,6.0,,,,,,90.0,37.0,6.8,10.0,0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Boris Lambert,lambert-boris,B. Lambert,M,35,187,94,M,936240,EUR,955324800,D,35,35,False,34.0,30.0,5.0,2.0,26.0,30.0,4.0,4.0,2.0,5.0,9.0,5.0,,,,,,90.0,52.0,7.2,4.0,0,,2.0,,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Rune Paeshuyse,rune-paeshuyse,R. Paeshuyse,D,28,187,35,M,1020435,EUR,1017273600,D,28,28,False,34.0,28.0,5.0,3.0,23.0,26.0,5.0,8.0,1.0,4.0,3.0,2.0,,,,,,90.0,47.0,7.2,6.0,0,,1.0,,1.0,2.0,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Teddy Alloh,alloh-teddy,T. Alloh,D,75,176,78,M,997181,EUR,1011744000,D,29,29,False,8.0,8.0,,,3.0,3.0,5.0,5.0,,1.0,,,,,,,,45.0,16.0,6.0,2.0,0,,7.0,1.0,1.0,,1.0,,,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Gary Magnee,magnee-gary,G. Magnee,M,15,173,149,M,990265,EUR,939686400,M,15,15,False,33.0,22.0,5.0,1.0,12.0,16.0,10.0,17.0,,2.0,1.0,7.0,,,,,,80.0,40.0,6.5,12.0,0,,3.0,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Stef Peeters,stef-peeters,S. Peeters,M,8,188,82,M,201988,EUR,697593600,M,8,8,False,55.0,41.0,9.0,4.0,19.0,22.0,23.0,38.0,1.0,1.0,,12.0,,,,,,90.0,68.0,6.8,21.0,2,5.0,4.0,1.0,,,,,,1.0,,,1.0,,,1.0,,True,1.0,2.0,1.0,2.0,,,,,,,,,,
11012075,home,KAS Eupen,Konan N'Dri,ndri-konan,K. N'Dri,F,11,174,435,M,978327,EUR,972604800,M,11,11,False,10.0,7.0,,,2.0,4.0,5.0,6.0,,13.0,1.0,3.0,,,,,,80.0,44.0,7.4,12.0,5,,9.0,3.0,,5.0,,,4.0,3.0,,,8.0,5.0,3.0,,3.0,,,2.0,,1.0,2.0,1.0,,,,,,,,
11012075,home,KAS Eupen,Jerome Deom,deom-jerome,J. Deom,M,24,175,45,M,839883,EUR,924480000,M,14,14,False,27.0,24.0,4.0,3.0,11.0,12.0,13.0,15.0,1.0,4.0,,6.0,,,,,,60.0,34.0,6.8,4.0,1,,3.0,,,1.0,,,1.0,1.0,,,,,2.0,2.0,1.0,,,,,2.0,,1.0,,,,,,,,
11012075,home,KAS Eupen,Nathan Bitumazala,nathan-bitumazala,N. Bitumazala,M,10,178,85,M,1010227,EUR,1039478400,M,17,17,False,20.0,16.0,,,8.0,10.0,8.0,10.0,2.0,3.0,1.0,4.0,,,,,,89.0,29.0,6.6,8.0,1,,3.0,2.0,,,1.0,1.0,,,,,1.0,1.0,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,
11012075,home,KAS Eupen,Smail Prevljak,smail-prevljak,S. Prevljak,F,9,187,589,M,580658,EUR,800064000,F,9,9,False,15.0,11.0,,,6.0,7.0,5.0,8.0,2.0,6.0,,2.0,,,,,,90.0,31.0,6.8,13.0,1,,8.0,3.0,,1.0,2.0,,1.0,1.0,,,3.0,1.0,2.0,,3.0,,,,,1.0,1.0,,1.0,1.0,,,,,,
11012075,home,KAS Eupen,Regan Charles-Cook,regan-charles-cook,R. Charles-Cook,F,77,175,63,M,803116,EUR,857174400,F,10,10,True,10.0,9.0,,,4.0,4.0,5.0,6.0,,4.0,1.0,4.0,,,,,,45.0,24.0,6.8,4.0,0,,1.0,,,1.0,,,1.0,,,,2.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Isaac Christie-Davies,isaac-christie-davies,I. Christie-Davies,M,34,188,41,M,838613,EUR,877132800,M,23,23,True,4.0,2.0,,,2.0,4.0,,,1.0,1.0,,2.0,,,,,,30.0,7.0,6.5,3.0,0,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Ibrahim Diakité,ibrahim-diakite,I. Diakité,D,2,178,2182,M,1168646,EUR,1067558400,D,27,27,True,4.0,2.0,,,2.0,3.0,,1.0,,,2.0,,,,,,,10.0,7.0,6.5,2.0,0,,2.0,,,,1.0,,,1.0,Ibrahim Diakité,,,,,,,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Djeidi Gassama,djeidi-gassama,D. Gassama,F,23,178,891,M,1142674,EUR,1063152000,F,25,25,True,2.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,10.0,8.0,6.1,3.0,0,,4.0,,,,,,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Mubarak Wakaso,mubarak-wakaso,M. Wakaso,M,,171,358,M,52740,EUR,648864000,M,24,24,True,1.0,,,,,1.0,,,,,,,,,,,,8.0,1.0,6.5,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012075,home,KAS Eupen,Abdul Manaf Nurudeen,abdul-manaf-nurudeen,A. M. Nurudeen,G,33,190,505,M,886219,EUR,918432000,G,33,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
