match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_dispossessed,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,stat_errorLeadToAShot
11451152,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,27.0,18.0,12.0,3.0,17.0,19.0,1.0,8.0,1.0,3.0,90.0,32.0,6.6,9.0,0.0,0.0,0.00012416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451152,home,Alanyaspor,Loide Augusto,Loide Augusto,,loide-augusto,L. Augusto,M,50,183,1033,M,1110708,EUR,951523200,D,27,27,False,44.0,32.0,5.0,3.0,16.0,16.0,17.0,32.0,2.0,5.0,90.0,66.0,7.4,16.0,0.0319,0.0,0.0254207,1,4.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
11451152,home,Alanyaspor,Furkan Bayır,,,furkan-bayir,F. Bayır,D,23,188,77,M,1003161,EUR,950054400,D,4,4,False,61.0,58.0,8.0,6.0,31.0,31.0,27.0,30.0,2.0,10.0,90.0,70.0,7.6,4.0,0.1865,0.1169,0.0130427,2,,,4.0,3.0,5.0,,,,1.0,,1.0,1.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,
11451152,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,65.0,56.0,13.0,8.0,43.0,46.0,13.0,19.0,6.0,3.0,90.0,79.0,7.6,10.0,0.0,0.0,0.0198006,0,,,1.0,,5.0,,1.0,1.0,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,
11451152,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,D,88,88,False,38.0,31.0,4.0,1.0,19.0,22.0,12.0,18.0,,6.0,90.0,66.0,7.1,15.0,0.0244,0.1282,0.0071192,1,2.0,,,7.0,3.0,1.0,1.0,,,1.0,2.0,,3.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,,,,,,,,,,,
11451152,home,Alanyaspor,João Novais,,,joao-novais,J. Novais,M,7,183,160,M,233370,EUR,742262400,M,10,10,False,45.0,37.0,8.0,4.0,12.0,13.0,26.0,35.0,,1.0,90.0,60.0,6.9,14.0,0.2088,0.1487,0.203085,2,3.0,1.0,1.0,3.0,4.0,,2.0,,1.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,
11451152,home,Alanyaspor,Richard,,,richard-candido,Richard,M,36,191,349,M,897617,EUR,761529600,M,25,25,False,59.0,52.0,3.0,2.0,34.0,37.0,18.0,22.0,,9.0,90.0,75.0,7.8,9.0,0.2118,0.0,0.101276,2,,,4.0,1.0,9.0,,1.0,1.0,2.0,,3.0,1.0,,2.0,,,3.0,1.0,1.0,,1.0,,,,,,,,,,
11451152,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,43.0,40.0,3.0,2.0,9.0,11.0,35.0,41.0,,7.0,90.0,68.0,8.2,13.0,0.1362,0.3105,0.240255,2,9.0,4.0,1.0,4.0,6.0,1.0,2.0,1.0,,,,1.0,1.0,5.0,1.0,2.0,3.0,1.0,4.0,2.0,,True,1.0,,,,,,,,
11451152,home,Alanyaspor,Nicolas Janvier,,,nicolas-janvier,N. Janvier,M,17,171,91,M,802150,EUR,902793600,M,17,17,False,46.0,39.0,7.0,6.0,13.0,14.0,30.0,40.0,,3.0,89.0,65.0,7.7,17.0,0.05,0.0261,0.905009,2,8.0,4.0,,3.0,,1.0,,,,,,,1.0,5.0,,1.0,,,,,2.0,,1.0,1.0,,,,,,,
11451152,home,Alanyaspor,Tayfur Bingöl,,,tayfur-bingol,T. Bingöl,M,75,180,459,M,255957,EUR,726710400,M,75,75,False,16.0,11.0,1.0,,5.0,7.0,6.0,12.0,,4.0,53.0,28.0,6.6,11.0,0.0764,0.0,0.00920334,1,3.0,,1.0,2.0,3.0,,1.0,1.0,1.0,,,1.0,,,2.0,,,,3.0,,,,,,1.0,1.0,,,,,
