match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_wasFouled,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_penaltyConceded,stat_penaltyWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,player_sofascoreId,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyMiss
10438115,home,FC Arouca,Ignacio de Arruabarrena,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,24.0,14.0,18.0,8.0,9.0,12.0,5.0,12.0,1.0,3.0,1.0,3.0,7.0,11.0,5.0,1.0,1.0,8.0,5.0,90.0,47.0,9.5,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438115,home,FC Arouca,Tiago Esgaio,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,27.0,18.0,4.0,2.0,12.0,17.0,6.0,11.0,1.0,5.0,2.0,7.0,6.0,5.0,,,,,,90.0,56.0,7.8,16.0,2,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10438115,home,FC Arouca,João Basso,joao-basso,J. Basso,D,13,189,677,M,850955,EUR,853113600,D,13,13,False,24.0,21.0,3.0,3.0,17.0,18.0,4.0,6.0,,2.0,,3.0,8.0,2.0,,,,,,58.0,35.0,7.2,3.0,0,,,,,,,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,
10438115,home,FC Arouca,Nino Galović,nino-galovic,N. Galović,D,,184,65,M,161431,EUR,710380800,D,44,44,False,32.0,28.0,4.0,1.0,27.0,28.0,1.0,4.0,1.0,,2.0,2.0,3.0,5.0,,,,,,90.0,39.0,6.9,4.0,0,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
10438115,home,FC Arouca,Mateus Quaresma,mateus-quaresma,M. Quaresma,D,66,181,70,M,874360,EUR,840672000,D,6,6,False,41.0,29.0,5.0,2.0,20.0,24.0,10.0,19.0,1.0,,9.0,6.0,2.0,9.0,,,,,,90.0,63.0,6.8,18.0,0,2.0,3.0,2.0,,,2.0,1.0,1.0,1.0,,3.0,2.0,1.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10438115,home,FC Arouca,Alan Ruiz,alan-ruiz,A. Ruiz,M,,181,154,M,158255,EUR,745718400,M,10,10,False,36.0,29.0,9.0,6.0,16.0,20.0,13.0,16.0,1.0,1.0,6.0,4.0,2.0,3.0,,,,,,90.0,51.0,6.8,13.0,1,,3.0,1.0,1.0,,,2.0,2.0,2.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,
10438115,home,FC Arouca,Oriol Busquets,oriol-busquets,O. Busquets,M,66,185,483,M,817621,EUR,916790400,M,14,14,False,34.0,29.0,2.0,,25.0,27.0,4.0,7.0,1.0,1.0,4.0,5.0,5.0,6.0,,,,,,90.0,50.0,6.7,8.0,0,,2.0,1.0,,,2.0,2.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,
10438115,home,FC Arouca,David Simão,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,40.0,31.0,3.0,1.0,21.0,23.0,11.0,19.0,1.0,1.0,5.0,1.0,2.0,6.0,,,,,,86.0,52.0,6.2,13.0,0,2.0,1.0,,,1.0,2.0,,,2.0,,,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,
10438115,home,FC Arouca,Antony Alves,antony-alves,A. Alves,M,11,178,335,M,1105971,EUR,999907200,F,11,11,False,13.0,10.0,3.0,3.0,4.0,4.0,6.0,10.0,,1.0,4.0,4.0,2.0,4.0,,,,,,85.0,26.0,7.1,8.0,0,1.0,,,,,,2.0,2.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,Antony,,,1.0,,,,,,,,,,
10438115,home,FC Arouca,Rafa Mújica,rafa-mujica,R. Mújica,F,19,183,746,M,845424,EUR,909619200,F,19,19,False,11.0,6.0,,,3.0,3.0,3.0,8.0,1.0,2.0,6.0,6.0,2.0,4.0,,,,,,75.0,27.0,6.5,10.0,3,,,,2.0,,1.0,1.0,1.0,4.0,,3.0,,,,2.0,,3.0,,,,,1.0,1.0,,,,,,,,
