match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_penaltyConceded,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_interceptionWon,stat_keyPass,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_ownGoals,stat_goals,stat_totalOffside,stat_penaltyMiss,stat_penaltyWon
14035903,home,KV Mechelen,Nacho Miras,nacho-miras,N. Miras,G,13,187.0,111,M,1010556,EUR,869270400,G,13,13,False,28.0,13.0,19.0,5.0,0.0,10.0,14.0,3.0,14.0,1.0,1.0,1.0,11.0,1.0,5.0,1.0,2.0,6.0,2.0,2.0,90.0,43.0,8.6,15.0,0.00047449,1.4977,0,1.0969,-0.04,0.0,-0.03,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035903,home,KV Mechelen,Redouane Halhal,redouane-halhal,R. Halhal,D,2,187.0,649,M,1143667,EUR,1046822400,D,2,2,False,47.0,42.0,7.0,4.0,0.0,31.0,36.0,11.0,11.0,1.0,7.0,5.0,3.0,3.0,,,,,,,90.0,68.0,6.2,11.0,0.00695534,,0,,0.04,0.03,-0.46,,Redouane Halal,,3.0,6.0,1.0,3.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
14035903,home,KV Mechelen,Mory Konate,mory-konate,M. Konate,M,8,191.0,1273,M,889927,EUR,753321600,D,8,8,False,38.0,34.0,5.0,2.0,0.0,30.0,30.0,4.0,8.0,1.0,4.0,12.0,,2.0,,,,,,,90.0,55.0,6.2,5.0,0.00472665,,0,,0.07,0.0,-0.25,,,,3.0,5.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14035903,home,KV Mechelen,Gora Diouf,diouf-gora,G. Diouf,D,4,185.0,134,M,1407164,EUR,1064016000,D,4,4,False,41.0,37.0,7.0,3.0,0.0,28.0,29.0,9.0,12.0,1.0,5.0,11.0,2.0,,,,,,,,90.0,64.0,5.9,6.0,0.00238436,,1,,0.07,0.03,-0.63,,Gora Diouf,,1.0,4.0,,2.0,,1.0,3.0,,1.0,2.0,2.0,1.0,2.0,0.0905,-0.32,,,,,,,,,,,,,,,,
14035903,home,KV Mechelen,Thérence Koudou,koudou-therence,T. Koudou,D,7,178.0,221,M,1392080,EUR,1102896000,M,7,7,False,25.0,17.0,4.0,2.0,0.0,8.0,13.0,9.0,12.0,1.0,4.0,3.0,4.0,1.0,,,,,,,70.0,44.0,7.3,12.0,0.281053,,0,,0.53,0.1,0.2,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,5.0,3.0,1.0,1.0,2.0,,,,,,,,,,,
14035903,home,KV Mechelen,Fredrik Hammar,fredrik-hammar,F. Hammar,M,6,181.0,204,M,946959,EUR,983145600,M,6,6,False,37.0,30.0,4.0,2.0,0.0,19.0,23.0,11.0,14.0,1.0,6.0,1.0,8.0,2.0,,,,,,,90.0,47.0,6.7,8.0,0.0250987,,0,,0.09,0.09,-0.12,,,,1.0,4.0,1.0,3.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,True,,,,,,,,,,
14035903,home,KV Mechelen,Mathis Servais,mathis-servais,M. Servais,M,17,182.0,258,M,1093876,EUR,1101168000,M,17,17,False,40.0,33.0,5.0,,0.0,15.0,19.0,18.0,21.0,,4.0,2.0,5.0,,,,,,,,90.0,64.0,7.0,16.0,0.50478,,2,,0.52,0.25,-0.08,,Mathis,Servais,,7.0,1.0,4.0,2.0,1.0,2.0,4.0,,1.0,,,,0.1493,-0.17,5.0,2.0,,1.0,3.0,,2.0,,,,,,,,,
14035903,home,KV Mechelen,José Marsà,jose-marsa,J. Martinez,D,3,181.0,217,M,962625,EUR,1015200000,M,3,3,False,30.0,23.0,1.0,,0.0,8.0,11.0,15.0,19.0,,4.0,,1.0,1.0,,,,,,,81.0,55.0,6.8,16.0,0.21579,,1,,0.2,0.08,-0.08,,,,,4.0,,3.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,0.0403,-0.03,3.0,,,,,,,,,,,,,,,
14035903,home,KV Mechelen,Bilal Bafdili,bafdili-bilal,B. Bafdili,M,11,180.0,191,M,1445119,EUR,1091491200,F,11,11,False,21.0,18.0,2.0,2.0,0.0,5.0,6.0,13.0,15.0,,1.0,1.0,4.0,1.0,,,,,,,70.0,39.0,6.2,10.0,0.0138792,,3,,0.11,0.04,-0.13,,,,1.0,5.0,,,,3.0,2.0,,1.0,1.0,,1.0,,0.4255,-0.44,,,,2.0,1.0,,1.0,1.0,1.0,1.0,0.294,,,,,
14035903,home,KV Mechelen,Lion Lauberbach,lion-lauberbach,L. Lauberbach,F,29,197.0,268,M,886171,EUR,887500800,F,20,20,False,26.0,22.0,1.0,,0.0,7.0,9.0,15.0,17.0,2.0,6.0,1.0,2.0,1.0,,,,,,,90.0,45.0,6.7,12.0,0.0376668,,2,,0.08,-0.18,0.14,,,,7.0,12.0,,2.0,,4.0,1.0,3.0,,2.0,1.0,,,0.315,-0.65,,,,,,,,1.0,2.0,,0.8801,,,,,
