match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,captain,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_accurateCross,stat_hitWoodwork,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_outfielderBlock,stat_penaltyConceded
12765142,home,FK TSC Bačka Topola,Nemanja Jorgić,,,nemanja-jorgic,N. Jorgić,G,23,186,17,M,964814,EUR,576374400,G,23,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,home,FK TSC Bačka Topola,Bence Sós,Bence,Sós,bence-sos,B. Sós,D,38,178,73,M,285843,EUR,768528000,F,88,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,home,FK TSC Bačka Topola,Đorđe Gordić,,,dorde-gordic,Đ. Gordić,M,14,188,131,M,1121636,EUR,1099612800,M,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,home,FK TSC Bačka Topola,Ivan Milosavljević,,,ivan-milosavljevic,I. Milosavljević,M,19,180,66,M,993811,EUR,953424000,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,home,FK TSC Bačka Topola,Marko Lazetić,,,marko-lazetic,M. Lazetić,F,27,192,1042,M,997215,EUR,1074729600,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,away,FC Noah,Aleksey Ploshchadnyi,,,aleksey-ploshchadnyi,A. Ploshchadnyi,G,92,190,47,M,1434582,EUR,1082505600,G,92,92,False,15.0,7.0,12.0,4.0,0.0,5.0,5.0,2.0,10.0,,,2.0,12.0,5.0,7.0,,,90.0,31.0,8.0,9.0,0.00069565,0,1.2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
12765142,away,FC Noah,Aleksandar Miljković,,,aleksandar-miljkovic,A. Miljković,D,26,181,41,M,39591,EUR,635990400,D,26,26,False,12.0,10.0,2.0,1.0,0.0,4.0,5.0,7.0,8.0,2.0,3.0,2.0,5.0,,,,,45.0,33.0,7.1,5.0,0.00720374,1,,1.0,1.0,5.0,,1.0,1.0,1.0,3.0,4.0,,,1.0,0.0134,True,,,,,,,,1.0,,,1.0,,,,,,3.0,
12765142,away,FC Noah,Gonçalo Silva,,,goncalo-silva,G. Silva,D,37,184,76,M,169729,EUR,675993600,D,37,37,False,23.0,15.0,5.0,1.0,0.0,9.0,13.0,6.0,10.0,2.0,4.0,10.0,2.0,,,,,90.0,41.0,6.5,9.0,0.00267477,0,,,2.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,
12765142,away,FC Noah,Sergey Muradyan,Sergey Muradyan,,sergey-muradyan,S. Muradyan,D,3,189,183,M,1408999,EUR,1093564800,D,3,3,False,25.0,13.0,10.0,2.0,0.0,10.0,15.0,3.0,10.0,2.0,5.0,3.0,4.0,,,,,90.0,38.0,6.3,14.0,0.00035368,0,,,,1.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,
12765142,away,FC Noah,Hélder Ferreira,,,helder-ferreira,H. Ferreira,M,7,180,120,M,892206,EUR,860198400,D,7,7,False,30.0,26.0,6.0,4.0,0.0,15.0,16.0,11.0,16.0,,8.0,3.0,7.0,,,,,90.0,62.0,7.7,11.0,0.253303,1,,2.0,,5.0,4.0,2.0,4.0,3.0,2.0,,3.0,2.0,,0.6355,,,,2.0,1.0,,1.0,1.0,,0.8764,,,,,,,,1.0,
