match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_lastManTackle,captain,stat_errorLeadToAShot,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_keyPass,stat_outfielderBlock,stat_errorLeadToAGoal,stat_blockedScoringAttempt,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_clearanceOffLine,stat_goals
14083147,home,Sevilla,Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191.0,2909,M,138149,EUR,767318400,G,1,1,False,39.0,28.0,19.0,9.0,0.0,21.0,25.0,7.0,14.0,1.0,4.0,2.0,2.0,90.0,46.0,6.2,12.0,0.00391447,107.91290718113,7.0,-23.415,12.915,0.1944,0,-0.4878,0.04,-0.35,-0.23,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083147,home,Sevilla,Juanlu Sánchez,,,juanlu-sanchez,J. Sánchez,M,16,186.0,1123,M,1010655,EUR,1060905600,D,16,16,False,35.0,27.0,4.0,2.0,0.0,12.0,15.0,15.0,20.0,,3.0,,,90.0,53.0,5.5,13.0,0.0114732,106.53551888014,16.0,47.04,20.475,,0,,-0.03,0.03,-0.51,,1.0,5.0,1.0,13.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14083147,home,Sevilla,César Azpilicueta,,,cesar-azpilicueta,C. Azpilicueta,D,3,178.0,4642,M,21555,EUR,620265600,D,3,3,False,60.0,53.0,9.0,7.0,0.0,39.0,42.0,14.0,18.0,5.0,7.0,,,90.0,82.0,7.6,11.0,0.00820607,133.98271263937,16.0,93.975,19.425,,0,,0.21,0.07,0.44,,,2.0,2.0,7.0,7.0,4.0,1.0,,,2.0,4.0,2.0,,1.0,1.0,Dave,1.0,,,,,,,,,,,,,,,,
14083147,home,Sevilla,Marcão,,,marcao,Marcão,D,23,185.0,1053,M,840951,EUR,833932800,D,23,23,False,26.0,19.0,4.0,1.0,0.0,11.0,12.0,8.0,14.0,3.0,5.0,,,45.0,30.0,6.6,7.0,0.00149937,103.96634289249,10.0,35.28,28.77,,0,,-0.08,0.04,-0.07,,,,2.0,1.0,2.0,,,,,,,,,,2.0,,,True,1.0,,,,,,,,,,,,,,
14083147,home,Sevilla,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183.0,1021,M,1015240,EUR,1012262400,D,2,2,False,29.0,22.0,4.0,2.0,0.0,10.0,12.0,12.0,17.0,2.0,5.0,,,90.0,52.0,6.2,15.0,0.0104278,95.905312289575,10.0,77.28,36.33,,1,,0.05,0.14,-0.37,,2.0,,,5.0,4.0,2.0,,1.0,,2.0,,,,4.0,2.0,,,,,1.0,0.0271,-0.01,,,,,,,,,,,
14083147,home,Sevilla,Djibril Sow,,,djibril-sow,D. Sow,M,20,184.0,1941,M,799054,EUR,855187200,M,20,20,False,31.0,26.0,3.0,1.0,0.0,15.0,16.0,11.0,15.0,1.0,3.0,,,70.0,39.0,6.6,5.0,0.0107488,86.497212866195,13.0,-14.49,6.09,,1,,0.08,-0.05,-0.06,,,1.0,1.0,2.0,5.0,,,1.0,1.0,,2.0,,,1.0,2.0,,,,,1.0,0.0265,-0.09,1.0,,,,,,,,,,
14083147,home,Sevilla,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191.0,1300,M,859021,EUR,947635200,M,19,19,False,29.0,26.0,2.0,1.0,0.0,16.0,16.0,10.0,13.0,2.0,4.0,,,61.0,40.0,6.6,5.0,0.0627375,126.59784876344,14.0,25.305,33.285,,0,,0.2,0.24,-0.12,,,1.0,2.0,3.0,3.0,,1.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,
14083147,home,Sevilla,Chidera Ejuke,,,chidera-ejuke,C. Ejuke,M,21,176.0,3125,M,875890,EUR,883699200,M,21,21,False,26.0,23.0,1.0,,0.0,9.0,9.0,14.0,17.0,,2.0,,,79.0,40.0,6.5,11.0,0.0307922,99.939430327078,13.0,52.92,24.465,,1,,0.1,0.03,-0.12,,1.0,,,4.0,4.0,,1.0,6.0,3.0,,,,2.0,1.0,,,,,,,0.0381,-0.08,,,,1.0,,,,,,,
14083147,home,Sevilla,Peque Fernández,,,peque-fernandez,P. Fernández,M,14,168.0,904,M,997033,EUR,1033689600,M,14,14,False,44.0,31.0,3.0,3.0,0.0,9.0,10.0,22.0,34.0,,3.0,,,90.0,67.0,7.7,19.0,0.167808,223.7686595488,17.0,99.015,41.37,,1,,0.3,0.24,-0.09,,7.0,1.0,3.0,1.0,13.0,,,2.0,2.0,,2.0,1.0,,6.0,,,,,,,0.0725,-0.23,5.0,,,,1.0,1.0,0.0969,,,,
14083147,home,Sevilla,Alfon González,,,alfon-gonzalez,A. González,F,17,172.0,607,M,1468090,EUR,925776000,M,17,17,False,9.0,9.0,,,0.0,2.0,2.0,7.0,7.0,,,,,61.0,21.0,6.3,9.0,0.00877369,58.921301757085,8.0,8.82,9.03,,1,,0.06,0.03,-0.06,,,,,6.0,1.0,,2.0,4.0,1.0,,,,4.0,,1.0,,,,,,0.035,0.12,,,,,,1.0,0.6026,,,,
