match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_unsuccessfulTouch,stat_aerialLost,stat_blockedScoringAttempt,player_lastName,stat_challengeLost,stat_interceptionWon,captain,stat_bigChanceCreated,stat_outfielderBlock,stat_goals,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_clearanceOffLine,stat_penaltyConceded
11453216,home,Al Wehda,Munir El Kajoui,munir-mohamedi,M. El Kajoui,G,1,190,3804,M,Munir,141967,EUR,610761600,G,1,1,False,34.0,20.0,24.0,10.0,14.0,20.0,6.0,14.0,8.0,4.0,6.0,90.0,44.0,7.0,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453216,home,Al Wehda,Ali Makki,ali-makki,A. Makki,D,5,174,20,M,,1399144,EUR,924566400,D,22,22,False,22.0,19.0,1.0,,10.0,10.0,10.0,13.0,2.0,,,61.0,32.0,6.9,5.0,1,Ali Makki,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11453216,home,Al Wehda,Jawad El Yamiq,jawad-el-yamiq,J. E. Yamiq,D,18,190,4432,M,,877103,EUR,699321600,D,5,5,False,21.0,21.0,1.0,1.0,18.0,18.0,3.0,3.0,1.0,,,45.0,25.0,6.4,1.0,0,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
11453216,home,Al Wehda,Óscar Duarte,oscar-duarte,Ó. Duarte,D,6,184,231,M,,156401,EUR,612835200,D,6,6,False,35.0,30.0,8.0,5.0,18.0,21.0,12.0,14.0,1.0,,,90.0,43.0,6.4,6.0,1,,,,,1.0,1.0,2.0,,,,,5.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
11453216,home,Al Wehda,Islam Ahmed Hawsawi,islam-ahmed-hawsawi,I. A. Hawsawi,D,27,170,30,M,,1106232,EUR,1009411200,D,27,27,False,16.0,12.0,1.0,1.0,8.0,10.0,4.0,7.0,3.0,,,45.0,26.0,6.2,12.0,0,Hawsawi Islam Ahmed,,1.0,,,3.0,,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,
11453216,home,Al Wehda,Anselmo,anselmo,Anselmo,M,87,182,171,M,,256671,EUR,603936000,M,87,87,False,29.0,23.0,2.0,2.0,16.0,18.0,8.0,13.0,3.0,,,90.0,51.0,7.0,11.0,0,,,2.0,1.0,2.0,5.0,11.0,2.0,4.0,3.0,,,5.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,True,1.0,1.0,,,,,,,,,
11453216,home,Al Wehda,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178,1037,M,,143786,EUR,586396800,M,76,76,False,45.0,42.0,14.0,12.0,18.0,20.0,26.0,32.0,3.0,,,90.0,62.0,7.6,10.0,2,,,7.0,2.0,,4.0,2.0,2.0,,,1.0,1.0,1.0,,1.0,,2.0,,,1.0,,2.0,1.0,,,2.0,1.0,,,,,,,,
11453216,home,Al Wehda,Craig Goodwin,craig-goodwin,C. Goodwin,M,11,183,692,M,,220113,EUR,692841600,M,23,23,False,29.0,21.0,6.0,3.0,9.0,10.0,13.0,21.0,6.0,,,90.0,45.0,6.6,14.0,2,,,2.0,1.0,,4.0,3.0,1.0,2.0,,1.0,,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11453216,home,Al Wehda,Ala'a Al-Hejji,alaa-al-hejji,A. Al-Hejji,M,18,173,32,M,,826242,EUR,817948800,M,88,88,False,29.0,24.0,,,10.0,12.0,14.0,18.0,2.0,,,90.0,42.0,6.4,7.0,0,,,1.0,,,4.0,1.0,1.0,,,,2.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,
11453216,home,Al Wehda,Vito van Crooij,vito-van-crooij,V. van Crooij,M,32,172,214,M,,385708,EUR,822873600,M,7,7,False,10.0,8.0,,,1.0,1.0,8.0,12.0,2.0,,,67.0,17.0,6.6,6.0,0,,,3.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,
