match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_wonTackle,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_penaltyWon,stat_challengeLost,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed
10433895,home,Fenerbahçe,Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15107,M,altaybayindir,815890,EUR,892512000,G,1,1,False,True,23.0,12.0,16.0,5.0,8.0,9.0,4.0,14.0,2.0,8.0,1.0,1.0,3.0,2.0,90.0,35.0,7.4,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433895,home,Fenerbahçe,Ferdi Kadıoğlu,,,ferdi-kadioglu,F. Kadıoğlu,D,24,174,20994,M,ferdikadioglu,825844,EUR,939254400,D,7,7,False,,38.0,33.0,4.0,2.0,12.0,13.0,22.0,27.0,2.0,5.0,,,,,90.0,58.0,7.6,7.0,1,2.0,1.0,1.0,1.0,8.0,4.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10433895,home,Fenerbahçe,Serdar Aziz,,,serdar-aziz,S. Aziz,D,,183,609,M,,43528,EUR,656640000,D,4,4,False,,49.0,42.0,6.0,5.0,30.0,31.0,12.0,18.0,7.0,2.0,,,,,90.0,60.0,7.4,7.0,1,,,2.0,3.0,4.0,,,1.0,2.0,,1.0,3.0,2.0,,,,,,,,,,,,,,,,
10433895,home,Fenerbahçe,Attila Szalai,,,attila-szalai,A. Szalai,D,41,192,2464,M,,823092,EUR,885254400,D,41,41,False,,48.0,42.0,8.0,6.0,26.0,30.0,16.0,18.0,1.0,3.0,,,,,90.0,51.0,6.9,6.0,0,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,
10433895,home,Fenerbahçe,Ezgjan Alioski,,,ezgjan-alioski,E. Alioski,D,7,173,797,M,,137060,EUR,697852800,D,6,6,False,,28.0,23.0,3.0,1.0,13.0,14.0,10.0,14.0,,2.0,,,,,83.0,44.0,7.2,8.0,0,,,1.0,5.0,8.0,1.0,,,2.0,5.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10433895,home,Fenerbahçe,Willian Arão,,,willian-arao,Willian Arão,M,15,181,1888,M,,242213,EUR,700358400,M,5,5,False,,47.0,45.0,3.0,3.0,22.0,22.0,23.0,25.0,2.0,9.0,,,,,90.0,52.0,7.0,3.0,0,,,6.0,7.0,7.0,,,,1.0,,,5.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,
10433895,home,Fenerbahçe,İrfan Can Kahveci,,,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4224,M,irfankahveci,226986,EUR,805766400,M,17,17,False,,29.0,20.0,1.0,,7.0,8.0,15.0,26.0,,4.0,,,,,84.0,46.0,7.1,16.0,3,5.0,2.0,1.0,5.0,3.0,,,1.0,,2.0,2.0,,,1.0,,,4.0,,,2.0,1.0,1.0,,,,,,,
10433895,home,Fenerbahçe,Miguel Crespo,,,miguel-crespo,M. Crespo,M,13,187,618,M,,972410,EUR,842400000,M,27,27,False,,34.0,29.0,2.0,2.0,17.0,19.0,12.0,15.0,,4.0,,,,,63.0,44.0,6.9,7.0,1,,,,5.0,5.0,,,,3.0,2.0,,1.0,1.0,1.0,,,3.0,,,1.0,1.0,,,,,,,,
10433895,home,Fenerbahçe,Emre Mor,,,emre-mor,E. Mor,M,99,169,2594,M,,826258,EUR,869702400,M,99,99,False,,21.0,17.0,1.0,,4.0,5.0,13.0,18.0,,5.0,,,,,63.0,31.0,6.3,8.0,1,2.0,,,4.0,2.0,2.0,1.0,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,
10433895,home,Fenerbahçe,Enner Valencia,,,enner-valencia,E. Valencia,F,10,177,9801,M,ennervalencia,106456,EUR,626140800,F,13,13,False,,15.0,13.0,,,,,13.0,15.0,,1.0,,,,,89.0,42.0,7.5,10.0,5,,,2.0,9.0,9.0,1.0,,3.0,2.0,6.0,1.0,5.0,,1.0,,,3.0,,,6.0,1.0,1.0,1.0,,,,,,
