match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_errorLeadToAShot,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_fouls,stat_dispossessed,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_punches
12499503,home,SV Werder Bremen,Michael Zetterer,michael-zetterer,M. Zetterer,G,23,187,476,M,190161,EUR,805507200,G,1,1,False,32.0,25.0,14.0,8.0,0.0,20.0,24.0,5.0,8.0,1.0,2.0,2.0,10.0,1.0,2.0,3.0,4.0,2.0,2.0,90.0,48.0,7.9,9.0,0.00112079,0,1.2712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499503,home,SV Werder Bremen,Niklas Stark,niklas-stark,N. Stark,D,4,190,247,M,229544,EUR,797817600,D,4,4,False,57.0,48.0,1.0,1.0,0.0,34.0,36.0,14.0,21.0,5.0,7.0,9.0,3.0,2.0,,,,,,90.0,74.0,7.3,9.0,0.00679761,2,,3.0,3.0,1.0,1.0,1.0,2.0,0.5351,0.5487,,,,,,,,,,,,,,,,,,,,,
12499503,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,81.0,75.0,12.0,8.0,0.0,44.0,45.0,31.0,36.0,,4.0,2.0,9.0,,,,,,,90.0,91.0,7.5,8.0,0.0285224,0,,1.0,1.0,,,,,,,True,1.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,
12499503,home,SV Werder Bremen,Amos Pieper,amos-pieper,A. Pieper,D,5,191,299,M,851254,EUR,884995200,D,5,5,False,63.0,53.0,7.0,3.0,0.0,43.0,44.0,10.0,19.0,5.0,6.0,8.0,4.0,,,,,,,90.0,81.0,7.6,10.0,0.0172414,0,,2.0,2.0,,,,1.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
12499503,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,39.0,30.0,2.0,1.0,0.0,11.0,13.0,19.0,29.0,3.0,7.0,,8.0,3.0,,,,,,90.0,62.0,6.9,18.0,0.02046,1,,,5.0,,1.0,,,0.0544,,,,1.0,1.0,3.0,,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,
12499503,home,SV Werder Bremen,Jens Stage,jens-stage,J. Stage,M,6,187,697,M,830142,EUR,847411200,M,6,6,False,48.0,40.0,3.0,1.0,0.0,24.0,26.0,16.0,23.0,1.0,5.0,1.0,6.0,3.0,,,,,,90.0,62.0,7.2,12.0,0.0718544,0,,,3.0,,,,,,,,,1.0,1.0,2.0,,1.0,,,,2.0,1.0,2.0,1.0,,,,,,,
12499503,home,SV Werder Bremen,Senne Lynen,senne-lynen,S. Lynen,M,14,182,401,M,826171,EUR,919382400,M,14,14,False,47.0,42.0,,,0.0,29.0,31.0,13.0,16.0,1.0,2.0,2.0,5.0,,,,,,,81.0,53.0,6.8,6.0,0.0074824,0,,1.0,3.0,,,,2.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,
12499503,home,SV Werder Bremen,Felix Agu,agu-felix,F. Agu,M,27,180,629,M,933398,EUR,938390400,M,27,27,False,24.0,21.0,1.0,1.0,0.0,11.0,11.0,10.0,14.0,1.0,3.0,,4.0,2.0,,,,,,81.0,34.0,6.7,7.0,0.060653,0,,3.0,6.0,,,,,,,,,,,2.0,,1.0,2.0,,,,1.0,,,,,,,,,
12499503,home,SV Werder Bremen,Justin Njinmah,justin-njinmah,J. Njinmah,F,11,185,714,M,1005343,EUR,974246400,F,11,11,False,11.0,6.0,,,0.0,2.0,3.0,4.0,8.0,3.0,9.0,,1.0,1.0,,,,,,69.0,24.0,6.8,8.0,0.0468279,3,,1.0,3.0,,1.0,1.0,,0.4931,0.1216,,,2.0,,1.0,,,,5.0,3.0,,,,1.0,,,1.0,,,,
12499503,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,F,20,20,False,36.0,33.0,1.0,1.0,0.0,5.0,7.0,29.0,32.0,,5.0,,4.0,2.0,,,,,,90.0,58.0,7.2,14.0,0.265083,2,,2.0,6.0,,,,,0.1215,,,1.0,,,4.0,,3.0,,6.0,3.0,1.0,,,2.0,,,2.0,1.0,,,
12499503,home,SV Werder Bremen,Marvin Ducksch,marvin-ducksch,M. Ducksch,F,33,187,1088,M,258325,EUR,762998400,F,7,7,False,23.0,12.0,2.0,1.0,0.0,3.0,5.0,11.0,25.0,1.0,1.0,1.0,1.0,,,,,,,87.0,34.0,7.3,18.0,0.411817,0,,1.0,1.0,,,,,,,,,,,1.0,1.0,7.0,,,,,,,5.0,,,,2.0,1.0,,
12499503,home,SV Werder Bremen,Oliver Burke,oliver-burke,O. Burke,F,7,188,486,M,608362,EUR,860371200,F,15,15,True,2.0,1.0,,,0.0,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,21.0,8.0,6.7,3.0,0.00028069,2,,2.0,3.0,,1.0,,,0.0458,,,,,,2.0,,,,,,1.0,,1.0,,,,1.0,,,,
12499503,home,SV Werder Bremen,Derrick Köhn,derrick-kohn,D. Köhn,D,39,180,1916,M,886737,EUR,918086400,D,19,19,True,5.0,5.0,,,0.0,4.0,4.0,1.0,1.0,,1.0,,,1.0,,,,,,9.0,7.0,6.6,1.0,0.00535557,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499503,home,SV Werder Bremen,Leonardo Bittencourt,leonardo-bittencourt,L. Bittencourt,M,10,171,295,M,111969,EUR,756259200,M,10,10,True,7.0,6.0,1.0,,0.0,3.0,4.0,3.0,3.0,,,,,,,,,,,9.0,9.0,6.2,2.0,0.00066219,1,,,2.0,,,,,0.0122,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,
